,continentEnglishName,countryName,countryEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,updateTime
203,Asia,巴勒斯坦,Palestine,97,0.0,17,1,2020-03-29
782,Asia,巴勒斯坦,Palestine,91,0.0,17,1,2020-03-28
3207,Asia,巴勒斯坦,Palestine,84,0.0,16,1,2020-03-27
5721,Asia,巴勒斯坦,Palestine,64,0.0,16,1,2020-03-26
9942,Asia,巴勒斯坦,Palestine,59,0.0,17,0,2020-03-25
11385,Asia,巴勒斯坦,Palestine,59,0.0,17,0,2020-03-24
14716,Asia,巴勒斯坦,Palestine,59,0.0,17,0,2020-03-23
17372,Asia,巴勒斯坦,Palestine,59,0.0,17,0,2020-03-22
18809,Asia,巴勒斯坦,Palestine,52,0.0,17,0,2020-03-21
19664,Asia,巴勒斯坦,Palestine,47,0.0,0,0,2020-03-20
20918,Asia,巴勒斯坦,Palestine,44,0.0,0,0,2020-03-19
23253,Asia,巴勒斯坦,Palestine,41,0.0,0,0,2020-03-18
24673,Asia,巴勒斯坦,Palestine,38,0.0,0,0,2020-03-17
26991,Asia,巴勒斯坦,Palestine,35,0.0,0,0,2020-03-16
28088,Asia,巴勒斯坦,Palestine,35,0.0,0,0,2020-03-15
29273,Asia,巴勒斯坦,Palestine,35,0.0,0,0,2020-03-14
30361,Asia,巴勒斯坦,Palestine,31,0.0,0,0,2020-03-13
31297,Asia,巴勒斯坦,Palestine,30,0.0,0,0,2020-03-12
32083,Asia,巴勒斯坦,Palestine,30,0.0,0,0,2020-03-11
33070,Asia,巴勒斯坦,Palestine,19,0.0,0,0,2020-03-10
34594,Asia,巴勒斯坦,Palestine,19,0.0,0,0,2020-03-09
35120,Asia,巴勒斯坦,Palestine,19,0.0,0,0,2020-03-08
36181,Asia,巴勒斯坦,Palestine,16,0.0,0,0,2020-03-07
37145,Asia,巴勒斯坦,Palestine,7,0.0,0,0,2020-03-06
