,continentEnglishName,countryName,countryEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,updateTime
236,North America,巴哈马,Bahamas,9,0.0,0,0,2020-03-29
1456,North America,巴哈马,Bahamas,5,0.0,0,0,2020-03-28
3266,North America,巴哈马,Bahamas,5,0.0,0,0,2020-03-27
6952,North America,巴哈马,Bahamas,4,0.0,0,0,2020-03-26
9991,North America,巴哈马,Bahamas,4,0.0,0,0,2020-03-25
11430,North America,巴哈马,Bahamas,4,0.0,0,0,2020-03-24
14761,North America,巴哈马,Bahamas,4,0.0,0,0,2020-03-23
17416,North America,巴哈马,Bahamas,4,0.0,0,0,2020-03-22
18854,North America,巴哈马,Bahamas,3,0.0,0,0,2020-03-21
19719,North America,巴哈马,Bahamas,3,0.0,0,0,2020-03-20
20996,North America,巴哈马,Bahamas,1,0.0,0,0,2020-03-19
23334,North America,巴哈马,Bahamas,1,0.0,0,0,2020-03-18
24985,North America,巴哈马,Bahamas,1,0.0,0,0,2020-03-17
27067,North America,巴哈马,Bahamas,1,0.0,0,0,2020-03-16
