,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
364,North America,巴巴多斯,Barbados,巴巴多斯,Barbados,33,0.0,0,0,,,,,,,2020-04-01
2398,North America,巴巴多斯,Barbados,巴巴多斯,Barbados,26,0.0,0,0,,,,,,,2020-03-31
4345,North America,巴巴多斯,Barbados,巴巴多斯,Barbados,24,0.0,0,0,,,,,,,2020-03-30
7964,North America,巴巴多斯,Barbados,巴巴多斯,Barbados,24,0.0,0,0,,,,,,,2020-03-29
9641,North America,巴巴多斯,Barbados,巴巴多斯,Barbados,18,0.0,0,0,,,,,,,2020-03-28
11456,North America,巴巴多斯,Barbados,巴巴多斯,Barbados,18,0.0,0,0,,,,,,,2020-03-27
13962,North America,巴巴多斯,Barbados,巴巴多斯,Barbados,18,0.0,0,0,,,,,,,2020-03-26
18183,North America,巴巴多斯,Barbados,巴巴多斯,Barbados,17,0.0,0,0,,,,,,,2020-03-25
19645,North America,巴巴多斯,Barbados,巴巴多斯,Barbados,5,0.0,0,0,,,,,,,2020-03-24
22974,North America,巴巴多斯,Barbados,巴巴多斯,Barbados,5,0.0,0,0,,,,,,,2020-03-23
25630,North America,巴巴多斯,Barbados,巴巴多斯,Barbados,5,0.0,0,0,,,,,,,2020-03-22
27088,North America,巴巴多斯,Barbados,巴巴多斯,Barbados,2,0.0,0,0,,,,,,,2020-03-21
27951,North America,巴巴多斯,Barbados,巴巴多斯,Barbados,2,0.0,0,0,,,,,,,2020-03-20
29201,North America,巴巴多斯,Barbados,巴巴多斯,Barbados,2,0.0,0,0,,,,,,,2020-03-19
31032,North America,巴巴多斯,Barbados,巴巴多斯,Barbados,2,0.0,0,0,,,,,,,2020-03-18
