,continentEnglishName,countryName,countryEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,updateTime
178,Asia,巴林,Bahrain,473,0.0,254,4,2020-03-29
762,Asia,巴林,Bahrain,473,0.0,254,4,2020-03-28
3015,Asia,巴林,Bahrain,466,0.0,227,4,2020-03-27
5550,Asia,巴林,Bahrain,457,0.0,204,4,2020-03-26
9623,Asia,巴林,Bahrain,419,0.0,190,3,2020-03-25
11337,Asia,巴林,Bahrain,391,0.0,177,3,2020-03-24
14671,Asia,巴林,Bahrain,339,0.0,149,2,2020-03-23
17218,Asia,巴林,Bahrain,334,0.0,149,2,2020-03-22
18762,Asia,巴林,Bahrain,306,0.0,100,1,2020-03-21
19629,Asia,巴林,Bahrain,285,0.0,100,1,2020-03-20
20884,Asia,巴林,Bahrain,269,0.0,100,1,2020-03-19
22774,Asia,巴林,Bahrain,256,0.0,88,1,2020-03-18
24610,Asia,巴林,Bahrain,237,0.0,81,1,2020-03-17
26958,Asia,巴林,Bahrain,214,0.0,60,0,2020-03-16
28021,Asia,巴林,Bahrain,214,0.0,60,0,2020-03-15
29184,Asia,巴林,Bahrain,211,0.0,35,0,2020-03-14
30101,Asia,巴林,Bahrain,210,0.0,35,0,2020-03-13
31273,Asia,巴林,Bahrain,195,0.0,35,0,2020-03-12
32366,Asia,巴林,Bahrain,109,0.0,14,0,2020-03-11
33045,Asia,巴林,Bahrain,109,0.0,14,0,2020-03-10
34266,Asia,巴林,Bahrain,109,0.0,14,0,2020-03-09
35103,Asia,巴林,Bahrain,77,0.0,4,0,2020-03-08
36165,Asia,巴林,Bahrain,56,0.0,4,0,2020-03-07
36910,Asia,巴林,Bahrain,56,0.0,4,0,2020-03-06
38665,Asia,巴林,Bahrain,49,0.0,0,0,2020-03-05
39434,Asia,巴林,Bahrain,49,0.0,0,0,2020-03-04
41173,Asia,巴林,Bahrain,47,0.0,0,0,2020-03-03
41815,Asia,巴林,Bahrain,47,0.0,0,0,2020-03-02
43528,Asia,巴林,Bahrain,41,0.0,0,0,2020-03-01
44377,Asia,巴林,Bahrain,38,0.0,0,0,2020-02-29
45974,Asia,巴林,Bahrain,33,0.0,0,0,2020-02-28
46737,Asia,巴林,Bahrain,33,0.0,0,0,2020-02-27
47858,Asia,巴林,Bahrain,26,0.0,0,0,2020-02-26
49319,Asia,巴林,Bahrain,8,0.0,0,0,2020-02-25
50712,Asia,巴林,Bahrain,1,0.0,0,0,2020-02-24
