,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
57,South America,巴西,Brazil,巴西,Brazil,5717,0.0,0,201,,,,,,,2020-04-01
2164,South America,巴西,Brazil,巴西,Brazil,4579,0.0,0,159,,,,,,,2020-03-31
4129,South America,巴西,Brazil,巴西,Brazil,4256,0.0,0,136,,,,,,,2020-03-30
7263,South America,巴西,Brazil,巴西,Brazil,3904,0.0,0,92,,,,,,,2020-03-29
9294,South America,巴西,Brazil,巴西,Brazil,3417,0.0,0,92,,,,,,,2020-03-28
11341,South America,巴西,Brazil,巴西,Brazil,2915,0.0,0,77,,,,,,,2020-03-27
13849,South America,巴西,Brazil,巴西,Brazil,2433,0.0,0,57,,,,,,,2020-03-26
18069,South America,巴西,Brazil,巴西,Brazil,2201,0.0,0,46,,,,,,,2020-03-25
19517,South America,巴西,Brazil,巴西,Brazil,1891,0.0,0,34,,,,,,,2020-03-24
22851,South America,巴西,Brazil,巴西,Brazil,1546,0.0,0,25,,,,,,,2020-03-23
25517,South America,巴西,Brazil,巴西,Brazil,1128,0.0,0,18,,,,,,,2020-03-22
26951,South America,巴西,Brazil,巴西,Brazil,904,0.0,0,11,,,,,,,2020-03-21
27821,South America,巴西,Brazil,巴西,Brazil,621,0.0,0,7,,,,,,,2020-03-20
29080,South America,巴西,Brazil,巴西,Brazil,514,0.0,0,4,,,,,,,2020-03-19
30980,South America,巴西,Brazil,巴西,Brazil,291,0.0,0,1,,,,,,,2020-03-18
33085,South America,巴西,Brazil,巴西,Brazil,234,0.0,0,0,,,,,,,2020-03-17
35172,South America,巴西,Brazil,巴西,Brazil,200,0.0,0,0,,,,,,,2020-03-16
36274,South America,巴西,Brazil,巴西,Brazil,151,0.0,0,0,,,,,,,2020-03-15
37475,South America,巴西,Brazil,巴西,Brazil,98,0.0,0,0,,,,,,,2020-03-14
38561,South America,巴西,Brazil,巴西,Brazil,77,0.0,0,0,,,,,,,2020-03-13
39507,South America,巴西,Brazil,巴西,Brazil,52,0.0,0,0,,,,,,,2020-03-12
40297,South America,巴西,Brazil,巴西,Brazil,34,0.0,0,0,,,,,,,2020-03-11
41282,South America,巴西,Brazil,巴西,Brazil,25,0.0,0,0,,,,,,,2020-03-10
42573,South America,巴西,Brazil,巴西,Brazil,25,0.0,0,0,,,,,,,2020-03-09
43336,South America,巴西,Brazil,巴西,Brazil,19,0.0,0,0,,,,,,,2020-03-08
44402,South America,巴西,Brazil,巴西,Brazil,13,0.0,0,0,,,,,,,2020-03-07
45712,South America,巴西,Brazil,巴西,Brazil,8,0.0,0,0,,,,,,,2020-03-06
46311,South America,巴西,Brazil,巴西,Brazil,3,0.0,0,0,,,,,,,2020-03-05
49421,South America,巴西,Brazil,巴西,Brazil,2,0.0,0,0,,,,,,,2020-03-03
50498,South America,巴西,Brazil,巴西,Brazil,2,0.0,0,0,,,,,,,2020-03-02
51772,South America,巴西,Brazil,巴西,Brazil,2,0.0,0,0,,,,,,,2020-03-01
52623,South America,巴西,Brazil,巴西,Brazil,1,0.0,0,0,,,,,,,2020-02-29
54211,South America,巴西,Brazil,巴西,Brazil,1,0.0,0,0,,,,,,,2020-02-28
54970,South America,巴西,Brazil,巴西,Brazil,1,0.0,0,0,,,,,,,2020-02-27
