,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
83,Africa,布基纳法索,Burkina Faso,布基纳法索,Burkina Faso,246,0.0,31,12,,,,,,,2020-04-01
223,Africa,布基纳法索,Burkina Faso,布基纳法索,Burkina Faso,246,0.0,31,12,,,,,,,2020-03-31
2108,Africa,布基纳法索,Burkina Faso,布基纳法索,Burkina Faso,222,0.0,23,12,,,,,,,2020-03-30
5090,Africa,布基纳法索,Burkina Faso,布基纳法索,Burkina Faso,207,0.0,21,11,,,,,,,2020-03-29
7186,Africa,布基纳法索,Burkina Faso,布基纳法索,Burkina Faso,180,0.0,12,9,,,,,,,2020-03-28
9204,Africa,布基纳法索,Burkina Faso,布基纳法索,Burkina Faso,152,0.0,10,7,,,,,,,2020-03-27
11782,Africa,布基纳法索,Burkina Faso,布基纳法索,Burkina Faso,146,0.0,10,7,,,,,,,2020-03-26
15856,Africa,布基纳法索,Burkina Faso,布基纳法索,Burkina Faso,114,0.0,5,4,,,,,,,2020-03-25
17571,Africa,布基纳法索,Burkina Faso,布基纳法索,Burkina Faso,114,0.0,5,4,,,,,,,2020-03-24
20915,Africa,布基纳法索,Burkina Faso,布基纳法索,Burkina Faso,72,0.0,5,3,,,,,,,2020-03-23
23442,Africa,布基纳法索,Burkina Faso,布基纳法索,Burkina Faso,64,0.0,5,3,,,,,,,2020-03-22
24851,Africa,布基纳法索,Burkina Faso,布基纳法索,Burkina Faso,40,0.0,5,2,,,,,,,2020-03-21
25885,Africa,布基纳法索,Burkina Faso,布基纳法索,Burkina Faso,33,0.0,0,1,,,,,,,2020-03-20
27141,Africa,布基纳法索,Burkina Faso,布基纳法索,Burkina Faso,27,0.0,0,1,,,,,,,2020-03-19
28958,Africa,布基纳法索,Burkina Faso,布基纳法索,Burkina Faso,20,0.0,0,1,,,,,,,2020-03-18
31139,Africa,布基纳法索,Burkina Faso,布基纳法索,Burkina Faso,15,0.0,0,0,,,,,,,2020-03-17
33246,Africa,布基纳法索,Burkina Faso,布基纳法索,Burkina Faso,2,0.0,0,0,,,,,,,2020-03-16
34341,Africa,布基纳法索,Burkina Faso,布基纳法索,Burkina Faso,2,0.0,0,0,,,,,,,2020-03-15
35812,Africa,布基纳法索,Burkina Faso,布基纳法索,Burkina Faso,2,0.0,0,0,,,,,,,2020-03-14
36615,Africa,布基纳法索,Burkina Faso,布基纳法索,Burkina Faso,2,0.0,0,0,,,,,,,2020-03-13
37552,Africa,布基纳法索,Burkina Faso,布基纳法索,Burkina Faso,2,0.0,0,0,,,,,,,2020-03-12
38638,Africa,布基纳法索,Burkina Faso,布基纳法索,Burkina Faso,2,0.0,0,0,,,,,,,2020-03-11
39317,Africa,布基纳法索,Burkina Faso,布基纳法索,Burkina Faso,2,0.0,0,0,,,,,,,2020-03-10
