,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
1245,Africa,布隆迪共和国,,布隆迪共和国,,15,0.0,4,1,,,,,,,2020-04-28
2789,Africa,布隆迪共和国,,布隆迪共和国,,15,0.0,4,1,,,,,,,2020-04-27
3643,Africa,布隆迪共和国,,布隆迪共和国,,15,0.0,4,1,,,,,,,2020-04-26
5016,Africa,布隆迪共和国,,布隆迪共和国,,12,0.0,4,1,,,,,,,2020-04-25
6470,Africa,布隆迪共和国,,布隆迪共和国,,12,0.0,4,1,,,,,,,2020-04-24
8085,Africa,布隆迪共和国,,布隆迪共和国,,11,0.0,4,1,,,,,,,2020-04-23
9264,Africa,布隆迪共和国,,布隆迪共和国,,11,0.0,4,1,,,,,,,2020-04-22
11894,Africa,布隆迪共和国,,布隆迪共和国,,6,0.0,0,1,,,,,,,2020-04-21
12686,Africa,布隆迪共和国,,布隆迪共和国,,6,0.0,0,1,,,,,,,2020-04-20
14516,Africa,布隆迪共和国,,布隆迪共和国,,6,0.0,0,1,,,,,,,2020-04-19
14784,Africa,布隆迪共和国,,布隆迪共和国,,6,0.0,0,1,,,,,,,2020-04-18
16403,Africa,布隆迪共和国,,布隆迪共和国,,5,0.0,0,1,,,,,,,2020-04-17
20268,Africa,布隆迪共和国,,布隆迪共和国,,5,0.0,0,1,,,,,,,2020-04-15
21012,Africa,布隆迪共和国,,布隆迪共和国,,5,0.0,0,1,,,,,,,2020-04-14
22706,Africa,布隆迪共和国,,布隆迪共和国,,5,0.0,0,0,,,,,,,2020-04-13
23400,Africa,布隆迪共和国,,布隆迪共和国,,5,0.0,0,0,,,,,,,2020-04-12
26687,Africa,布隆迪共和国,,布隆迪共和国,,3,0.0,0,0,,,,,,,2020-04-10
27929,Africa,布隆迪共和国,,布隆迪共和国,,3,0.0,0,0,,,,,,,2020-04-09
29573,Africa,布隆迪共和国,,布隆迪共和国,,3,0.0,0,0,,,,,,,2020-04-08
32587,Africa,布隆迪共和国,,布隆迪共和国,,3,0.0,0,0,,,,,,,2020-04-07
35071,Africa,布隆迪共和国,,布隆迪共和国,,3,0.0,0,0,,,,,,,2020-04-05
37139,Africa,布隆迪共和国,,布隆迪共和国,,3,0.0,0,0,,,,,,,2020-04-04
38315,Africa,布隆迪共和国,,布隆迪共和国,,3,0.0,0,0,,,,,,,2020-04-03
41002,Africa,布隆迪共和国,,布隆迪共和国,,2,0.0,0,0,,,,,,,2020-04-02
42336,Africa,布隆迪共和国,,布隆迪共和国,,2,0.0,0,0,,,,,,,2020-04-01
