,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
67,Europe,希腊,Greece,希腊,Greece,1314,0.0,19,49,,,,,,,2020-04-01
2188,Europe,希腊,Greece,希腊,Greece,1212,0.0,19,43,,,,,,,2020-03-31
4250,Europe,希腊,Greece,希腊,Greece,1156,0.0,19,38,,,,,,,2020-03-30
7093,Europe,希腊,Greece,希腊,Greece,1156,0.0,19,38,,,,,,,2020-03-29
9376,Europe,希腊,Greece,希腊,Greece,966,0.0,19,28,,,,,,,2020-03-28
11298,Europe,希腊,Greece,希腊,Greece,892,0.0,19,26,,,,,,,2020-03-27
13867,Europe,希腊,Greece,希腊,Greece,821,0.0,19,22,,,,,,,2020-03-26
17997,Europe,希腊,Greece,希腊,Greece,743,0.0,19,20,,,,,,,2020-03-25
19532,Europe,希腊,Greece,希腊,Greece,695,0.0,19,17,,,,,,,2020-03-24
22866,Europe,希腊,Greece,希腊,Greece,624,0.0,19,15,,,,,,,2020-03-23
25530,Europe,希腊,Greece,希腊,Greece,530,0.0,19,13,,,,,,,2020-03-22
26959,Europe,希腊,Greece,希腊,Greece,495,0.0,19,8,,,,,,,2020-03-21
27825,Europe,希腊,Greece,希腊,Greece,464,0.0,14,5,,,,,,,2020-03-20
29082,Europe,希腊,Greece,希腊,Greece,418,0.0,14,5,,,,,,,2020-03-19
31422,Europe,希腊,Greece,希腊,Greece,387,0.0,0,5,,,,,,,2020-03-18
32871,Europe,希腊,Greece,希腊,Greece,352,0.0,0,4,,,,,,,2020-03-17
35164,Europe,希腊,Greece,希腊,Greece,331,0.0,0,3,,,,,,,2020-03-16
36267,Europe,希腊,Greece,希腊,Greece,228,0.0,0,3,,,,,,,2020-03-15
37468,Europe,希腊,Greece,希腊,Greece,190,0.0,0,1,,,,,,,2020-03-14
38553,Europe,希腊,Greece,希腊,Greece,117,0.0,0,1,,,,,,,2020-03-13
39498,Europe,希腊,Greece,希腊,Greece,89,0.0,0,1,,,,,,,2020-03-12
40585,Europe,希腊,Greece,希腊,Greece,89,0.0,0,0,,,,,,,2020-03-11
41223,Europe,希腊,Greece,希腊,Greece,89,0.0,0,0,,,,,,,2020-03-10
42793,Europe,希腊,Greece,希腊,Greece,66,0.0,0,0,,,,,,,2020-03-09
43323,Europe,希腊,Greece,希腊,Greece,66,0.0,0,0,,,,,,,2020-03-08
44386,Europe,希腊,Greece,希腊,Greece,46,0.0,0,0,,,,,,,2020-03-07
45121,Europe,希腊,Greece,希腊,Greece,45,0.0,0,0,,,,,,,2020-03-06
46301,Europe,希腊,Greece,希腊,Greece,10,0.0,0,0,,,,,,,2020-03-05
48247,Europe,希腊,Greece,希腊,Greece,7,0.0,0,0,,,,,,,2020-03-04
49408,Europe,希腊,Greece,希腊,Greece,7,0.0,0,0,,,,,,,2020-03-03
50490,Europe,希腊,Greece,希腊,Greece,7,0.0,0,0,,,,,,,2020-03-02
51131,Europe,希腊,Greece,希腊,Greece,7,0.0,0,0,,,,,,,2020-03-01
52611,Europe,希腊,Greece,希腊,Greece,4,0.0,0,0,,,,,,,2020-02-29
53569,Europe,希腊,Greece,希腊,Greece,4,0.0,0,0,,,,,,,2020-02-28
54707,Europe,希腊,Greece,希腊,Greece,3,0.0,0,0,,,,,,,2020-02-27
56071,Europe,希腊,Greece,希腊,Greece,1,0.0,0,0,,,,,,,2020-02-26
