,continentEnglishName,countryName,countryEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,updateTime
1442,North America,开曼群岛,Cayman Is,8,0.0,0,1,2020-03-28
3255,North America,开曼群岛,Cayman Is,8,0.0,0,1,2020-03-27
5767,North America,开曼群岛,Cayman Is,5,0.0,0,1,2020-03-26
9989,North America,开曼群岛,Cayman Is,5,0.0,0,1,2020-03-25
11441,North America,开曼群岛,Cayman Is,3,0.0,0,1,2020-03-24
14771,North America,开曼群岛,Cayman Is,3,0.0,0,1,2020-03-23
17424,North America,开曼群岛,Cayman Is,3,0.0,0,1,2020-03-22
18861,North America,开曼群岛,Cayman Is,3,0.0,0,1,2020-03-21
19752,North America,开曼群岛,Cayman Is,1,0.0,0,1,2020-03-20
21004,North America,开曼群岛,Cayman Is,1,0.0,0,1,2020-03-19
23344,North America,开曼群岛,Cayman Is,1,0.0,0,1,2020-03-18
24714,North America,开曼群岛,Cayman Is,1,0.0,0,1,2020-03-17
26656,North America,开曼群岛,Cayman Is,1,0.0,0,0,2020-03-16
