,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
90,Europe,德国,Germany,德国,Germany,61913,0.0,8481,583,,,,,,,2020-04-01
143,Europe,德国,Germany,德国,Germany,61913,0.0,8481,583,,,,,,,2020-03-31
2112,Europe,德国,Germany,德国,Germany,58101,0.0,8481,474,,,,,,,2020-03-30
5359,Europe,德国,Germany,德国,Germany,58101,0.0,8481,474,,,,,,,2020-03-29
6913,Europe,德国,Germany,德国,Germany,52802,0.0,6932,378,,,,,,,2020-03-28
9317,Europe,德国,Germany,德国,Germany,43211,0.0,5678,262,,,,,,,2020-03-27
11825,Europe,德国,Germany,德国,Germany,38124,0.0,3547,207,,,,,,,2020-03-26
15794,Europe,德国,Germany,德国,Germany,35743,0.0,3290,187,,,,,,,2020-03-25
17493,Europe,德国,Germany,德国,Germany,30138,0.0,453,130,,,,,,,2020-03-24
20829,Europe,德国,Germany,德国,Germany,27289,0.0,422,115,,,,,,,2020-03-23
23424,Europe,德国,Germany,德国,Germany,25279,0.0,239,91,,,,,,,2020-03-22
24924,Europe,德国,Germany,德国,Germany,20581,0.0,209,72,,,,,,,2020-03-21
25792,Europe,德国,Germany,德国,Germany,15439,0.0,135,44,,,,,,,2020-03-20
27043,Europe,德国,Germany,德国,Germany,13979,0.0,135,28,,,,,,,2020-03-19
28960,Europe,德国,Germany,德国,Germany,11312,0.0,135,26,,,,,,,2020-03-18
30803,Europe,德国,Germany,德国,Germany,7840,0.0,135,17,,,,,,,2020-03-17
32854,Europe,德国,Germany,德国,Germany,6671,0.0,14,13,,,,,,,2020-03-16
34241,Europe,德国,Germany,德国,Germany,4866,0.0,14,9,,,,,,,2020-03-15
35719,Europe,德国,Germany,德国,Germany,3117,0.0,14,7,,,,,,,2020-03-14
36300,Europe,德国,Germany,德国,Germany,3117,0.0,14,7,,,,,,,2020-03-13
37209,Europe,德国,Germany,德国,Germany,2078,0.0,14,3,,,,,,,2020-03-12
38269,Europe,德国,Germany,德国,Germany,1524,0.0,14,2,,,,,,,2020-03-11
39237,Europe,德国,Germany,德国,Germany,1239,0.0,14,2,,,,,,,2020-03-10
40546,Europe,德国,Germany,德国,Germany,1112,0.0,14,0,,,,,,,2020-03-09
41301,Europe,德国,Germany,德国,Germany,847,0.0,14,0,,,,,,,2020-03-08
42361,Europe,德国,Germany,德国,Germany,687,0.0,14,0,,,,,,,2020-03-07
43328,Europe,德国,Germany,德国,Germany,565,0.0,14,0,,,,,,,2020-03-06
44275,Europe,德国,Germany,德国,Germany,349,0.0,14,0,,,,,,,2020-03-05
45638,Europe,德国,Germany,德国,Germany,240,0.0,14,0,,,,,,,2020-03-04
46423,Europe,德国,Germany,德国,Germany,196,0.0,14,0,,,,,,,2020-03-03
48021,Europe,德国,Germany,德国,Germany,130,0.0,14,0,,,,,,,2020-03-02
49302,Europe,德国,Germany,德国,Germany,117,0.0,14,0,,,,,,,2020-03-01
50582,Europe,德国,Germany,德国,Germany,66,0.0,14,0,,,,,,,2020-02-29
52182,Europe,德国,Germany,德国,Germany,48,0.0,14,0,,,,,,,2020-02-28
52948,Europe,德国,Germany,德国,Germany,27,0.0,14,0,,,,,,,2020-02-27
53878,Europe,德国,Germany,德国,Germany,19,0.0,14,0,,,,,,,2020-02-26
56172,Europe,德国,Germany,德国,Germany,16,0.0,14,0,,,,,,,2020-02-25
57408,Europe,德国,Germany,德国,Germany,16,0.0,14,0,,,,,,,2020-02-24
59436,Europe,德国,Germany,德国,Germany,16,0.0,7,0,,,,,,,2020-02-23
60669,Europe,德国,Germany,德国,Germany,16,0.0,7,0,,,,,,,2020-02-22
61784,Europe,德国,Germany,德国,Germany,16,0.0,7,0,,,,,,,2020-02-21
64151,Europe,德国,Germany,德国,Germany,16,0.0,1,0,,,,,,,2020-02-20
69949,Europe,德国,Germany,德国,Germany,16,0.0,1,0,,,,,,,2020-02-17
70034,Europe,德国,Germany,德国,Germany,16,0.0,1,0,,,,,,,2020-02-16
73092,Europe,德国,Germany,德国,Germany,16,0.0,1,0,,,,,,,2020-02-15
73946,Europe,德国,Germany,德国,Germany,16,0.0,1,0,,,,,,,2020-02-14
75460,Europe,德国,Germany,德国,Germany,16,0.0,1,0,,,,,,,2020-02-13
78348,Europe,德国,Germany,德国,Germany,16,0.0,0,0,,,,,,,2020-02-12
80652,Europe,德国,Germany,德国,Germany,14,0.0,0,0,,,,,,,2020-02-11
82552,Europe,德国,Germany,德国,Germany,14,0.0,0,0,,,,,,,2020-02-10
88307,Europe,德国,Germany,德国,Germany,14,0.0,0,0,,,,,,,2020-02-08
98139,Europe,德国,Germany,德国,Germany,12,0.0,0,0,,,,,,,2020-02-04
100202,Europe,德国,Germany,德国,Germany,10,0.0,0,0,,,,,,,2020-02-02
103824,Europe,德国,Germany,德国,Germany,1,0.0,0,0,,,,,,,2020-02-01
105424,,德国,Germany,德国,Germany,5,0.0,0,0,,,,,,,2020-01-31
107726,,德国,Germany,德国,Germany,4,0.0,0,0,,,,,,,2020-01-29
108516,,德国,Germany,德国,Germany,1,0.0,0,0,,,,,,,2020-01-28
