,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
43,Europe,拉脱维亚,Latvia,拉脱维亚,Latvia,398,0.0,0,0,,,,,,,2020-04-01
2214,Europe,拉脱维亚,Latvia,拉脱维亚,Latvia,376,0.0,0,0,,,,,,,2020-03-31
4156,Europe,拉脱维亚,Latvia,拉脱维亚,Latvia,347,0.0,0,0,,,,,,,2020-03-30
7229,Europe,拉脱维亚,Latvia,拉脱维亚,Latvia,305,0.0,0,0,,,,,,,2020-03-29
8971,Europe,拉脱维亚,Latvia,拉脱维亚,Latvia,280,0.0,0,0,,,,,,,2020-03-28
11206,Europe,拉脱维亚,Latvia,拉脱维亚,Latvia,244,0.0,0,0,,,,,,,2020-03-27
13895,Europe,拉脱维亚,Latvia,拉脱维亚,Latvia,221,0.0,0,0,,,,,,,2020-03-26
17845,Europe,拉脱维亚,Latvia,拉脱维亚,Latvia,197,0.0,0,0,,,,,,,2020-03-25
19559,Europe,拉脱维亚,Latvia,拉脱维亚,Latvia,180,0.0,0,0,,,,,,,2020-03-24
22900,Europe,拉脱维亚,Latvia,拉脱维亚,Latvia,139,0.0,0,0,,,,,,,2020-03-23
25561,Europe,拉脱维亚,Latvia,拉脱维亚,Latvia,124,0.0,0,0,,,,,,,2020-03-22
26994,Europe,拉脱维亚,Latvia,拉脱维亚,Latvia,111,0.0,0,0,,,,,,,2020-03-21
27864,Europe,拉脱维亚,Latvia,拉脱维亚,Latvia,86,0.0,0,0,,,,,,,2020-03-20
29122,Europe,拉脱维亚,Latvia,拉脱维亚,Latvia,71,0.0,0,0,,,,,,,2020-03-19
31011,Europe,拉脱维亚,Latvia,拉脱维亚,Latvia,49,0.0,0,0,,,,,,,2020-03-18
33129,Europe,拉脱维亚,Latvia,拉脱维亚,Latvia,34,0.0,0,0,,,,,,,2020-03-17
35212,Europe,拉脱维亚,Latvia,拉脱维亚,Latvia,30,0.0,0,0,,,,,,,2020-03-16
36312,Europe,拉脱维亚,Latvia,拉脱维亚,Latvia,26,0.0,0,0,,,,,,,2020-03-15
37502,Europe,拉脱维亚,Latvia,拉脱维亚,Latvia,18,0.0,0,0,,,,,,,2020-03-14
38594,Europe,拉脱维亚,Latvia,拉脱维亚,Latvia,16,0.0,0,0,,,,,,,2020-03-13
39536,Europe,拉脱维亚,Latvia,拉脱维亚,Latvia,10,0.0,0,0,,,,,,,2020-03-12
40625,Europe,拉脱维亚,Latvia,拉脱维亚,Latvia,8,0.0,0,0,,,,,,,2020-03-11
41204,Europe,拉脱维亚,Latvia,拉脱维亚,Latvia,8,0.0,0,0,,,,,,,2020-03-10
42488,Europe,拉脱维亚,Latvia,拉脱维亚,Latvia,6,0.0,0,0,,,,,,,2020-03-09
46081,Europe,拉脱维亚,Latvia,拉脱维亚,Latvia,1,0.0,0,0,,,,,,,2020-03-06
46917,Europe,拉脱维亚,Latvia,拉脱维亚,Latvia,1,0.0,0,0,,,,,,,2020-03-05
47682,Europe,拉脱维亚,Latvia,拉脱维亚,Latvia,1,0.0,0,0,,,,,,,2020-03-04
