,continentEnglishName,countryName,countryEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,updateTime
503,Europe,摩尔多瓦,Moldova,199,0.0,10,2,2020-03-29
764,Europe,摩尔多瓦,Moldova,199,0.0,10,2,2020-03-28
3089,Europe,摩尔多瓦,Moldova,177,0.0,1,1,2020-03-27
5577,Europe,摩尔多瓦,Moldova,149,0.0,1,1,2020-03-26
9640,Europe,摩尔多瓦,Moldova,125,0.0,1,1,2020-03-25
11360,Europe,摩尔多瓦,Moldova,109,0.0,1,1,2020-03-24
14694,Europe,摩尔多瓦,Moldova,94,0.0,1,1,2020-03-23
17355,Europe,摩尔多瓦,Moldova,80,0.0,1,1,2020-03-22
18792,Europe,摩尔多瓦,Moldova,66,0.0,1,1,2020-03-21
19663,Europe,摩尔多瓦,Moldova,49,0.0,1,1,2020-03-20
20925,Europe,摩尔多瓦,Moldova,36,0.0,1,1,2020-03-19
23264,Europe,摩尔多瓦,Moldova,30,0.0,0,0,2020-03-18
24922,Europe,摩尔多瓦,Moldova,23,0.0,0,0,2020-03-17
26999,Europe,摩尔多瓦,Moldova,23,0.0,0,0,2020-03-16
28109,Europe,摩尔多瓦,Moldova,12,0.0,0,0,2020-03-15
29292,Europe,摩尔多瓦,Moldova,8,0.0,0,0,2020-03-14
30160,Europe,摩尔多瓦,Moldova,6,0.0,0,0,2020-03-13
31337,Europe,摩尔多瓦,Moldova,3,0.0,0,0,2020-03-12
32438,Europe,摩尔多瓦,Moldova,1,0.0,0,0,2020-03-11
33127,Europe,摩尔多瓦,Moldova,1,0.0,0,0,2020-03-10
34370,Europe,摩尔多瓦,Moldova,1,0.0,0,0,2020-03-09
