,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
37,Africa,摩洛哥,Morocco,摩洛哥,Morocco,574,0.0,15,33,,,,,,,2020-04-01
197,Africa,摩洛哥,Morocco,摩洛哥,Morocco,574,0.0,15,33,,,,,,,2020-03-31
2257,Africa,摩洛哥,Morocco,摩洛哥,Morocco,516,0.0,13,26,,,,,,,2020-03-30
5109,Africa,摩洛哥,Morocco,摩洛哥,Morocco,437,0.0,12,26,,,,,,,2020-03-29
6959,Africa,摩洛哥,Morocco,摩洛哥,Morocco,358,0.0,11,23,,,,,,,2020-03-28
9294,Africa,摩洛哥,Morocco,摩洛哥,Morocco,275,0.0,8,10,,,,,,,2020-03-27
11778,Africa,摩洛哥,Morocco,摩洛哥,Morocco,225,0.0,7,6,,,,,,,2020-03-26
15842,Africa,摩洛哥,Morocco,摩洛哥,Morocco,170,0.0,6,5,,,,,,,2020-03-25
17560,Africa,摩洛哥,Morocco,摩洛哥,Morocco,143,0.0,5,4,,,,,,,2020-03-24
20898,Africa,摩洛哥,Morocco,摩洛哥,Morocco,122,0.0,3,4,,,,,,,2020-03-23
23558,Africa,摩洛哥,Morocco,摩洛哥,Morocco,96,0.0,2,3,,,,,,,2020-03-22
24992,Africa,摩洛哥,Morocco,摩洛哥,Morocco,86,0.0,2,3,,,,,,,2020-03-21
25866,Africa,摩洛哥,Morocco,摩洛哥,Morocco,66,0.0,2,3,,,,,,,2020-03-20
27123,Africa,摩洛哥,Morocco,摩洛哥,Morocco,58,0.0,1,2,,,,,,,2020-03-19
29005,Africa,摩洛哥,Morocco,摩洛哥,Morocco,49,0.0,1,2,,,,,,,2020-03-18
30832,Africa,摩洛哥,Morocco,摩洛哥,Morocco,38,0.0,1,2,,,,,,,2020-03-17
33219,Africa,摩洛哥,Morocco,摩洛哥,Morocco,16,0.0,0,2,,,,,,,2020-03-16
34315,Africa,摩洛哥,Morocco,摩洛哥,Morocco,16,0.0,0,2,,,,,,,2020-03-15
35431,Africa,摩洛哥,Morocco,摩洛哥,Morocco,7,0.0,0,2,,,,,,,2020-03-14
36605,Africa,摩洛哥,Morocco,摩洛哥,Morocco,6,0.0,0,2,,,,,,,2020-03-13
37263,Africa,摩洛哥,Morocco,摩洛哥,Morocco,6,0.0,0,2,,,,,,,2020-03-12
38632,Africa,摩洛哥,Morocco,摩洛哥,Morocco,3,0.0,0,0,,,,,,,2020-03-11
39236,Africa,摩洛哥,Morocco,摩洛哥,Morocco,3,0.0,0,0,,,,,,,2020-03-10
44067,Africa,摩洛哥,Morocco,摩洛哥,Morocco,1,0.0,0,0,,,,,,,2020-03-06
44977,Africa,摩洛哥,Morocco,摩洛哥,Morocco,1,0.0,0,0,,,,,,,2020-03-05
45667,Africa,摩洛哥,Morocco,摩洛哥,Morocco,1,0.0,0,0,,,,,,,2020-03-04
46510,Africa,摩洛哥,Morocco,摩洛哥,Morocco,1,0.0,0,0,,,,,,,2020-03-03
