,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
93,Asia,文莱,Brunei,文莱,Brunei,131,0.0,45,1,,,,,,,2020-04-01
2256,Asia,文莱,Brunei,文莱,Brunei,129,0.0,45,1,,,,,,,2020-03-31
4185,Asia,文莱,Brunei,文莱,Brunei,127,0.0,38,1,,,,,,,2020-03-30
7362,Asia,文莱,Brunei,文莱,Brunei,126,0.0,34,1,,,,,,,2020-03-29
8999,Asia,文莱,Brunei,文莱,Brunei,120,0.0,25,1,,,,,,,2020-03-28
11414,Asia,文莱,Brunei,文莱,Brunei,115,0.0,11,0,,,,,,,2020-03-27
13917,Asia,文莱,Brunei,文莱,Brunei,114,0.0,5,0,,,,,,,2020-03-26
17866,Asia,文莱,Brunei,文莱,Brunei,109,0.0,4,0,,,,,,,2020-03-25
19582,Asia,文莱,Brunei,文莱,Brunei,104,0.0,4,0,,,,,,,2020-03-24
22915,Asia,文莱,Brunei,文莱,Brunei,91,0.0,4,0,,,,,,,2020-03-23
25569,Asia,文莱,Brunei,文莱,Brunei,88,0.0,4,0,,,,,,,2020-03-22
27002,Asia,文莱,Brunei,文莱,Brunei,83,0.0,2,0,,,,,,,2020-03-21
27866,Asia,文莱,Brunei,文莱,Brunei,78,0.0,1,0,,,,,,,2020-03-20
29121,Asia,文莱,Brunei,文莱,Brunei,73,0.0,0,0,,,,,,,2020-03-19
31005,Asia,文莱,Brunei,文莱,Brunei,68,0.0,0,0,,,,,,,2020-03-18
32838,Asia,文莱,Brunei,文莱,Brunei,56,0.0,0,0,,,,,,,2020-03-17
35201,Asia,文莱,Brunei,文莱,Brunei,50,0.0,0,0,,,,,,,2020-03-16
36208,Asia,文莱,Brunei,文莱,Brunei,50,0.0,0,0,,,,,,,2020-03-15
37394,Asia,文莱,Brunei,文莱,Brunei,40,0.0,0,0,,,,,,,2020-03-14
38325,Asia,文莱,Brunei,文莱,Brunei,36,0.0,0,0,,,,,,,2020-03-13
39227,Asia,文莱,Brunei,文莱,Brunei,25,0.0,0,0,,,,,,,2020-03-12
40634,Asia,文莱,Brunei,文莱,Brunei,6,0.0,0,0,,,,,,,2020-03-11
41243,Asia,文莱,Brunei,文莱,Brunei,6,0.0,0,0,,,,,,,2020-03-10
