,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
413,Oceania,斐济,Fiji,斐济,Fiji,5,0.0,0,0,,,,,,,2020-04-01
3152,Oceania,斐济,Fiji,斐济,Fiji,5,0.0,0,0,,,,,,,2020-03-31
4386,Oceania,斐济,Fiji,斐济,Fiji,5,0.0,0,0,,,,,,,2020-03-30
8000,Oceania,斐济,Fiji,斐济,Fiji,5,0.0,0,0,,,,,,,2020-03-29
9675,Oceania,斐济,Fiji,斐济,Fiji,5,0.0,0,0,,,,,,,2020-03-28
11488,Oceania,斐济,Fiji,斐济,Fiji,5,0.0,0,0,,,,,,,2020-03-27
13988,Oceania,斐济,Fiji,斐济,Fiji,4,0.0,0,0,,,,,,,2020-03-26
18219,Oceania,斐济,Fiji,斐济,Fiji,3,0.0,0,0,,,,,,,2020-03-25
19667,Oceania,斐济,Fiji,斐济,Fiji,2,0.0,0,0,,,,,,,2020-03-24
22998,Oceania,斐济,Fiji,斐济,Fiji,2,0.0,0,0,,,,,,,2020-03-23
26035,Oceania,斐济,Fiji,斐济,Fiji,1,0.0,0,0,,,,,,,2020-03-22
27106,Oceania,斐济,Fiji,斐济,Fiji,1,0.0,0,0,,,,,,,2020-03-21
27966,Oceania,斐济,Fiji,斐济,Fiji,1,0.0,0,0,,,,,,,2020-03-20
29469,Oceania,斐济,Fiji,斐济,Fiji,1,0.0,0,0,,,,,,,2020-03-19
