,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
393,Africa,斯威士兰,Swaziland,斯威士兰,Swaziland,9,0.0,0,0,,,,,,,2020-04-01
2423,Africa,斯威士兰,Swaziland,斯威士兰,Swaziland,9,0.0,0,0,,,,,,,2020-03-31
4368,Africa,斯威士兰,Swaziland,斯威士兰,Swaziland,9,0.0,0,0,,,,,,,2020-03-30
7981,Africa,斯威士兰,Swaziland,斯威士兰,Swaziland,9,0.0,0,0,,,,,,,2020-03-29
9657,Africa,斯威士兰,Swaziland,斯威士兰,Swaziland,8,0.0,0,0,,,,,,,2020-03-28
11471,Africa,斯威士兰,Swaziland,斯威士兰,Swaziland,8,0.0,0,0,,,,,,,2020-03-27
15162,Africa,斯威士兰,Swaziland,斯威士兰,Swaziland,5,0.0,0,0,,,,,,,2020-03-26
18204,Africa,斯威士兰,Swaziland,斯威士兰,Swaziland,5,0.0,0,0,,,,,,,2020-03-25
19643,Africa,斯威士兰,Swaziland,斯威士兰,Swaziland,5,0.0,0,0,,,,,,,2020-03-24
22978,Africa,斯威士兰,Swaziland,斯威士兰,Swaziland,4,0.0,0,0,,,,,,,2020-03-23
25633,Africa,斯威士兰,Swaziland,斯威士兰,Swaziland,4,0.0,0,0,,,,,,,2020-03-22
27099,Africa,斯威士兰,Swaziland,斯威士兰,Swaziland,1,0.0,0,0,,,,,,,2020-03-21
27958,Africa,斯威士兰,Swaziland,斯威士兰,Swaziland,1,0.0,0,0,,,,,,,2020-03-20
29212,Africa,斯威士兰,Swaziland,斯威士兰,Swaziland,1,0.0,0,0,,,,,,,2020-03-19
31550,Africa,斯威士兰,Swaziland,斯威士兰,Swaziland,1,0.0,0,0,,,,,,,2020-03-18
33201,Africa,斯威士兰,Swaziland,斯威士兰,Swaziland,1,0.0,0,0,,,,,,,2020-03-17
35283,Africa,斯威士兰,Swaziland,斯威士兰,Swaziland,1,0.0,0,0,,,,,,,2020-03-16
36382,Africa,斯威士兰,Swaziland,斯威士兰,Swaziland,1,0.0,0,0,,,,,,,2020-03-15
