,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
73,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,1408,0.0,223,86,,,,,,,2020-04-29
989,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,1402,0.0,221,83,,,,,,,2020-04-28
2432,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,1396,0.0,221,82,,,,,,,2020-04-27
3450,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,1388,0.0,219,81,,,,,,,2020-04-26
4775,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,1373,0.0,215,80,,,,,,,2020-04-25
6536,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,1366,0.0,211,79,,,,,,,2020-04-24
7950,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,1353,0.0,197,79,,,,,,,2020-04-23
9151,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,1344,0.0,197,77,,,,,,,2020-04-22
10797,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,1335,0.0,193,77,,,,,,,2020-04-21
12335,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,1330,0.0,192,74,,,,,,,2020-04-20
13497,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,1317,0.0,190,70,,,,,,,2020-04-19
14680,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,1304,0.0,174,66,,,,,,,2020-04-18
15719,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,1304,0.0,174,66,,,,,,,2020-04-17
17594,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,1248,0.0,165,61,,,,,,,2020-04-16
18882,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,1220,0.0,152,56,,,,,,,2020-04-15
20488,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,1212,0.0,152,55,,,,,,,2020-04-14
22128,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,1205,0.0,150,53,,,,,,,2020-04-13
23083,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,1205,0.0,150,53,,,,,,,2020-04-12
24764,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,1160,0.0,137,45,,,,,,,2020-04-11
26143,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,1124,0.0,128,43,,,,,,,2020-04-10
27319,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,1124,0.0,128,43,,,,,,,2020-04-09
29171,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,1091,0.0,0,40,,,,,,,2020-04-08
30947,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,1021,0.0,0,30,,,,,,,2020-04-07
32849,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,997,0.0,0,28,,,,,,,2020-04-06
34796,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,977,0.0,0,22,,,,,,,2020-04-05
37013,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,934,0.0,0,21,,,,,,,2020-04-04
38046,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,841,0.0,0,15,,,,,,,2020-04-03
40297,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,814,0.0,0,15,,,,,,,2020-04-02
42062,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,802,0.0,0,15,,,,,,,2020-04-01
44044,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,756,0.0,0,11,,,,,,,2020-03-31
46053,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,691,0.0,0,9,,,,,,,2020-03-30
49147,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,632,0.0,0,9,,,,,,,2020-03-29
50861,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,632,0.0,0,9,,,,,,,2020-03-28
53132,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,528,0.0,0,5,,,,,,,2020-03-27
55666,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,526,0.0,0,5,,,,,,,2020-03-26
59732,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,442,0.0,0,3,,,,,,,2020-03-25
61447,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,442,0.0,0,3,,,,,,,2020-03-24
64764,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,414,0.0,0,2,,,,,,,2020-03-23
67428,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,341,0.0,0,1,,,,,,,2020-03-22
68860,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,341,0.0,0,1,,,,,,,2020-03-21
69724,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,286,0.0,0,1,,,,,,,2020-03-20
70979,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,275,0.0,0,1,,,,,,,2020-03-19
72872,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,275,0.0,0,1,,,,,,,2020-03-18
74973,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,253,0.0,0,1,,,,,,,2020-03-17
77061,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,219,0.0,0,0,,,,,,,2020-03-16
78162,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,181,0.0,0,0,,,,,,,2020-03-15
79307,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,141,0.0,0,0,,,,,,,2020-03-14
80450,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,89,0.0,0,0,,,,,,,2020-03-13
81150,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,57,0.0,0,0,,,,,,,2020-03-12
82191,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,31,0.0,0,0,,,,,,,2020-03-11
83174,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,25,0.0,0,0,,,,,,,2020-03-10
84467,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,16,0.0,0,0,,,,,,,2020-03-09
85233,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,12,0.0,0,0,,,,,,,2020-03-08
86302,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,6,0.0,0,0,,,,,,,2020-03-07
87016,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,6,0.0,0,0,,,,,,,2020-03-06
88208,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,1,0.0,0,0,,,,,,,2020-03-05
