,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
98,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,611,0.0,134,7,,,,,,,2020-04-29
935,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,596,0.0,134,7,,,,,,,2020-04-28
2320,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,557,0.0,126,7,,,,,,,2020-04-27
3391,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,485,0.0,120,7,,,,,,,2020-04-26
4782,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,435,0.0,118,7,,,,,,,2020-04-25
6394,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,414,0.0,109,7,,,,,,,2020-04-24
7836,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,334,0.0,105,7,,,,,,,2020-04-23
9198,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,322,0.0,104,7,,,,,,,2020-04-22
10836,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,303,0.0,97,7,,,,,,,2020-04-21
12204,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,303,0.0,97,7,,,,,,,2020-04-20
13331,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,269,0.0,91,7,,,,,,,2020-04-19
14584,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,248,0.0,77,7,,,,,,,2020-04-18
15829,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,242,0.0,77,7,,,,,,,2020-04-17
17678,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,238,0.0,63,7,,,,,,,2020-04-16
19052,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,219,0.0,59,7,,,,,,,2020-04-15
20572,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,219,0.0,59,7,,,,,,,2020-04-14
22091,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,214,0.0,57,7,,,,,,,2020-04-13
23147,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,203,0.0,55,7,,,,,,,2020-04-12
24665,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,197,0.0,49,7,,,,,,,2020-04-11
26355,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,190,0.0,49,7,,,,,,,2020-04-10
27314,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,190,0.0,49,7,,,,,,,2020-04-09
29189,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,188,0.0,42,7,,,,,,,2020-04-08
31004,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,183,0.0,42,6,,,,,,,2020-04-07
32867,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,171,0.0,29,5,,,,,,,2020-04-06
34591,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,171,0.0,29,5,,,,,,,2020-04-05
36593,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,162,0.0,24,5,,,,,,,2020-04-04
38229,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,150,0.0,21,3,,,,,,,2020-04-03
40274,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,150,0.0,21,3,,,,,,,2020-04-02
42049,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,142,0.0,16,2,,,,,,,2020-04-01
44051,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,142,0.0,16,2,,,,,,,2020-03-31
46087,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,122,0.0,6,1,,,,,,,2020-03-30
49263,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,113,0.0,6,1,,,,,,,2020-03-29
50901,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,110,0.0,6,0,,,,,,,2020-03-28
53321,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,106,0.0,6,0,,,,,,,2020-03-27
55825,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,102,0.0,1,0,,,,,,,2020-03-26
59773,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,100,0.0,1,0,,,,,,,2020-03-25
61489,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,100,0.0,1,0,,,,,,,2020-03-24
64805,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,92,0.0,1,0,,,,,,,2020-03-23
67340,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,81,0.0,1,0,,,,,,,2020-03-22
68894,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,77,0.0,1,0,,,,,,,2020-03-21
69761,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,71,0.0,1,0,,,,,,,2020-03-20
71019,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,60,0.0,1,0,,,,,,,2020-03-19
72901,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,50,0.0,1,0,,,,,,,2020-03-18
74700,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,44,0.0,1,0,,,,,,,2020-03-17
77113,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,19,0.0,1,0,,,,,,,2020-03-16
78221,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,11,0.0,1,0,,,,,,,2020-03-15
79297,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,8,0.0,1,0,,,,,,,2020-03-14
80511,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,3,0.0,1,0,,,,,,,2020-03-13
81114,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,3,0.0,1,0,,,,,,,2020-03-12
82223,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,2,0.0,1,0,,,,,,,2020-03-11
83241,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,1,0.0,1,0,,,,,,,2020-03-10
88961,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,1,0.0,1,0,,,,,,,2020-03-05
91337,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,1,0.0,1,0,,,,,,,2020-03-03
92837,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,1,0.0,1,0,,,,,,,2020-03-02
93683,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,1,0.0,1,0,,,,,,,2020-03-01
94527,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,1,0.0,1,0,,,,,,,2020-02-29
98774,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,1,0.0,1,0,,,,,,,2020-02-26
104966,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,1,0.0,1,0,,,,,,,2020-02-22
106020,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,1,0.0,1,0,,,,,,,2020-02-21
107653,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,1,0.0,1,0,,,,,,,2020-02-20
108602,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,1,0.0,1,0,,,,,,,2020-02-19
113944,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,1,0.0,0,0,,,,,,,2020-02-16
117004,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,1,0.0,0,0,,,,,,,2020-02-15
119283,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,1,0.0,0,0,,,,,,,2020-02-14
120133,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,1,0.0,0,0,,,,,,,2020-02-13
122263,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,1,0.0,0,0,,,,,,,2020-02-12
124565,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,1,0.0,0,0,,,,,,,2020-02-11
126431,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,1,0.0,0,0,,,,,,,2020-02-10
147765,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,1,0.0,0,0,,,,,,,2020-02-01
152057,,斯里兰卡,SriLanka,斯里兰卡,SriLanka,1,0.0,0,0,,,,,,,2020-01-28
