,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
71,Asia,新加坡,Singapore,新加坡,Singapore,1000,0.0,183,3,,,,,,,2020-04-01
2198,Asia,新加坡,Singapore,新加坡,Singapore,926,0.0,183,3,,,,,,,2020-03-31
4257,Asia,新加坡,Singapore,新加坡,Singapore,879,0.0,183,3,,,,,,,2020-03-30
7209,Asia,新加坡,Singapore,新加坡,Singapore,844,0.0,183,3,,,,,,,2020-03-29
8956,Asia,新加坡,Singapore,新加坡,Singapore,802,0.0,183,2,,,,,,,2020-03-28
11248,Asia,新加坡,Singapore,新加坡,Singapore,732,0.0,172,2,,,,,,,2020-03-27
13779,Asia,新加坡,Singapore,新加坡,Singapore,683,0.0,152,2,,,,,,,2020-03-26
17825,Asia,新加坡,Singapore,新加坡,Singapore,631,0.0,152,2,,,,,,,2020-03-25
19542,Asia,新加坡,Singapore,新加坡,Singapore,558,0.0,152,2,,,,,,,2020-03-24
22878,Asia,新加坡,Singapore,新加坡,Singapore,509,0.0,152,2,,,,,,,2020-03-23
25444,Asia,新加坡,Singapore,新加坡,Singapore,455,0.0,140,2,,,,,,,2020-03-22
26970,Asia,新加坡,Singapore,新加坡,Singapore,432,0.0,140,2,,,,,,,2020-03-21
27837,Asia,新加坡,Singapore,新加坡,Singapore,385,0.0,124,0,,,,,,,2020-03-20
29096,Asia,新加坡,Singapore,新加坡,Singapore,345,0.0,117,0,,,,,,,2020-03-19
30986,Asia,新加坡,Singapore,新加坡,Singapore,313,0.0,105,0,,,,,,,2020-03-18
32827,Asia,新加坡,Singapore,新加坡,Singapore,266,0.0,105,0,,,,,,,2020-03-17
35178,Asia,新加坡,Singapore,新加坡,Singapore,226,0.0,105,0,,,,,,,2020-03-16
36280,Asia,新加坡,Singapore,新加坡,Singapore,212,0.0,105,0,,,,,,,2020-03-15
37749,Asia,新加坡,Singapore,新加坡,Singapore,200,0.0,82,0,,,,,,,2020-03-14
38320,Asia,新加坡,Singapore,新加坡,Singapore,200,0.0,82,0,,,,,,,2020-03-13
39216,Asia,新加坡,Singapore,新加坡,Singapore,187,0.0,82,0,,,,,,,2020-03-12
40586,Asia,新加坡,Singapore,新加坡,Singapore,166,0.0,82,0,,,,,,,2020-03-11
41239,Asia,新加坡,Singapore,新加坡,Singapore,166,0.0,82,0,,,,,,,2020-03-10
42796,Asia,新加坡,Singapore,新加坡,Singapore,138,0.0,82,0,,,,,,,2020-03-09
43324,Asia,新加坡,Singapore,新加坡,Singapore,138,0.0,82,0,,,,,,,2020-03-08
44385,Asia,新加坡,Singapore,新加坡,Singapore,130,0.0,82,0,,,,,,,2020-03-07
45120,Asia,新加坡,Singapore,新加坡,Singapore,130,0.0,82,0,,,,,,,2020-03-06
46886,Asia,新加坡,Singapore,新加坡,Singapore,112,0.0,79,0,,,,,,,2020-03-05
47654,Asia,新加坡,Singapore,新加坡,Singapore,110,0.0,74,0,,,,,,,2020-03-04
48520,Asia,新加坡,Singapore,新加坡,Singapore,110,0.0,74,0,,,,,,,2020-03-03
50034,Asia,新加坡,Singapore,新加坡,Singapore,106,0.0,74,0,,,,,,,2020-03-02
51747,Asia,新加坡,Singapore,新加坡,Singapore,102,0.0,72,0,,,,,,,2020-03-01
52596,Asia,新加坡,Singapore,新加坡,Singapore,98,0.0,69,0,,,,,,,2020-02-29
54553,Asia,新加坡,Singapore,新加坡,Singapore,93,0.0,62,0,,,,,,,2020-02-28
54956,Asia,新加坡,Singapore,新加坡,Singapore,93,0.0,62,0,,,,,,,2020-02-27
55886,Asia,新加坡,Singapore,新加坡,Singapore,93,0.0,62,0,,,,,,,2020-02-26
58175,Asia,新加坡,Singapore,新加坡,Singapore,90,0.0,53,0,,,,,,,2020-02-25
59411,Asia,新加坡,Singapore,新加坡,Singapore,89,0.0,51,0,,,,,,,2020-02-24
59802,Asia,新加坡,Singapore,新加坡,Singapore,89,0.0,51,0,,,,,,,2020-02-23
62673,Asia,新加坡,Singapore,新加坡,Singapore,85,0.0,37,0,,,,,,,2020-02-22
63791,Asia,新加坡,Singapore,新加坡,Singapore,85,0.0,37,0,,,,,,,2020-02-21
