,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
402,Oceania,新喀里多尼亚,,新喀里多尼亚,,15,0.0,0,0,,,,,,,2020-03-31
2347,Oceania,新喀里多尼亚,,新喀里多尼亚,,15,0.0,0,0,,,,,,,2020-03-30
5959,Oceania,新喀里多尼亚,,新喀里多尼亚,,15,0.0,0,0,,,,,,,2020-03-29
7634,Oceania,新喀里多尼亚,,新喀里多尼亚,,14,0.0,0,0,,,,,,,2020-03-28
9451,Oceania,新喀里多尼亚,,新喀里多尼亚,,14,0.0,0,0,,,,,,,2020-03-27
11962,Oceania,新喀里多尼亚,,新喀里多尼亚,,10,0.0,0,0,,,,,,,2020-03-26
16187,Oceania,新喀里多尼亚,,新喀里多尼亚,,8,0.0,0,0,,,,,,,2020-03-25
17637,Oceania,新喀里多尼亚,,新喀里多尼亚,,5,0.0,0,0,,,,,,,2020-03-24
20972,Oceania,新喀里多尼亚,,新喀里多尼亚,,4,0.0,0,0,,,,,,,2020-03-23
23639,Oceania,新喀里多尼亚,,新喀里多尼亚,,2,0.0,0,0,,,,,,,2020-03-22
25082,Oceania,新喀里多尼亚,,新喀里多尼亚,,2,0.0,0,0,,,,,,,2020-03-21
