,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
10,Oceania,新西兰,New Zealand,新西兰,New Zealand,1126,4.0,1214,19,,,,,,,2020-04-29
919,Oceania,新西兰,New Zealand,新西兰,New Zealand,1124,4.0,1214,19,,,,,,,2020-04-28
2533,Oceania,新西兰,New Zealand,新西兰,New Zealand,1122,4.0,1180,19,,,,,,,2020-04-27
3649,Oceania,新西兰,New Zealand,新西兰,New Zealand,1142,4.0,1121,18,,,,,,,2020-04-26
4785,Oceania,新西兰,New Zealand,新西兰,New Zealand,1117,4.0,1095,18,,,,,,,2020-04-25
6367,Oceania,新西兰,New Zealand,新西兰,New Zealand,1114,4.0,1095,17,,,,,,,2020-04-24
7851,Oceania,新西兰,New Zealand,新西兰,New Zealand,1112,4.0,1065,16,,,,,,,2020-04-23
9233,Oceania,新西兰,New Zealand,新西兰,New Zealand,1113,4.0,1036,14,,,,,,,2020-04-22
10860,Oceania,新西兰,New Zealand,新西兰,New Zealand,1107,4.0,1032,13,,,,,,,2020-04-21
12206,Oceania,新西兰,New Zealand,新西兰,New Zealand,1105,4.0,974,12,,,,,,,2020-04-20
13355,Oceania,新西兰,New Zealand,新西兰,New Zealand,1098,4.0,912,12,,,,,,,2020-04-19
14560,Oceania,新西兰,New Zealand,新西兰,New Zealand,1094,4.0,816,11,,,,,,,2020-04-18
15712,Oceania,新西兰,New Zealand,新西兰,New Zealand,1086,4.0,816,9,,,,,,,2020-04-17
17810,Oceania,新西兰,New Zealand,新西兰,New Zealand,1084,4.0,770,9,,,,,,,2020-04-16
18893,Oceania,新西兰,New Zealand,新西兰,New Zealand,1078,4.0,728,9,,,,,,,2020-04-15
20914,Oceania,新西兰,New Zealand,新西兰,New Zealand,1072,4.0,628,9,,,,,,,2020-04-14
21999,Oceania,新西兰,New Zealand,新西兰,New Zealand,1064,4.0,546,5,,,,,,,2020-04-13
23279,Oceania,新西兰,New Zealand,新西兰,New Zealand,1049,4.0,471,4,,,,,,,2020-04-12
24637,Oceania,新西兰,New Zealand,新西兰,New Zealand,1035,4.0,422,1,,,,,,,2020-04-11
26123,Oceania,新西兰,New Zealand,新西兰,New Zealand,992,4.0,317,1,,,,,,,2020-04-10
27354,Oceania,新西兰,New Zealand,新西兰,New Zealand,992,4.0,317,1,,,,,,,2020-04-09
29321,Oceania,新西兰,New Zealand,新西兰,New Zealand,969,4.0,282,1,,,,,,,2020-04-08
30953,Oceania,新西兰,New Zealand,新西兰,New Zealand,943,4.0,241,1,,,,,,,2020-04-07
33012,Oceania,新西兰,New Zealand,新西兰,New Zealand,911,4.0,50,1,,,,,,,2020-04-06
34795,Oceania,新西兰,New Zealand,新西兰,New Zealand,1039,4.0,50,1,,,,,,,2020-04-05
