,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
110,Asia,日本,Japan,日本,Japan,2490,0.0,404,68,,,,,,,2020-04-01
2182,Asia,日本,Japan,日本,Japan,2124,0.0,404,59,,,,,,,2020-03-31
4242,Asia,日本,Japan,日本,Japan,1944,0.0,404,58,,,,,,,2020-03-30
7092,Asia,日本,Japan,日本,Japan,1893,0.0,404,56,,,,,,,2020-03-29
8941,Asia,日本,Japan,日本,Japan,1724,0.0,372,54,,,,,,,2020-03-28
11260,Asia,日本,Japan,日本,Japan,1503,0.0,359,51,,,,,,,2020-03-27
13793,Asia,日本,Japan,日本,Japan,1398,0.0,359,47,,,,,,,2020-03-26
17989,Asia,日本,Japan,日本,Japan,1277,0.0,285,44,,,,,,,2020-03-25
19526,Asia,日本,Japan,日本,Japan,1145,0.0,285,42,,,,,,,2020-03-24
22859,Asia,日本,Japan,日本,Japan,1119,0.0,285,42,,,,,,,2020-03-23
25431,Asia,日本,Japan,日本,Japan,1091,0.0,215,41,,,,,,,2020-03-22
26862,Asia,日本,Japan,日本,Japan,1054,0.0,215,36,,,,,,,2020-03-21
27817,Asia,日本,Japan,日本,Japan,969,0.0,157,34,,,,,,,2020-03-20
29054,Asia,日本,Japan,日本,Japan,956,0.0,157,33,,,,,,,2020-03-19
30963,Asia,日本,Japan,日本,Japan,919,0.0,157,31,,,,,,,2020-03-18
32819,Asia,日本,Japan,日本,Japan,880,0.0,157,29,,,,,,,2020-03-17
35007,Asia,日本,Japan,日本,Japan,818,0.0,157,24,,,,,,,2020-03-16
36231,Asia,日本,Japan,日本,Japan,817,0.0,135,24,,,,,,,2020-03-15
37401,Asia,日本,Japan,日本,Japan,746,0.0,135,21,,,,,,,2020-03-14
38337,Asia,日本,Japan,日本,Japan,711,0.0,135,19,,,,,,,2020-03-13
39225,Asia,日本,Japan,日本,Japan,657,0.0,102,17,,,,,,,2020-03-12
40180,Asia,日本,Japan,日本,Japan,620,0.0,102,14,,,,,,,2020-03-11
41195,Asia,日本,Japan,日本,Japan,581,0.0,102,12,,,,,,,2020-03-10
42480,Asia,日本,Japan,日本,Japan,514,0.0,46,9,,,,,,,2020-03-09
43313,Asia,日本,Japan,日本,Japan,463,0.0,46,7,,,,,,,2020-03-08
44373,Asia,日本,Japan,日本,Japan,420,0.0,46,6,,,,,,,2020-03-07
45338,Asia,日本,Japan,日本,Japan,371,0.0,46,6,,,,,,,2020-03-06
46464,Asia,日本,Japan,日本,Japan,331,0.0,46,6,,,,,,,2020-03-05
47646,Asia,日本,Japan,日本,Japan,304,0.0,46,6,,,,,,,2020-03-04
48468,Asia,日本,Japan,日本,Japan,289,0.0,41,6,,,,,,,2020-03-03
49902,Asia,日本,Japan,日本,Japan,274,0.0,41,6,,,,,,,2020-03-02
51188,Asia,日本,Japan,日本,Japan,250,0.0,41,5,,,,,,,2020-03-01
52589,Asia,日本,Japan,日本,Japan,240,0.0,22,5,,,,,,,2020-02-29
53606,Asia,日本,Japan,日本,Japan,226,0.0,22,4,,,,,,,2020-02-28
54952,Asia,日本,Japan,日本,Japan,189,0.0,22,3,,,,,,,2020-02-27
56092,Asia,日本,Japan,日本,Japan,178,0.0,22,2,,,,,,,2020-02-26
57402,Asia,日本,Japan,日本,Japan,170,0.0,22,1,,,,,,,2020-02-25
58810,Asia,日本,Japan,日本,Japan,159,0.0,22,1,,,,,,,2020-02-24
60614,Asia,日本,Japan,日本,Japan,135,0.0,22,1,,,,,,,2020-02-23
61557,Asia,日本,Japan,日本,Japan,122,0.0,22,1,,,,,,,2020-02-22
63200,Asia,日本,Japan,日本,Japan,105,0.0,22,1,,,,,,,2020-02-21
65757,Asia,日本,Japan,日本,Japan,84,0.0,12,1,,,,,,,2020-02-20
66299,Asia,日本,Japan,日本,Japan,84,0.0,12,1,,,,,,,2020-02-19
68081,Asia,日本,Japan,日本,Japan,74,0.0,12,1,,,,,,,2020-02-18
70869,Asia,日本,Japan,日本,Japan,62,0.0,12,1,,,,,,,2020-02-17
72039,Asia,日本,Japan,日本,Japan,62,0.0,12,1,,,,,,,2020-02-16
73976,Asia,日本,Japan,日本,Japan,326,0.0,12,1,,,,,,,2020-02-15
75951,Asia,日本,Japan,日本,Japan,253,0.0,9,1,,,,,,,2020-02-14
78079,Asia,日本,Japan,日本,Japan,247,0.0,9,1,,,,,,,2020-02-13
80352,Asia,日本,Japan,日本,Japan,203,0.0,9,0,,,,,,,2020-02-12
82654,Asia,日本,Japan,日本,Japan,161,0.0,9,0,,,,,,,2020-02-11
84554,Asia,日本,Japan,日本,Japan,156,0.0,4,0,,,,,,,2020-02-10
90424,Asia,日本,Japan,日本,Japan,89,0.0,1,0,,,,,,,2020-02-08
93586,Asia,日本,Japan,日本,Japan,86,0.0,1,0,,,,,,,2020-02-07
95793,Asia,日本,Japan,日本,Japan,45,0.0,1,0,,,,,,,2020-02-06
96675,Asia,日本,Japan,日本,Japan,35,0.0,1,0,,,,,,,2020-02-05
104134,Asia,日本,Japan,日本,Japan,20,0.0,1,0,,,,,,,2020-02-01
106055,,日本,Japan,日本,Japan,15,0.0,1,0,,,,,,,2020-01-31
108195,,日本,Japan,日本,Japan,11,0.0,1,0,,,,,,,2020-01-30
109836,,日本,Japan,日本,Japan,7,0.0,1,0,,,,,,,2020-01-28
110752,,日本,Japan,日本,Japan,4,0.0,1,0,,,,,,,2020-01-27
