,continentEnglishName,countryName,countryEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,updateTime
133,South America,智利,Chile,1909,0.0,43,6,2020-03-29
721,South America,智利,Chile,1610,0.0,43,5,2020-03-28
3131,South America,智利,Chile,1306,0.0,17,3,2020-03-27
5557,South America,智利,Chile,922,0.0,17,2,2020-03-26
9596,South America,智利,Chile,922,0.0,17,2,2020-03-25
11311,South America,智利,Chile,746,0.0,11,2,2020-03-24
14645,South America,智利,Chile,632,0.0,8,2,2020-03-23
17309,South America,智利,Chile,537,0.0,8,1,2020-03-22
18744,South America,智利,Chile,434,0.0,0,0,2020-03-21
19611,South America,智利,Chile,342,0.0,0,0,2020-03-20
20875,South America,智利,Chile,238,0.0,0,0,2020-03-19
22771,South America,智利,Chile,201,0.0,0,0,2020-03-18
24873,South America,智利,Chile,156,0.0,0,0,2020-03-17
26973,South America,智利,Chile,75,0.0,0,0,2020-03-16
28074,South America,智利,Chile,61,0.0,0,0,2020-03-15
29206,South America,智利,Chile,43,0.0,0,0,2020-03-14
30358,South America,智利,Chile,33,0.0,0,0,2020-03-13
31046,South America,智利,Chile,23,0.0,0,0,2020-03-12
32096,South America,智利,Chile,17,0.0,0,0,2020-03-11
33009,South America,智利,Chile,13,0.0,0,0,2020-03-10
34362,South America,智利,Chile,8,0.0,0,0,2020-03-09
35129,South America,智利,Chile,7,0.0,0,0,2020-03-08
36339,South America,智利,Chile,4,0.0,0,0,2020-03-07
37149,South America,智利,Chile,4,0.0,0,0,2020-03-06
38095,South America,智利,Chile,3,0.0,0,0,2020-03-05
39460,South America,智利,Chile,1,0.0,0,0,2020-03-04
