,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
356,Europe,根西岛,Guernsey,根西岛,Guernsey,45,0.0,0,0,,,,,,,2020-04-01
2390,Europe,根西岛,Guernsey,根西岛,Guernsey,39,0.0,0,0,,,,,,,2020-03-31
4336,Europe,根西岛,Guernsey,根西岛,Guernsey,39,0.0,0,0,,,,,,,2020-03-30
7953,Europe,根西岛,Guernsey,根西岛,Guernsey,36,0.0,0,0,,,,,,,2020-03-29
9453,Europe,根西岛,Guernsey,根西岛,Guernsey,34,0.0,0,0,,,,,,,2020-03-28
11444,Europe,根西岛,Guernsey,根西岛,Guernsey,30,0.0,0,0,,,,,,,2020-03-27
13955,Europe,根西岛,Guernsey,根西岛,Guernsey,23,0.0,0,0,,,,,,,2020-03-26
18175,Europe,根西岛,Guernsey,根西岛,Guernsey,20,0.0,0,0,,,,,,,2020-03-25
19623,Europe,根西岛,Guernsey,根西岛,Guernsey,17,0.0,0,0,,,,,,,2020-03-24
22950,Europe,根西岛,Guernsey,根西岛,Guernsey,17,0.0,0,0,,,,,,,2020-03-23
25609,Europe,根西岛,Guernsey,根西岛,Guernsey,17,0.0,0,0,,,,,,,2020-03-22
27097,Europe,根西岛,Guernsey,根西岛,Guernsey,1,0.0,0,0,,,,,,,2020-03-21
27956,Europe,根西岛,Guernsey,根西岛,Guernsey,1,0.0,0,0,,,,,,,2020-03-20
29207,Europe,根西岛,Guernsey,根西岛,Guernsey,1,0.0,0,0,,,,,,,2020-03-19
31544,Europe,根西岛,Guernsey,根西岛,Guernsey,1,0.0,0,0,,,,,,,2020-03-18
32926,Europe,根西岛,Guernsey,根西岛,Guernsey,1,0.0,0,0,,,,,,,2020-03-17
35276,Europe,根西岛,Guernsey,根西岛,Guernsey,1,0.0,0,0,,,,,,,2020-03-16
36372,Europe,根西岛,Guernsey,根西岛,Guernsey,1,0.0,0,0,,,,,,,2020-03-15
37451,Europe,根西岛,Guernsey,根西岛,Guernsey,1,0.0,0,0,,,,,,,2020-03-14
38364,Europe,根西岛,Guernsey,根西岛,Guernsey,1,0.0,0,0,,,,,,,2020-03-13
