,continentEnglishName,countryName,countryEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,updateTime
206,Asia,格鲁吉亚,Georgia,85,0.0,14,0,2020-03-29
1221,Asia,格鲁吉亚,Georgia,85,0.0,14,0,2020-03-28
3206,Asia,格鲁吉亚,Georgia,81,0.0,13,0,2020-03-27
5712,Asia,格鲁吉亚,Georgia,77,0.0,10,0,2020-03-26
9933,Asia,格鲁吉亚,Georgia,73,0.0,10,0,2020-03-25
11377,Asia,格鲁吉亚,Georgia,67,0.0,9,0,2020-03-24
14711,Asia,格鲁吉亚,Georgia,54,0.0,3,0,2020-03-23
17370,Asia,格鲁吉亚,Georgia,47,0.0,1,0,2020-03-22
18801,Asia,格鲁吉亚,Georgia,47,0.0,1,0,2020-03-21
19665,Asia,格鲁吉亚,Georgia,43,0.0,1,0,2020-03-20
20920,Asia,格鲁吉亚,Georgia,40,0.0,0,0,2020-03-19
22797,Asia,格鲁吉亚,Georgia,35,0.0,0,0,2020-03-18
24914,Europe,格鲁吉亚,Georgia,33,0.0,0,0,2020-03-17
26993,Europe,格鲁吉亚,Georgia,33,0.0,0,0,2020-03-16
28091,Europe,格鲁吉亚,Georgia,30,0.0,0,0,2020-03-15
29566,Europe,格鲁吉亚,Georgia,25,0.0,0,0,2020-03-14
30174,Europe,格鲁吉亚,Georgia,25,0.0,0,0,2020-03-13
31301,Europe,格鲁吉亚,Georgia,24,0.0,0,0,2020-03-12
32088,Europe,格鲁吉亚,Georgia,23,0.0,0,0,2020-03-11
33080,Europe,格鲁吉亚,Georgia,13,0.0,0,0,2020-03-10
34597,Asia,格鲁吉亚,Georgia,13,0.0,0,0,2020-03-09
35123,Asia,格鲁吉亚,Georgia,13,0.0,0,0,2020-03-08
36188,Asia,格鲁吉亚,Georgia,9,0.0,0,0,2020-03-07
38818,Asia,格鲁吉亚,Georgia,3,0.0,0,0,2020-03-05
40039,Asia,格鲁吉亚,Georgia,3,0.0,0,0,2020-03-04
41202,Asia,格鲁吉亚,Georgia,3,0.0,0,0,2020-03-03
41831,Asia,格鲁吉亚,Georgia,3,0.0,0,0,2020-03-02
43195,Europe,格鲁吉亚,Georgia,3,0.0,0,0,2020-03-01
44398,Europe,格鲁吉亚,Georgia,2,0.0,0,0,2020-02-29
45995,Europe,格鲁吉亚,Georgia,1,0.0,0,0,2020-02-28
46754,Europe,格鲁吉亚,Georgia,1,0.0,0,0,2020-02-27
