,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
21,Europe,比利时,Belgium,比利时,Belgium,13964,0.0,2132,828,,,,,,,2020-04-02
240,Europe,比利时,Belgium,比利时,Belgium,13964,0.0,2132,828,,,,,,,2020-04-01
2158,Europe,比利时,Belgium,比利时,Belgium,12775,0.0,1696,705,,,,,,,2020-03-31
4219,Europe,比利时,Belgium,比利时,Belgium,11899,0.0,1527,513,,,,,,,2020-03-30
7224,Europe,比利时,Belgium,比利时,Belgium,10836,0.0,350,431,,,,,,,2020-03-29
8925,Europe,比利时,Belgium,比利时,Belgium,9134,0.0,350,353,,,,,,,2020-03-28
11293,Europe,比利时,Belgium,比利时,Belgium,7284,0.0,350,289,,,,,,,2020-03-27
13840,Europe,比利时,Belgium,比利时,Belgium,6235,0.0,350,220,,,,,,,2020-03-26
17804,Europe,比利时,Belgium,比利时,Belgium,4937,0.0,350,178,,,,,,,2020-03-25
19511,Europe,比利时,Belgium,比利时,Belgium,4269,0.0,350,122,,,,,,,2020-03-24
22846,Europe,比利时,Belgium,比利时,Belgium,3743,0.0,350,88,,,,,,,2020-03-23
25509,Europe,比利时,Belgium,比利时,Belgium,3401,0.0,290,75,,,,,,,2020-03-22
26942,Europe,比利时,Belgium,比利时,Belgium,2815,0.0,263,67,,,,,,,2020-03-21
27809,Europe,比利时,Belgium,比利时,Belgium,2257,0.0,1,37,,,,,,,2020-03-20
29068,Europe,比利时,Belgium,比利时,Belgium,1795,0.0,1,14,,,,,,,2020-03-19
30972,Europe,比利时,Belgium,比利时,Belgium,1486,0.0,1,14,,,,,,,2020-03-18
32818,Europe,比利时,Belgium,比利时,Belgium,1243,0.0,1,5,,,,,,,2020-03-17
35157,Europe,比利时,Belgium,比利时,Belgium,886,0.0,1,3,,,,,,,2020-03-16
36238,Europe,比利时,Belgium,比利时,Belgium,886,0.0,1,3,,,,,,,2020-03-15
37400,Europe,比利时,Belgium,比利时,Belgium,689,0.0,1,3,,,,,,,2020-03-14
38318,Europe,比利时,Belgium,比利时,Belgium,556,0.0,1,3,,,,,,,2020-03-13
39219,Europe,比利时,Belgium,比利时,Belgium,399,0.0,1,3,,,,,,,2020-03-12
40283,Europe,比利时,Belgium,比利时,Belgium,267,0.0,1,0,,,,,,,2020-03-11
41259,Europe,比利时,Belgium,比利时,Belgium,239,0.0,1,0,,,,,,,2020-03-10
42482,Europe,比利时,Belgium,比利时,Belgium,239,0.0,1,0,,,,,,,2020-03-09
43317,Europe,比利时,Belgium,比利时,Belgium,169,0.0,1,0,,,,,,,2020-03-08
44380,Europe,比利时,Belgium,比利时,Belgium,109,0.0,1,0,,,,,,,2020-03-07
45225,Europe,比利时,Belgium,比利时,Belgium,109,0.0,1,0,,,,,,,2020-03-06
46893,Europe,比利时,Belgium,比利时,Belgium,23,0.0,1,0,,,,,,,2020-03-05
47885,Europe,比利时,Belgium,比利时,Belgium,13,0.0,1,0,,,,,,,2020-03-04
48677,Europe,比利时,Belgium,比利时,Belgium,13,0.0,1,0,,,,,,,2020-03-03
50499,Europe,比利时,Belgium,比利时,Belgium,2,0.0,1,0,,,,,,,2020-03-02
51138,Europe,比利时,Belgium,比利时,Belgium,2,0.0,1,0,,,,,,,2020-03-01
52639,Europe,比利时,Belgium,比利时,Belgium,1,0.0,1,0,,,,,,,2020-02-29
56887,Europe,比利时,Belgium,比利时,Belgium,1,0.0,1,0,,,,,,,2020-02-26
66175,Europe,比利时,Belgium,比利时,Belgium,1,0.0,1,0,,,,,,,2020-02-20
67996,Europe,比利时,Belgium,比利时,Belgium,1,0.0,1,0,,,,,,,2020-02-19
69392,Europe,比利时,Belgium,比利时,Belgium,1,0.0,1,0,,,,,,,2020-02-18
70612,Europe,比利时,Belgium,比利时,Belgium,1,0.0,1,0,,,,,,,2020-02-17
72057,Europe,比利时,Belgium,比利时,Belgium,1,0.0,0,0,,,,,,,2020-02-16
75116,Europe,比利时,Belgium,比利时,Belgium,1,0.0,0,0,,,,,,,2020-02-15
77395,Europe,比利时,Belgium,比利时,Belgium,1,0.0,0,0,,,,,,,2020-02-14
78245,Europe,比利时,Belgium,比利时,Belgium,1,0.0,0,0,,,,,,,2020-02-13
80375,Europe,比利时,Belgium,比利时,Belgium,1,0.0,0,0,,,,,,,2020-02-12
82677,Europe,比利时,Belgium,比利时,Belgium,1,0.0,0,0,,,,,,,2020-02-11
84577,Europe,比利时,Belgium,比利时,Belgium,1,0.0,0,0,,,,,,,2020-02-10
99623,Europe,比利时,Belgium,比利时,Belgium,1,0.0,0,0,,,,,,,2020-02-04
