,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
16,Africa,毛里求斯,Mauritius,毛里求斯,Mauritius,143,0.0,0,3,,,,,,,2020-04-01
234,Africa,毛里求斯,Mauritius,毛里求斯,Mauritius,143,0.0,0,3,,,,,,,2020-03-31
2098,Africa,毛里求斯,Mauritius,毛里求斯,Mauritius,110,0.0,0,2,,,,,,,2020-03-30
5094,Africa,毛里求斯,Mauritius,毛里求斯,Mauritius,107,0.0,0,2,,,,,,,2020-03-29
6988,Africa,毛里求斯,Mauritius,毛里求斯,Mauritius,102,0.0,0,2,,,,,,,2020-03-28
9246,Africa,毛里求斯,Mauritius,毛里求斯,Mauritius,94,0.0,0,2,,,,,,,2020-03-27
11928,Africa,毛里求斯,Mauritius,毛里求斯,Mauritius,52,0.0,0,2,,,,,,,2020-03-26
16148,Africa,毛里求斯,Mauritius,毛里求斯,Mauritius,48,0.0,0,2,,,,,,,2020-03-25
17598,Africa,毛里求斯,Mauritius,毛里求斯,Mauritius,36,0.0,2,2,,,,,,,2020-03-24
20931,Africa,毛里求斯,Mauritius,毛里求斯,Mauritius,28,0.0,0,2,,,,,,,2020-03-23
23423,Africa,毛里求斯,Mauritius,毛里求斯,Mauritius,24,0.0,0,2,,,,,,,2020-03-22
25037,Africa,毛里求斯,Mauritius,毛里求斯,Mauritius,14,0.0,0,1,,,,,,,2020-03-21
25914,Africa,毛里求斯,Mauritius,毛里求斯,Mauritius,7,0.0,0,0,,,,,,,2020-03-20
27601,Africa,毛里求斯,Mauritius,毛里求斯,Mauritius,3,0.0,0,0,,,,,,,2020-03-19
