,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
65,Asia,沙特阿拉伯,Saudi Arabia,沙特阿拉伯,Saudi Arabia,1720,0.0,264,16,,,,,,,2020-04-01
2184,Asia,沙特阿拉伯,Saudi Arabia,沙特阿拉伯,Saudi Arabia,1563,0.0,165,10,,,,,,,2020-03-31
4138,Asia,沙特阿拉伯,Saudi Arabia,沙特阿拉伯,Saudi Arabia,1453,0.0,115,8,,,,,,,2020-03-30
7206,Asia,沙特阿拉伯,Saudi Arabia,沙特阿拉伯,Saudi Arabia,1299,0.0,66,8,,,,,,,2020-03-29
8945,Asia,沙特阿拉伯,Saudi Arabia,沙特阿拉伯,Saudi Arabia,1203,0.0,37,4,,,,,,,2020-03-28
11245,Asia,沙特阿拉伯,Saudi Arabia,沙特阿拉伯,Saudi Arabia,1104,0.0,29,3,,,,,,,2020-03-27
13801,Asia,沙特阿拉伯,Saudi Arabia,沙特阿拉伯,Saudi Arabia,1012,0.0,29,3,,,,,,,2020-03-26
17816,Asia,沙特阿拉伯,Saudi Arabia,沙特阿拉伯,Saudi Arabia,900,0.0,29,2,,,,,,,2020-03-25
19528,Asia,沙特阿拉伯,Saudi Arabia,沙特阿拉伯,Saudi Arabia,767,0.0,28,1,,,,,,,2020-03-24
22870,Asia,沙特阿拉伯,Saudi Arabia,沙特阿拉伯,Saudi Arabia,511,0.0,16,0,,,,,,,2020-03-23
25443,Asia,沙特阿拉伯,Saudi Arabia,沙特阿拉伯,Saudi Arabia,511,0.0,16,0,,,,,,,2020-03-22
26966,Asia,沙特阿拉伯,Saudi Arabia,沙特阿拉伯,Saudi Arabia,392,0.0,16,0,,,,,,,2020-03-21
27835,Asia,沙特阿拉伯,Saudi Arabia,沙特阿拉伯,Saudi Arabia,274,0.0,6,0,,,,,,,2020-03-20
29094,Asia,沙特阿拉伯,Saudi Arabia,沙特阿拉伯,Saudi Arabia,238,0.0,6,0,,,,,,,2020-03-19
30993,Asia,沙特阿拉伯,Saudi Arabia,沙特阿拉伯,Saudi Arabia,171,0.0,6,0,,,,,,,2020-03-18
33099,Asia,沙特阿拉伯,Saudi Arabia,沙特阿拉伯,Saudi Arabia,133,0.0,6,0,,,,,,,2020-03-17
35184,Asia,沙特阿拉伯,Saudi Arabia,沙特阿拉伯,Saudi Arabia,103,0.0,1,0,,,,,,,2020-03-16
36282,Asia,沙特阿拉伯,Saudi Arabia,沙特阿拉伯,Saudi Arabia,103,0.0,1,0,,,,,,,2020-03-15
37479,Asia,沙特阿拉伯,Saudi Arabia,沙特阿拉伯,Saudi Arabia,86,0.0,1,0,,,,,,,2020-03-14
38568,Asia,沙特阿拉伯,Saudi Arabia,沙特阿拉伯,Saudi Arabia,62,0.0,1,0,,,,,,,2020-03-13
39261,Asia,沙特阿拉伯,Saudi Arabia,沙特阿拉伯,Saudi Arabia,45,0.0,0,0,,,,,,,2020-03-12
40308,Asia,沙特阿拉伯,Saudi Arabia,沙特阿拉伯,Saudi Arabia,21,0.0,0,0,,,,,,,2020-03-11
41286,Asia,沙特阿拉伯,Saudi Arabia,沙特阿拉伯,Saudi Arabia,20,0.0,0,0,,,,,,,2020-03-10
42824,Asia,沙特阿拉伯,Saudi Arabia,沙特阿拉伯,Saudi Arabia,7,0.0,0,0,,,,,,,2020-03-09
43346,Asia,沙特阿拉伯,Saudi Arabia,沙特阿拉伯,Saudi Arabia,7,0.0,0,0,,,,,,,2020-03-08
44987,Asia,沙特阿拉伯,Saudi Arabia,沙特阿拉伯,Saudi Arabia,2,0.0,0,0,,,,,,,2020-03-07
46072,Asia,沙特阿拉伯,Saudi Arabia,沙特阿拉伯,Saudi Arabia,2,0.0,0,0,,,,,,,2020-03-06
46314,Asia,沙特阿拉伯,Saudi Arabia,沙特阿拉伯,Saudi Arabia,2,0.0,0,0,,,,,,,2020-03-05
47901,Asia,沙特阿拉伯,Saudi Arabia,沙特阿拉伯,Saudi Arabia,1,0.0,0,0,,,,,,,2020-03-04
49069,Asia,沙特阿拉伯,Saudi Arabia,沙特阿拉伯,Saudi Arabia,1,0.0,0,0,,,,,,,2020-03-03
