,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
137,Europe,法国,France,法国,France,44550,0.0,7924,3024,,,,,,,2020-03-31
2206,Europe,法国,France,法国,France,40174,0.0,7132,2606,,,,,,,2020-03-30
5186,Europe,法国,France,法国,France,37575,0.0,5700,2314,,,,,,,2020-03-29
6914,Europe,法国,France,法国,France,33414,0.0,5700,1995,,,,,,,2020-03-28
9318,Europe,法国,France,法国,France,29155,0.0,4948,1696,,,,,,,2020-03-27
11826,Europe,法国,France,法国,France,25233,0.0,3900,1331,,,,,,,2020-03-26
15861,Europe,法国,France,法国,France,22300,0.0,3201,1100,,,,,,,2020-03-25
17494,Europe,法国,France,法国,France,19856,0.0,2200,860,,,,,,,2020-03-24
20830,Europe,法国,France,法国,France,16689,0.0,2200,674,,,,,,,2020-03-23
23494,Europe,法国,France,法国,France,14459,0.0,1587,562,,,,,,,2020-03-22
24927,Europe,法国,France,法国,France,12612,0.0,1587,450,,,,,,,2020-03-21
25795,Europe,法国,France,法国,France,10995,0.0,1300,372,,,,,,,2020-03-20
27054,Europe,法国,France,法国,France,9134,0.0,602,264,,,,,,,2020-03-19
29395,Europe,法国,France,法国,France,7730,0.0,602,175,,,,,,,2020-03-18
31054,Europe,法国,France,法国,France,6633,0.0,36,148,,,,,,,2020-03-17
33141,Europe,法国,France,法国,France,5423,0.0,36,127,,,,,,,2020-03-16
34242,Europe,法国,France,法国,France,4500,0.0,36,91,,,,,,,2020-03-15
35449,Europe,法国,France,法国,France,3661,0.0,12,79,,,,,,,2020-03-14
36525,Europe,法国,France,法国,France,2876,0.0,12,61,,,,,,,2020-03-13
37467,Europe,法国,France,法国,France,2281,0.0,12,48,,,,,,,2020-03-12
38560,Europe,法国,France,法国,France,1784,0.0,12,33,,,,,,,2020-03-11
39191,Europe,法国,France,法国,France,1606,0.0,12,30,,,,,,,2020-03-10
40547,Europe,法国,France,法国,France,1126,0.0,12,19,,,,,,,2020-03-09
41729,Europe,法国,France,法国,France,949,0.0,12,16,,,,,,,2020-03-08
42362,Europe,法国,France,法国,France,613,0.0,12,9,,,,,,,2020-03-07
43109,Europe,法国,France,法国,France,577,0.0,12,9,,,,,,,2020-03-06
44276,Europe,法国,France,法国,France,285,0.0,12,4,,,,,,,2020-03-05
45639,Europe,法国,France,法国,France,212,0.0,12,4,,,,,,,2020-03-04
47379,Europe,法国,France,法国,France,130,0.0,12,2,,,,,,,2020-03-03
48461,Europe,法国,France,法国,France,130,0.0,12,2,,,,,,,2020-03-02
49733,Europe,法国,France,法国,France,100,0.0,12,2,,,,,,,2020-03-01
50583,Europe,法国,France,法国,France,57,0.0,11,2,,,,,,,2020-02-29
52184,Europe,法国,France,法国,France,38,0.0,11,2,,,,,,,2020-02-28
52953,Europe,法国,France,法国,France,18,0.0,11,2,,,,,,,2020-02-27
54265,Europe,法国,France,法国,France,17,0.0,11,2,,,,,,,2020-02-26
55529,Europe,法国,France,法国,France,12,0.0,11,1,,,,,,,2020-02-25
64155,Europe,法国,France,法国,France,12,0.0,4,1,,,,,,,2020-02-20
65982,Europe,法国,France,法国,France,12,0.0,4,1,,,,,,,2020-02-19
67934,Europe,法国,France,法国,France,12,0.0,4,1,,,,,,,2020-02-18
68864,Europe,法国,France,法国,France,12,0.0,4,1,,,,,,,2020-02-17
70037,Europe,法国,France,法国,France,12,0.0,4,1,,,,,,,2020-02-16
71970,Europe,法国,France,法国,France,11,0.0,0,1,,,,,,,2020-02-15
75372,Europe,法国,France,法国,France,11,0.0,0,0,,,,,,,2020-02-14
76222,Europe,法国,France,法国,France,11,0.0,0,0,,,,,,,2020-02-13
78352,Europe,法国,France,法国,France,11,0.0,0,0,,,,,,,2020-02-12
80654,Europe,法国,France,法国,France,11,0.0,0,0,,,,,,,2020-02-11
82554,Europe,法国,France,法国,France,11,0.0,0,0,,,,,,,2020-02-10
87663,Europe,法国,France,法国,France,11,0.0,0,0,,,,,,,2020-02-08
103598,Europe,法国,France,法国,France,6,0.0,0,0,,,,,,,2020-02-01
106555,,法国,France,法国,France,5,0.0,0,0,,,,,,,2020-01-30
107725,,法国,France,法国,France,4,0.0,0,0,,,,,,,2020-01-29
108746,,法国,France,法国,France,3,0.0,0,0,,,,,,,2020-01-27
