,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
136,Oceania,法属波利尼西亚,French Polynesia,法属波利尼西亚,French Polynesia,58,0.0,0,0,,,,,,,2020-04-29
1657,Oceania,法属波利尼西亚,French Polynesia,法属波利尼西亚,French Polynesia,57,0.0,0,0,,,,,,,2020-04-28
4314,Oceania,法属波利尼西亚,French Polynesia,法属波利尼西亚,French Polynesia,57,0.0,0,0,,,,,,,2020-04-26
4980,Oceania,法属波利尼西亚,French Polynesia,法属波利尼西亚,French Polynesia,57,0.0,0,0,,,,,,,2020-04-25
7005,Oceania,法属波利尼西亚,French Polynesia,法属波利尼西亚,French Polynesia,57,0.0,0,0,,,,,,,2020-04-24
8035,Oceania,法属波利尼西亚,French Polynesia,法属波利尼西亚,French Polynesia,57,0.0,0,0,,,,,,,2020-04-23
9235,Oceania,法属波利尼西亚,French Polynesia,法属波利尼西亚,French Polynesia,56,0.0,0,0,,,,,,,2020-04-22
11843,Oceania,法属波利尼西亚,French Polynesia,法属波利尼西亚,French Polynesia,55,0.0,0,0,,,,,,,2020-04-21
12632,Oceania,法属波利尼西亚,French Polynesia,法属波利尼西亚,French Polynesia,55,0.0,0,0,,,,,,,2020-04-20
16354,Oceania,法属波利尼西亚,French Polynesia,法属波利尼西亚,French Polynesia,55,0.0,0,0,,,,,,,2020-04-17
17855,Oceania,法属波利尼西亚,French Polynesia,法属波利尼西亚,French Polynesia,55,0.0,0,0,,,,,,,2020-04-16
19199,Oceania,法属波利尼西亚,French Polynesia,法属波利尼西亚,French Polynesia,55,0.0,0,0,,,,,,,2020-04-15
20965,Oceania,法属波利尼西亚,French Polynesia,法属波利尼西亚,French Polynesia,53,0.0,0,0,,,,,,,2020-04-14
22656,Oceania,法属波利尼西亚,French Polynesia,法属波利尼西亚,French Polynesia,51,0.0,0,0,,,,,,,2020-04-13
23340,Oceania,法属波利尼西亚,French Polynesia,法属波利尼西亚,French Polynesia,51,0.0,0,0,,,,,,,2020-04-12
25089,Oceania,法属波利尼西亚,French Polynesia,法属波利尼西亚,French Polynesia,51,0.0,0,0,,,,,,,2020-04-11
26377,Oceania,法属波利尼西亚,French Polynesia,法属波利尼西亚,French Polynesia,51,0.0,0,0,,,,,,,2020-04-10
27586,Oceania,法属波利尼西亚,French Polynesia,法属波利尼西亚,French Polynesia,47,0.0,0,0,,,,,,,2020-04-09
29512,Oceania,法属波利尼西亚,French Polynesia,法属波利尼西亚,French Polynesia,42,0.0,0,0,,,,,,,2020-04-08
31030,Oceania,法属波利尼西亚,French Polynesia,法属波利尼西亚,French Polynesia,41,0.0,0,0,,,,,,,2020-04-07
33513,Oceania,法属波利尼西亚,French Polynesia,法属波利尼西亚,French Polynesia,40,0.0,0,0,,,,,,,2020-04-06
35007,Oceania,法属波利尼西亚,French Polynesia,法属波利尼西亚,French Polynesia,39,0.0,0,0,,,,,,,2020-04-05
