,continentEnglishName,countryName,countryEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,updateTime
187,Europe,法罗群岛,Faroe,144,0.0,0,0,2020-03-29
769,Europe,法罗群岛,Faroe,140,0.0,0,0,2020-03-28
2997,Europe,法罗群岛,Faroe,132,0.0,0,0,2020-03-27
5697,Europe,法罗群岛,Faroe,122,0.0,0,0,2020-03-26
9642,Europe,法罗群岛,Faroe,118,0.0,0,0,2020-03-25
11358,Europe,法罗群岛,Faroe,115,0.0,0,0,2020-03-24
14695,Europe,法罗群岛,Faroe,92,0.0,0,0,2020-03-23
17354,Europe,法罗群岛,Faroe,80,0.0,0,0,2020-03-22
18788,Europe,法罗群岛,Faroe,72,0.0,0,0,2020-03-21
19658,Europe,法罗群岛,Faroe,58,0.0,0,0,2020-03-20
20917,Europe,法罗群岛,Faroe,47,0.0,0,0,2020-03-19
23250,Europe,法罗群岛,Faroe,47,0.0,0,0,2020-03-18
24686,Europe,法罗群岛,Faroe,11,0.0,0,0,2020-03-17
27041,Europe,法罗群岛,Faroe,2,0.0,0,0,2020-03-16
28137,Europe,法罗群岛,Faroe,2,0.0,0,0,2020-03-15
29229,Europe,法罗群岛,Faroe,2,0.0,0,0,2020-03-14
30144,Europe,法罗群岛,Faroe,2,0.0,0,0,2020-03-13
