,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
30,Europe,波兰,Poland,波兰,Poland,2055,0.0,13,31,,,,,,,2020-04-01
127,Europe,波兰,Poland,波兰,Poland,2055,0.0,13,31,,,,,,,2020-03-31
2126,Europe,波兰,Poland,波兰,Poland,1862,0.0,13,22,,,,,,,2020-03-30
5229,Europe,波兰,Poland,波兰,Poland,1638,0.0,13,18,,,,,,,2020-03-29
6931,Europe,波兰,Poland,波兰,Poland,1389,0.0,13,16,,,,,,,2020-03-28
9254,Europe,波兰,Poland,波兰,Poland,1221,0.0,13,16,,,,,,,2020-03-27
11749,Europe,波兰,Poland,波兰,Poland,901,0.0,13,10,,,,,,,2020-03-26
15806,Europe,波兰,Poland,波兰,Poland,901,0.0,13,10,,,,,,,2020-03-25
17521,Europe,波兰,Poland,波兰,Poland,749,0.0,13,8,,,,,,,2020-03-24
20856,Europe,波兰,Poland,波兰,Poland,634,0.0,13,7,,,,,,,2020-03-23
23433,Europe,波兰,Poland,波兰,Poland,563,0.0,13,7,,,,,,,2020-03-22
24955,Europe,波兰,Poland,波兰,Poland,425,0.0,13,5,,,,,,,2020-03-21
25821,Europe,波兰,Poland,波兰,Poland,355,0.0,13,5,,,,,,,2020-03-20
27080,Europe,波兰,Poland,波兰,Poland,287,0.0,13,5,,,,,,,2020-03-19
28975,Europe,波兰,Poland,波兰,Poland,238,0.0,13,3,,,,,,,2020-03-18
30815,Europe,波兰,Poland,波兰,Poland,205,0.0,13,3,,,,,,,2020-03-17
33003,Europe,波兰,Poland,波兰,Poland,125,0.0,13,3,,,,,,,2020-03-16
34274,Europe,波兰,Poland,波兰,Poland,104,0.0,0,3,,,,,,,2020-03-15
35412,Europe,波兰,Poland,波兰,Poland,68,0.0,0,0,,,,,,,2020-03-14
36562,Europe,波兰,Poland,波兰,Poland,51,0.0,0,0,,,,,,,2020-03-13
37254,Europe,波兰,Poland,波兰,Poland,31,0.0,0,0,,,,,,,2020-03-12
38298,Europe,波兰,Poland,波兰,Poland,22,0.0,0,0,,,,,,,2020-03-11
39193,Europe,波兰,Poland,波兰,Poland,18,0.0,0,0,,,,,,,2020-03-10
40572,Europe,波兰,Poland,波兰,Poland,8,0.0,0,0,,,,,,,2020-03-09
41340,Europe,波兰,Poland,波兰,Poland,6,0.0,0,0,,,,,,,2020-03-08
42404,Europe,波兰,Poland,波兰,Poland,5,0.0,0,0,,,,,,,2020-03-07
44073,Europe,波兰,Poland,波兰,Poland,1,0.0,0,0,,,,,,,2020-03-06
44909,Europe,波兰,Poland,波兰,Poland,1,0.0,0,0,,,,,,,2020-03-05
45674,Europe,波兰,Poland,波兰,Poland,1,0.0,0,0,,,,,,,2020-03-04
