,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
84,North America,波多黎各,Puerto Rico,波多黎各,Puerto Rico,174,0.0,0,6,,,,,,,2020-04-01
2380,North America,波多黎各,Puerto Rico,波多黎各,Puerto Rico,64,0.0,0,2,,,,,,,2020-03-31
4325,North America,波多黎各,Puerto Rico,波多黎各,Puerto Rico,64,0.0,0,2,,,,,,,2020-03-30
7940,North America,波多黎各,Puerto Rico,波多黎各,Puerto Rico,64,0.0,0,2,,,,,,,2020-03-29
9443,North America,波多黎各,Puerto Rico,波多黎各,Puerto Rico,64,0.0,0,2,,,,,,,2020-03-28
11435,North America,波多黎各,Puerto Rico,波多黎各,Puerto Rico,51,0.0,0,2,,,,,,,2020-03-27
13945,North America,波多黎各,Puerto Rico,波多黎各,Puerto Rico,39,0.0,0,2,,,,,,,2020-03-26
18166,North America,波多黎各,Puerto Rico,波多黎各,Puerto Rico,31,0.0,0,2,,,,,,,2020-03-25
19617,North America,波多黎各,Puerto Rico,波多黎各,Puerto Rico,23,0.0,0,1,,,,,,,2020-03-24
22948,North America,波多黎各,Puerto Rico,波多黎各,Puerto Rico,21,0.0,0,1,,,,,,,2020-03-23
25617,North America,波多黎各,Puerto Rico,波多黎各,Puerto Rico,14,0.0,0,0,,,,,,,2020-03-22
27064,North America,波多黎各,Puerto Rico,波多黎各,Puerto Rico,6,0.0,0,0,,,,,,,2020-03-21
27930,North America,波多黎各,Puerto Rico,波多黎各,Puerto Rico,5,0.0,0,0,,,,,,,2020-03-20
29181,North America,波多黎各,Puerto Rico,波多黎各,Puerto Rico,5,0.0,0,0,,,,,,,2020-03-19
31526,North America,波多黎各,Puerto Rico,波多黎各,Puerto Rico,3,0.0,0,0,,,,,,,2020-03-18
32918,North America,波多黎各,Puerto Rico,波多黎各,Puerto Rico,3,0.0,0,0,,,,,,,2020-03-17
34870,North America,波多黎各,Puerto Rico,波多黎各,Puerto Rico,3,0.0,0,0,,,,,,,2020-03-16
