,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
64,Asia,泰国,Thailand,泰国,Thailand,1771,0.0,127,12,,,,,,,2020-04-01
2183,Asia,泰国,Thailand,泰国,Thailand,1651,0.0,127,10,,,,,,,2020-03-31
4191,Asia,泰国,Thailand,泰国,Thailand,1524,0.0,127,9,,,,,,,2020-03-30
7205,Asia,泰国,Thailand,泰国,Thailand,1388,0.0,97,7,,,,,,,2020-03-29
8948,Asia,泰国,Thailand,泰国,Thailand,1245,0.0,97,6,,,,,,,2020-03-28
11279,Asia,泰国,Thailand,泰国,Thailand,1136,0.0,97,5,,,,,,,2020-03-27
13757,Asia,泰国,Thailand,泰国,Thailand,1045,0.0,70,4,,,,,,,2020-03-26
17817,Asia,泰国,Thailand,泰国,Thailand,934,0.0,70,4,,,,,,,2020-03-25
19527,Asia,泰国,Thailand,泰国,Thailand,827,0.0,57,4,,,,,,,2020-03-24
22862,Asia,泰国,Thailand,泰国,Thailand,721,0.0,52,1,,,,,,,2020-03-23
25526,Asia,泰国,Thailand,泰国,Thailand,599,0.0,45,1,,,,,,,2020-03-22
26967,Asia,泰国,Thailand,泰国,Thailand,411,0.0,44,1,,,,,,,2020-03-21
27834,Asia,泰国,Thailand,泰国,Thailand,322,0.0,43,1,,,,,,,2020-03-20
29095,Asia,泰国,Thailand,泰国,Thailand,272,0.0,42,1,,,,,,,2020-03-19
30991,Asia,泰国,Thailand,泰国,Thailand,212,0.0,41,1,,,,,,,2020-03-18
32879,Asia,泰国,Thailand,泰国,Thailand,177,0.0,41,1,,,,,,,2020-03-17
35189,Asia,泰国,Thailand,泰国,Thailand,114,0.0,35,1,,,,,,,2020-03-16
36288,Asia,泰国,Thailand,泰国,Thailand,114,0.0,35,1,,,,,,,2020-03-15
37422,Asia,泰国,Thailand,泰国,Thailand,82,0.0,34,1,,,,,,,2020-03-14
38388,Asia,泰国,Thailand,泰国,Thailand,75,0.0,34,1,,,,,,,2020-03-13
39262,Asia,泰国,Thailand,泰国,Thailand,70,0.0,34,1,,,,,,,2020-03-12
40303,Asia,泰国,Thailand,泰国,Thailand,59,0.0,34,1,,,,,,,2020-03-11
41226,Asia,泰国,Thailand,泰国,Thailand,53,0.0,31,1,,,,,,,2020-03-10
42813,Asia,泰国,Thailand,泰国,Thailand,50,0.0,31,1,,,,,,,2020-03-09
43760,Asia,泰国,Thailand,泰国,Thailand,50,0.0,31,1,,,,,,,2020-03-08
44396,Asia,泰国,Thailand,泰国,Thailand,50,0.0,31,1,,,,,,,2020-03-07
45355,Asia,泰国,Thailand,泰国,Thailand,48,0.0,31,1,,,,,,,2020-03-06
46296,Asia,泰国,Thailand,泰国,Thailand,47,0.0,31,1,,,,,,,2020-03-05
48241,Asia,泰国,Thailand,泰国,Thailand,43,0.0,31,1,,,,,,,2020-03-04
49403,Asia,泰国,Thailand,泰国,Thailand,43,0.0,31,1,,,,,,,2020-03-03
50042,Asia,泰国,Thailand,泰国,Thailand,43,0.0,31,1,,,,,,,2020-03-02
51411,Asia,泰国,Thailand,泰国,Thailand,42,0.0,28,1,,,,,,,2020-03-01
52446,Asia,泰国,Thailand,泰国,Thailand,42,0.0,28,0,,,,,,,2020-02-29
53678,Asia,泰国,Thailand,泰国,Thailand,41,0.0,28,0,,,,,,,2020-02-28
55350,Asia,泰国,Thailand,泰国,Thailand,40,0.0,22,0,,,,,,,2020-02-27
56273,Asia,泰国,Thailand,泰国,Thailand,40,0.0,22,0,,,,,,,2020-02-26
57535,Asia,泰国,Thailand,泰国,Thailand,37,0.0,22,0,,,,,,,2020-02-25
59414,Asia,泰国,Thailand,泰国,Thailand,35,0.0,21,0,,,,,,,2020-02-24
59804,Asia,泰国,Thailand,泰国,Thailand,35,0.0,21,0,,,,,,,2020-02-23
62676,Asia,泰国,Thailand,泰国,Thailand,35,0.0,17,0,,,,,,,2020-02-22
63792,Asia,泰国,Thailand,泰国,Thailand,35,0.0,17,0,,,,,,,2020-02-21
66159,Asia,泰国,Thailand,泰国,Thailand,35,0.0,15,0,,,,,,,2020-02-20
67403,Asia,泰国,Thailand,泰国,Thailand,35,0.0,15,0,,,,,,,2020-02-19
68654,Asia,泰国,Thailand,泰国,Thailand,35,0.0,15,0,,,,,,,2020-02-18
70049,Asia,泰国,Thailand,泰国,Thailand,35,0.0,14,0,,,,,,,2020-02-17
72040,Asia,泰国,Thailand,泰国,Thailand,34,0.0,14,0,,,,,,,2020-02-16
73978,Asia,泰国,Thailand,泰国,Thailand,33,0.0,13,0,,,,,,,2020-02-15
77376,Asia,泰国,Thailand,泰国,Thailand,33,0.0,10,0,,,,,,,2020-02-14
78224,Asia,泰国,Thailand,泰国,Thailand,33,0.0,10,0,,,,,,,2020-02-13
80354,Asia,泰国,Thailand,泰国,Thailand,33,0.0,10,0,,,,,,,2020-02-12
82656,Asia,泰国,Thailand,泰国,Thailand,32,0.0,10,0,,,,,,,2020-02-11
84556,Asia,泰国,Thailand,泰国,Thailand,32,0.0,10,0,,,,,,,2020-02-10
89202,Asia,泰国,Thailand,泰国,Thailand,32,0.0,10,0,,,,,,,2020-02-08
99053,Asia,泰国,Thailand,泰国,Thailand,25,0.0,5,0,,,,,,,2020-02-04
105891,Asia,泰国,Thailand,泰国,Thailand,19,0.0,5,0,,,,,,,2020-02-01
106054,,泰国,Thailand,泰国,Thailand,19,0.0,5,0,,,,,,,2020-01-31
110199,,泰国,Thailand,泰国,Thailand,14,0.0,5,0,,,,,,,2020-01-28
110748,,泰国,Thailand,泰国,Thailand,7,0.0,2,0,,,,,,,2020-01-27
