,continentEnglishName,countryName,countryEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,updateTime
1391,North America,洪都拉斯,Honduras,68,0.0,0,1,2020-03-28
3208,North America,洪都拉斯,Honduras,68,0.0,0,1,2020-03-27
5718,North America,洪都拉斯,Honduras,52,0.0,0,0,2020-03-26
9947,North America,洪都拉斯,Honduras,30,0.0,0,0,2020-03-25
11394,North America,洪都拉斯,Honduras,26,0.0,0,0,2020-03-24
14724,North America,洪都拉斯,Honduras,24,0.0,0,0,2020-03-23
17384,North America,洪都拉斯,Honduras,24,0.0,0,0,2020-03-22
18816,North America,洪都拉斯,Honduras,24,0.0,0,0,2020-03-21
19680,North America,洪都拉斯,Honduras,24,0.0,0,0,2020-03-20
20951,North America,洪都拉斯,Honduras,9,0.0,0,0,2020-03-19
23290,North America,洪都拉斯,Honduras,8,0.0,0,0,2020-03-18
24963,North America,洪都拉斯,Honduras,2,0.0,0,0,2020-03-17
27039,North America,洪都拉斯,Honduras,2,0.0,0,0,2020-03-16
28134,North America,洪都拉斯,Honduras,2,0.0,0,0,2020-03-15
29606,North America,洪都拉斯,Honduras,2,0.0,0,0,2020-03-14
30410,North America,洪都拉斯,Honduras,2,0.0,0,0,2020-03-13
30973,North America,洪都拉斯,Honduras,2,0.0,0,0,2020-03-12
