,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
247,Oceania,澳大利亚,Australia,澳大利亚,Australia,4860,0.0,119,20,,,,,,,2020-04-01
2165,Oceania,澳大利亚,Australia,澳大利亚,Australia,4557,0.0,119,19,,,,,,,2020-03-31
4130,Oceania,澳大利亚,Australia,澳大利亚,Australia,4245,0.0,119,16,,,,,,,2020-03-30
7201,Oceania,澳大利亚,Australia,澳大利亚,Australia,3809,0.0,119,16,,,,,,,2020-03-29
8933,Oceania,澳大利亚,Australia,澳大利亚,Australia,3635,0.0,119,14,,,,,,,2020-03-28
11340,Oceania,澳大利亚,Australia,澳大利亚,Australia,2985,0.0,119,12,,,,,,,2020-03-27
13846,Oceania,澳大利亚,Australia,澳大利亚,Australia,2799,0.0,27,12,,,,,,,2020-03-26
17807,Oceania,澳大利亚,Australia,澳大利亚,Australia,2136,0.0,27,8,,,,,,,2020-03-25
19513,Oceania,澳大利亚,Australia,澳大利亚,Australia,2136,0.0,27,8,,,,,,,2020-03-24
22850,Oceania,澳大利亚,Australia,澳大利亚,Australia,1709,0.0,27,7,,,,,,,2020-03-23
25518,Oceania,澳大利亚,Australia,澳大利亚,Australia,1098,0.0,27,7,,,,,,,2020-03-22
26950,Oceania,澳大利亚,Australia,澳大利亚,Australia,1051,0.0,27,7,,,,,,,2020-03-21
27816,Oceania,澳大利亚,Australia,澳大利亚,Australia,877,0.0,27,7,,,,,,,2020-03-20
29077,Oceania,澳大利亚,Australia,澳大利亚,Australia,636,0.0,27,6,,,,,,,2020-03-19
30978,Oceania,澳大利亚,Australia,澳大利亚,Australia,556,0.0,27,5,,,,,,,2020-03-18
32870,Oceania,澳大利亚,Australia,澳大利亚,Australia,449,0.0,27,5,,,,,,,2020-03-17
35010,Oceania,澳大利亚,Australia,澳大利亚,Australia,298,0.0,27,5,,,,,,,2020-03-16
36266,Oceania,澳大利亚,Australia,澳大利亚,Australia,272,0.0,24,3,,,,,,,2020-03-15
37390,Oceania,澳大利亚,Australia,澳大利亚,Australia,236,0.0,24,3,,,,,,,2020-03-14
38552,Oceania,澳大利亚,Australia,澳大利亚,Australia,144,0.0,24,3,,,,,,,2020-03-13
39257,Oceania,澳大利亚,Australia,澳大利亚,Australia,144,0.0,24,3,,,,,,,2020-03-12
40287,Oceania,澳大利亚,Australia,澳大利亚,Australia,117,0.0,22,3,,,,,,,2020-03-11
41266,Oceania,澳大利亚,Australia,澳大利亚,Australia,101,0.0,22,3,,,,,,,2020-03-10
42563,Oceania,澳大利亚,Australia,澳大利亚,Australia,83,0.0,22,3,,,,,,,2020-03-09
43328,Oceania,澳大利亚,Australia,澳大利亚,Australia,74,0.0,22,3,,,,,,,2020-03-08
44389,Oceania,澳大利亚,Australia,澳大利亚,Australia,64,0.0,22,2,,,,,,,2020-03-07
45348,Oceania,澳大利亚,Australia,澳大利亚,Australia,59,0.0,22,2,,,,,,,2020-03-06
46291,Oceania,澳大利亚,Australia,澳大利亚,Australia,53,0.0,21,2,,,,,,,2020-03-05
47663,Oceania,澳大利亚,Australia,澳大利亚,Australia,41,0.0,21,1,,,,,,,2020-03-04
48436,Oceania,澳大利亚,Australia,澳大利亚,Australia,40,0.0,15,1,,,,,,,2020-03-03
50041,Oceania,澳大利亚,Australia,澳大利亚,Australia,29,0.0,15,1,,,,,,,2020-03-02
