,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
120,Europe,爱尔兰,Ireland,爱尔兰,Ireland,3235,0.0,0,71,,,,,,,2020-04-01
2171,Europe,爱尔兰,Ireland,爱尔兰,Ireland,2910,0.0,0,54,,,,,,,2020-03-31
4131,Europe,爱尔兰,Ireland,爱尔兰,Ireland,2615,0.0,0,46,,,,,,,2020-03-30
7087,Europe,爱尔兰,Ireland,爱尔兰,Ireland,2415,0.0,0,36,,,,,,,2020-03-29
8936,Europe,爱尔兰,Ireland,爱尔兰,Ireland,2121,0.0,0,22,,,,,,,2020-03-28
11223,Europe,爱尔兰,Ireland,爱尔兰,Ireland,1819,0.0,0,19,,,,,,,2020-03-27
13854,Europe,爱尔兰,Ireland,爱尔兰,Ireland,1564,0.0,0,9,,,,,,,2020-03-26
17811,Europe,爱尔兰,Ireland,爱尔兰,Ireland,1329,0.0,0,7,,,,,,,2020-03-25
19523,Europe,爱尔兰,Ireland,爱尔兰,Ireland,1125,0.0,0,6,,,,,,,2020-03-24
22858,Europe,爱尔兰,Ireland,爱尔兰,Ireland,906,0.0,0,4,,,,,,,2020-03-23
25524,Europe,爱尔兰,Ireland,爱尔兰,Ireland,785,0.0,0,3,,,,,,,2020-03-22
26955,Europe,爱尔兰,Ireland,爱尔兰,Ireland,683,0.0,0,3,,,,,,,2020-03-21
27822,Europe,爱尔兰,Ireland,爱尔兰,Ireland,557,0.0,0,2,,,,,,,2020-03-20
29083,Europe,爱尔兰,Ireland,爱尔兰,Ireland,366,0.0,0,2,,,,,,,2020-03-19
31425,Europe,爱尔兰,Ireland,爱尔兰,Ireland,292,0.0,0,2,,,,,,,2020-03-18
33086,Europe,爱尔兰,Ireland,爱尔兰,Ireland,223,0.0,0,2,,,,,,,2020-03-17
35175,Europe,爱尔兰,Ireland,爱尔兰,Ireland,169,0.0,0,2,,,,,,,2020-03-16
36233,Europe,爱尔兰,Ireland,爱尔兰,Ireland,129,0.0,0,2,,,,,,,2020-03-15
37478,Europe,爱尔兰,Ireland,爱尔兰,Ireland,90,0.0,0,1,,,,,,,2020-03-14
38563,Europe,爱尔兰,Ireland,爱尔兰,Ireland,70,0.0,0,1,,,,,,,2020-03-13
39510,Europe,爱尔兰,Ireland,爱尔兰,Ireland,43,0.0,0,1,,,,,,,2020-03-12
40298,Europe,爱尔兰,Ireland,爱尔兰,Ireland,34,0.0,0,0,,,,,,,2020-03-11
41284,Europe,爱尔兰,Ireland,爱尔兰,Ireland,24,0.0,0,0,,,,,,,2020-03-10
42575,Europe,爱尔兰,Ireland,爱尔兰,Ireland,21,0.0,0,0,,,,,,,2020-03-09
43337,Europe,爱尔兰,Ireland,爱尔兰,Ireland,19,0.0,0,0,,,,,,,2020-03-08
44397,Europe,爱尔兰,Ireland,爱尔兰,Ireland,18,0.0,0,0,,,,,,,2020-03-07
45358,Europe,爱尔兰,Ireland,爱尔兰,Ireland,13,0.0,0,0,,,,,,,2020-03-06
46910,Europe,爱尔兰,Ireland,爱尔兰,Ireland,2,0.0,0,0,,,,,,,2020-03-05
47673,Europe,爱尔兰,Ireland,爱尔兰,Ireland,2,0.0,0,0,,,,,,,2020-03-04
49436,Europe,爱尔兰,Ireland,爱尔兰,Ireland,1,0.0,0,0,,,,,,,2020-03-03
50502,Europe,爱尔兰,Ireland,爱尔兰,Ireland,1,0.0,0,0,,,,,,,2020-03-02
51785,Europe,爱尔兰,Ireland,爱尔兰,Ireland,1,0.0,0,0,,,,,,,2020-03-01
