,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
70,Europe,爱沙尼亚,Estonia,爱沙尼亚,Estonia,1660,0.0,233,50,,,,,,,2020-04-29
986,Europe,爱沙尼亚,Estonia,爱沙尼亚,Estonia,1647,0.0,233,50,,,,,,,2020-04-28
2426,Europe,爱沙尼亚,Estonia,爱沙尼亚,Estonia,1643,0.0,192,49,,,,,,,2020-04-27
3536,Europe,爱沙尼亚,Estonia,爱沙尼亚,Estonia,1635,0.0,192,46,,,,,,,2020-04-26
4704,Europe,爱沙尼亚,Estonia,爱沙尼亚,Estonia,1605,0.0,192,46,,,,,,,2020-04-25
6359,Europe,爱沙尼亚,Estonia,爱沙尼亚,Estonia,1605,0.0,192,46,,,,,,,2020-04-24
7947,Europe,爱沙尼亚,Estonia,爱沙尼亚,Estonia,1559,0.0,184,44,,,,,,,2020-04-23
9148,Europe,爱沙尼亚,Estonia,爱沙尼亚,Estonia,1552,0.0,169,43,,,,,,,2020-04-22
10793,Europe,爱沙尼亚,Estonia,爱沙尼亚,Estonia,1535,0.0,165,40,,,,,,,2020-04-21
12328,Europe,爱沙尼亚,Estonia,爱沙尼亚,Estonia,1528,0.0,164,40,,,,,,,2020-04-20
13328,Europe,爱沙尼亚,Estonia,爱沙尼亚,Estonia,1512,0.0,162,38,,,,,,,2020-04-19
14676,Europe,爱沙尼亚,Estonia,爱沙尼亚,Estonia,1459,0.0,117,38,,,,,,,2020-04-18
15787,Europe,爱沙尼亚,Estonia,爱沙尼亚,Estonia,1434,0.0,117,36,,,,,,,2020-04-17
17771,Europe,爱沙尼亚,Estonia,爱沙尼亚,Estonia,1400,0.0,117,35,,,,,,,2020-04-16
18900,Europe,爱沙尼亚,Estonia,爱沙尼亚,Estonia,1373,0.0,93,31,,,,,,,2020-04-15
20550,Europe,爱沙尼亚,Estonia,爱沙尼亚,Estonia,1332,0.0,93,28,,,,,,,2020-04-14
22018,Europe,爱沙尼亚,Estonia,爱沙尼亚,Estonia,1332,0.0,93,28,,,,,,,2020-04-13
23073,Europe,爱沙尼亚,Estonia,爱沙尼亚,Estonia,1346,0.0,93,24,,,,,,,2020-04-12
24625,Europe,爱沙尼亚,Estonia,爱沙尼亚,Estonia,1258,0.0,93,24,,,,,,,2020-04-11
26117,Europe,爱沙尼亚,Estonia,爱沙尼亚,Estonia,1258,0.0,93,24,,,,,,,2020-04-10
27403,Europe,爱沙尼亚,Estonia,爱沙尼亚,Estonia,1185,0.0,72,24,,,,,,,2020-04-09
29426,Europe,爱沙尼亚,Estonia,爱沙尼亚,Estonia,1149,0.0,69,21,,,,,,,2020-04-08
30945,Europe,爱沙尼亚,Estonia,爱沙尼亚,Estonia,1108,0.0,48,15,,,,,,,2020-04-07
32946,Europe,爱沙尼亚,Estonia,爱沙尼亚,Estonia,1097,0.0,48,15,,,,,,,2020-04-06
34631,Europe,爱沙尼亚,Estonia,爱沙尼亚,Estonia,1018,0.0,48,13,,,,,,,2020-04-05
36608,Europe,爱沙尼亚,Estonia,爱沙尼亚,Estonia,961,0.0,48,12,,,,,,,2020-04-04
38179,Europe,爱沙尼亚,Estonia,爱沙尼亚,Estonia,858,0.0,20,11,,,,,,,2020-04-03
40553,Europe,爱沙尼亚,Estonia,爱沙尼亚,Estonia,779,0.0,20,5,,,,,,,2020-04-02
42187,Europe,爱沙尼亚,Estonia,爱沙尼亚,Estonia,745,0.0,20,4,,,,,,,2020-04-01
44106,Europe,爱沙尼亚,Estonia,爱沙尼亚,Estonia,715,0.0,20,3,,,,,,,2020-03-31
46055,Europe,爱沙尼亚,Estonia,爱沙尼亚,Estonia,679,0.0,20,3,,,,,,,2020-03-30
49217,Europe,爱沙尼亚,Estonia,爱沙尼亚,Estonia,640,0.0,20,1,,,,,,,2020-03-29
50864,Europe,爱沙尼亚,Estonia,爱沙尼亚,Estonia,575,0.0,11,1,,,,,,,2020-03-28
53274,Europe,爱沙尼亚,Estonia,爱沙尼亚,Estonia,538,0.0,4,1,,,,,,,2020-03-27
55671,Europe,爱沙尼亚,Estonia,爱沙尼亚,Estonia,404,0.0,4,1,,,,,,,2020-03-26
59739,Europe,爱沙尼亚,Estonia,爱沙尼亚,Estonia,369,0.0,0,0,,,,,,,2020-03-25
61452,Europe,爱沙尼亚,Estonia,爱沙尼亚,Estonia,352,0.0,0,0,,,,,,,2020-03-24
