,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
386,North America,牙买加,Jamaica,牙买加,Jamaica,32,0.0,0,1,,,,,,,2020-03-31
2334,North America,牙买加,Jamaica,牙买加,Jamaica,30,0.0,0,1,,,,,,,2020-03-30
5953,North America,牙买加,Jamaica,牙买加,Jamaica,26,0.0,0,1,,,,,,,2020-03-29
7625,North America,牙买加,Jamaica,牙买加,Jamaica,26,0.0,0,1,,,,,,,2020-03-28
9439,North America,牙买加,Jamaica,牙买加,Jamaica,26,0.0,0,1,,,,,,,2020-03-27
11949,North America,牙买加,Jamaica,牙买加,Jamaica,21,0.0,0,1,,,,,,,2020-03-26
16169,North America,牙买加,Jamaica,牙买加,Jamaica,19,0.0,0,1,,,,,,,2020-03-25
17611,North America,牙买加,Jamaica,牙买加,Jamaica,19,0.0,0,1,,,,,,,2020-03-24
20946,North America,牙买加,Jamaica,牙买加,Jamaica,16,0.0,0,1,,,,,,,2020-03-23
23605,North America,牙买加,Jamaica,牙买加,Jamaica,16,0.0,0,1,,,,,,,2020-03-22
25035,North America,牙买加,Jamaica,牙买加,Jamaica,15,0.0,0,1,,,,,,,2020-03-21
25897,North America,牙买加,Jamaica,牙买加,Jamaica,15,0.0,0,1,,,,,,,2020-03-20
27149,North America,牙买加,Jamaica,牙买加,Jamaica,15,0.0,0,1,,,,,,,2020-03-19
29493,North America,牙买加,Jamaica,牙买加,Jamaica,10,0.0,0,0,,,,,,,2020-03-18
30897,North America,牙买加,Jamaica,牙买加,Jamaica,10,0.0,0,0,,,,,,,2020-03-17
33262,North America,牙买加,Jamaica,牙买加,Jamaica,1,0.0,0,0,,,,,,,2020-03-16
34357,North America,牙买加,Jamaica,牙买加,Jamaica,1,0.0,0,0,,,,,,,2020-03-15
35822,North America,牙买加,Jamaica,牙买加,Jamaica,1,0.0,0,0,,,,,,,2020-03-14
36623,North America,牙买加,Jamaica,牙买加,Jamaica,1,0.0,0,0,,,,,,,2020-03-13
37558,North America,牙买加,Jamaica,牙买加,Jamaica,1,0.0,0,0,,,,,,,2020-03-12
38325,North America,牙买加,Jamaica,牙买加,Jamaica,1,0.0,0,0,,,,,,,2020-03-11
