,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
147,North America,特克斯和凯科斯群岛,,特克斯和凯科斯群岛,,12,0.0,0,1,,,,,,,2020-04-29
8079,North America,特克斯和凯科斯群岛,,特克斯和凯科斯群岛,,11,0.0,0,1,,,,,,,2020-04-23
9563,North America,特克斯和凯科斯群岛,,特克斯和凯科斯群岛,,11,0.0,0,1,,,,,,,2020-04-22
11887,North America,特克斯和凯科斯群岛,,特克斯和凯科斯群岛,,11,0.0,0,1,,,,,,,2020-04-21
12679,North America,特克斯和凯科斯群岛,,特克斯和凯科斯群岛,,11,0.0,0,1,,,,,,,2020-04-20
14514,North America,特克斯和凯科斯群岛,,特克斯和凯科斯群岛,,11,0.0,0,1,,,,,,,2020-04-19
14782,North America,特克斯和凯科斯群岛,,特克斯和凯科斯群岛,,11,0.0,0,1,,,,,,,2020-04-18
16397,North America,特克斯和凯科斯群岛,,特克斯和凯科斯群岛,,10,0.0,0,1,,,,,,,2020-04-17
17886,North America,特克斯和凯科斯群岛,,特克斯和凯科斯群岛,,10,0.0,0,1,,,,,,,2020-04-16
20257,North America,特克斯和凯科斯群岛,,特克斯和凯科斯群岛,,9,0.0,0,1,,,,,,,2020-04-15
21008,North America,特克斯和凯科斯群岛,,特克斯和凯科斯群岛,,9,0.0,0,1,,,,,,,2020-04-14
23011,North America,特克斯和凯科斯群岛,,特克斯和凯科斯群岛,,8,0.0,0,1,,,,,,,2020-04-13
23393,North America,特克斯和凯科斯群岛,,特克斯和凯科斯群岛,,8,0.0,0,1,,,,,,,2020-04-12
26671,North America,特克斯和凯科斯群岛,,特克斯和凯科斯群岛,,8,0.0,0,1,,,,,,,2020-04-10
27627,North America,特克斯和凯科斯群岛,,特克斯和凯科斯群岛,,8,0.0,0,1,,,,,,,2020-04-09
29568,North America,特克斯和凯科斯群岛,,特克斯和凯科斯群岛,,5,0.0,0,1,,,,,,,2020-04-08
31062,North America,特克斯和凯科斯群岛,,特克斯和凯科斯群岛,,5,0.0,0,1,,,,,,,2020-04-07
35060,North America,特克斯和凯科斯群岛,,特克斯和凯科斯群岛,,5,0.0,0,0,,,,,,,2020-04-05
38308,North America,特克斯和凯科斯群岛,,特克斯和凯科斯群岛,,5,0.0,0,0,,,,,,,2020-04-03
40990,North America,特克斯和凯科斯群岛,,特克斯和凯科斯群岛,,5,0.0,0,0,,,,,,,2020-04-02
42322,North America,特克斯和凯科斯群岛,,特克斯和凯科斯群岛,,5,0.0,0,0,,,,,,,2020-04-01
44354,North America,特克斯和凯科斯群岛,,特克斯和凯科斯群岛,,2,0.0,0,0,,,,,,,2020-03-31
46308,North America,特克斯和凯科斯群岛,,特克斯和凯科斯群岛,,2,0.0,0,0,,,,,,,2020-03-30
49917,North America,特克斯和凯科斯群岛,,特克斯和凯科斯群岛,,2,0.0,0,0,,,,,,,2020-03-29
51386,North America,特克斯和凯科斯群岛,,特克斯和凯科斯群岛,,2,0.0,0,0,,,,,,,2020-03-28
53424,North America,特克斯和凯科斯群岛,,特克斯和凯科斯群岛,,1,0.0,0,0,,,,,,,2020-03-27
55908,North America,特克斯和凯科斯群岛,,特克斯和凯科斯群岛,,1,0.0,0,0,,,,,,,2020-03-26
60151,North America,特克斯和凯科斯群岛,,特克斯和凯科斯群岛,,1,0.0,0,0,,,,,,,2020-03-25
