,continentEnglishName,countryName,countryEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,updateTime
207,North America,特立尼达和多巴哥,Trinidad and Tobago,66,0.0,0,2,2020-03-29
1226,North America,特立尼达和多巴哥,Trinidad and Tobago,61,0.0,0,1,2020-03-28
3212,North America,特立尼达和多巴哥,Trinidad and Tobago,60,0.0,0,1,2020-03-27
5715,North America,特立尼达和多巴哥,Trinidad and Tobago,57,0.0,0,0,2020-03-26
9938,North America,特立尼达和多巴哥,Trinidad and Tobago,51,0.0,0,0,2020-03-25
11381,North America,特立尼达和多巴哥,Trinidad and Tobago,50,0.0,0,0,2020-03-24
14749,North America,特立尼达和多巴哥,Trinidad and Tobago,9,0.0,0,0,2020-03-23
17407,North America,特立尼达和多巴哥,Trinidad and Tobago,9,0.0,0,0,2020-03-22
18838,North America,特立尼达和多巴哥,Trinidad and Tobago,9,0.0,0,0,2020-03-21
19703,North America,特立尼达和多巴哥,Trinidad and Tobago,7,0.0,0,0,2020-03-20
20961,North America,特立尼达和多巴哥,Trinidad and Tobago,5,0.0,0,0,2020-03-19
23298,North America,特立尼达和多巴哥,Trinidad and Tobago,5,0.0,0,0,2020-03-18
24702,North America,特立尼达和多巴哥,Trinidad and Tobago,2,0.0,0,0,2020-03-17
27054,North America,特立尼达和多巴哥,Trinidad and Tobago,1,0.0,0,0,2020-03-16
28149,North America,特立尼达和多巴哥,Trinidad and Tobago,1,0.0,0,0,2020-03-15
29615,North America,特立尼达和多巴哥,Trinidad and Tobago,1,0.0,0,0,2020-03-14
30416,North America,特立尼达和多巴哥,Trinidad and Tobago,1,0.0,0,0,2020-03-13
