,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
367,South America,玻利维亚,Bolivia,玻利维亚,Bolivia,74,0.0,0,0,,,,,,,2020-03-31
2310,South America,玻利维亚,Bolivia,玻利维亚,Bolivia,74,0.0,0,0,,,,,,,2020-03-30
5932,South America,玻利维亚,Bolivia,玻利维亚,Bolivia,61,0.0,0,0,,,,,,,2020-03-29
7614,South America,玻利维亚,Bolivia,玻利维亚,Bolivia,39,0.0,0,0,,,,,,,2020-03-28
9429,South America,玻利维亚,Bolivia,玻利维亚,Bolivia,39,0.0,0,0,,,,,,,2020-03-27
11942,South America,玻利维亚,Bolivia,玻利维亚,Bolivia,28,0.0,0,0,,,,,,,2020-03-26
16159,South America,玻利维亚,Bolivia,玻利维亚,Bolivia,27,0.0,0,0,,,,,,,2020-03-25
17606,South America,玻利维亚,Bolivia,玻利维亚,Bolivia,24,0.0,0,0,,,,,,,2020-03-24
20940,South America,玻利维亚,Bolivia,玻利维亚,Bolivia,19,0.0,0,0,,,,,,,2020-03-23
23603,South America,玻利维亚,Bolivia,玻利维亚,Bolivia,16,0.0,0,0,,,,,,,2020-03-22
25032,South America,玻利维亚,Bolivia,玻利维亚,Bolivia,15,0.0,0,0,,,,,,,2020-03-21
25899,South America,玻利维亚,Bolivia,玻利维亚,Bolivia,12,0.0,0,0,,,,,,,2020-03-20
27155,South America,玻利维亚,Bolivia,玻利维亚,Bolivia,11,0.0,0,0,,,,,,,2020-03-19
29491,South America,玻利维亚,Bolivia,玻利维亚,Bolivia,11,0.0,0,0,,,,,,,2020-03-18
30894,South America,玻利维亚,Bolivia,玻利维亚,Bolivia,11,0.0,0,0,,,,,,,2020-03-17
33247,South America,玻利维亚,Bolivia,玻利维亚,Bolivia,2,0.0,0,0,,,,,,,2020-03-16
34342,South America,玻利维亚,Bolivia,玻利维亚,Bolivia,2,0.0,0,0,,,,,,,2020-03-15
35814,South America,玻利维亚,Bolivia,玻利维亚,Bolivia,2,0.0,0,0,,,,,,,2020-03-14
36618,South America,玻利维亚,Bolivia,玻利维亚,Bolivia,2,0.0,0,0,,,,,,,2020-03-13
37553,South America,玻利维亚,Bolivia,玻利维亚,Bolivia,2,0.0,0,0,,,,,,,2020-03-12
38322,South America,玻利维亚,Bolivia,玻利维亚,Bolivia,2,0.0,0,0,,,,,,,2020-03-11
