,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
60,Europe,瑞典,Sweden,瑞典,Sweden,4028,0.0,17,146,,,,,,,2020-04-01
2168,Europe,瑞典,Sweden,瑞典,Sweden,4028,0.0,17,146,,,,,,,2020-03-31
4230,Europe,瑞典,Sweden,瑞典,Sweden,3700,0.0,17,110,,,,,,,2020-03-30
7086,Europe,瑞典,Sweden,瑞典,Sweden,3447,0.0,17,102,,,,,,,2020-03-29
9295,Europe,瑞典,Sweden,瑞典,Sweden,3088,0.0,17,106,,,,,,,2020-03-28
11198,Europe,瑞典,Sweden,瑞典,Sweden,2806,0.0,17,66,,,,,,,2020-03-27
13774,Europe,瑞典,Sweden,瑞典,Sweden,2510,0.0,17,42,,,,,,,2020-03-26
17980,Europe,瑞典,Sweden,瑞典,Sweden,2272,0.0,17,36,,,,,,,2020-03-25
19516,Europe,瑞典,Sweden,瑞典,Sweden,2016,0.0,17,25,,,,,,,2020-03-24
22849,Europe,瑞典,Sweden,瑞典,Sweden,1929,0.0,17,23,,,,,,,2020-03-23
25512,Europe,瑞典,Sweden,瑞典,Sweden,1746,0.0,17,20,,,,,,,2020-03-22
26945,Europe,瑞典,Sweden,瑞典,Sweden,1650,0.0,17,16,,,,,,,2020-03-21
27812,Europe,瑞典,Sweden,瑞典,Sweden,1423,0.0,1,11,,,,,,,2020-03-20
29071,Europe,瑞典,Sweden,瑞典,Sweden,1279,0.0,1,10,,,,,,,2020-03-19
31412,Europe,瑞典,Sweden,瑞典,Sweden,1191,0.0,1,8,,,,,,,2020-03-18
33069,Europe,瑞典,Sweden,瑞典,Sweden,1119,0.0,0,7,,,,,,,2020-03-17
35156,Europe,瑞典,Sweden,瑞典,Sweden,1023,0.0,0,8,,,,,,,2020-03-16
36256,Europe,瑞典,Sweden,瑞典,Sweden,961,0.0,0,8,,,,,,,2020-03-15
37462,Europe,瑞典,Sweden,瑞典,Sweden,775,0.0,0,8,,,,,,,2020-03-14
38456,Europe,瑞典,Sweden,瑞典,Sweden,683,0.0,0,8,,,,,,,2020-03-13
39483,Europe,瑞典,Sweden,瑞典,Sweden,500,0.0,0,8,,,,,,,2020-03-12
40281,Europe,瑞典,Sweden,瑞典,Sweden,355,0.0,0,0,,,,,,,2020-03-11
41197,Europe,瑞典,Sweden,瑞典,Sweden,326,0.0,0,0,,,,,,,2020-03-10
42483,Europe,瑞典,Sweden,瑞典,Sweden,213,0.0,0,0,,,,,,,2020-03-09
43318,Europe,瑞典,Sweden,瑞典,Sweden,161,0.0,0,0,,,,,,,2020-03-08
44377,Europe,瑞典,Sweden,瑞典,Sweden,137,0.0,0,0,,,,,,,2020-03-07
45340,Europe,瑞典,Sweden,瑞典,Sweden,94,0.0,0,0,,,,,,,2020-03-06
46289,Europe,瑞典,Sweden,瑞典,Sweden,52,0.0,0,0,,,,,,,2020-03-05
47657,Europe,瑞典,Sweden,瑞典,Sweden,30,0.0,0,0,,,,,,,2020-03-04
48675,Europe,瑞典,Sweden,瑞典,Sweden,19,0.0,0,0,,,,,,,2020-03-03
50485,Europe,瑞典,Sweden,瑞典,Sweden,13,0.0,0,0,,,,,,,2020-03-02
51754,Europe,瑞典,Sweden,瑞典,Sweden,13,0.0,0,0,,,,,,,2020-03-01
52448,Europe,瑞典,Sweden,瑞典,Sweden,12,0.0,0,0,,,,,,,2020-02-29
54199,Europe,瑞典,Sweden,瑞典,Sweden,7,0.0,0,0,,,,,,,2020-02-28
54965,Europe,瑞典,Sweden,瑞典,Sweden,2,0.0,0,0,,,,,,,2020-02-27
56871,Europe,瑞典,Sweden,瑞典,Sweden,1,0.0,0,0,,,,,,,2020-02-26
72055,Europe,瑞典,Sweden,瑞典,Sweden,1,0.0,0,0,,,,,,,2020-02-16
75114,Europe,瑞典,Sweden,瑞典,Sweden,1,0.0,0,0,,,,,,,2020-02-15
77393,Europe,瑞典,Sweden,瑞典,Sweden,1,0.0,0,0,,,,,,,2020-02-14
78244,Europe,瑞典,Sweden,瑞典,Sweden,1,0.0,0,0,,,,,,,2020-02-13
80374,Europe,瑞典,Sweden,瑞典,Sweden,1,0.0,0,0,,,,,,,2020-02-12
82676,Europe,瑞典,Sweden,瑞典,Sweden,1,0.0,0,0,,,,,,,2020-02-11
84576,Europe,瑞典,Sweden,瑞典,Sweden,1,0.0,0,0,,,,,,,2020-02-10
105608,Europe,瑞典,Sweden,瑞典,Sweden,1,0.0,0,0,,,,,,,2020-02-01
