,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
47,Europe,瑞士,Switzerland,瑞士,Switzerland,29264,0.0,22200,1380,,,,,,,2020-04-29
880,Europe,瑞士,Switzerland,瑞士,Switzerland,29264,0.0,22200,1380,,,,,,,2020-04-28
2315,Europe,瑞士,Switzerland,瑞士,Switzerland,28832,0.0,21800,1641,,,,,,,2020-04-27
3403,Europe,瑞士,Switzerland,瑞士,Switzerland,28663,0.0,21300,1604,,,,,,,2020-04-26
4812,Europe,瑞士,Switzerland,瑞士,Switzerland,28541,0.0,21000,1593,,,,,,,2020-04-25
6409,Europe,瑞士,Switzerland,瑞士,Switzerland,28364,0.0,20600,1562,,,,,,,2020-04-24
7789,Europe,瑞士,Switzerland,瑞士,Switzerland,28207,0.0,19900,1526,,,,,,,2020-04-23
9087,Europe,瑞士,Switzerland,瑞士,Switzerland,27926,0.0,19400,1491,,,,,,,2020-04-22
10763,Europe,瑞士,Switzerland,瑞士,Switzerland,27777,0.0,18600,1463,,,,,,,2020-04-21
12216,Europe,瑞士,Switzerland,瑞士,Switzerland,27560,0.0,17800,1404,,,,,,,2020-04-20
13339,Europe,瑞士,Switzerland,瑞士,Switzerland,27268,0.0,17100,1374,,,,,,,2020-04-19
14535,Europe,瑞士,Switzerland,瑞士,Switzerland,27186,0.0,16400,1366,,,,,,,2020-04-18
15704,Europe,瑞士,Switzerland,瑞士,Switzerland,26810,0.0,15900,1318,,,,,,,2020-04-17
17587,Europe,瑞士,Switzerland,瑞士,Switzerland,26480,0.0,15400,1274,,,,,,,2020-04-16
19061,Europe,瑞士,Switzerland,瑞士,Switzerland,26336,0.0,14700,1183,,,,,,,2020-04-15
20475,Europe,瑞士,Switzerland,瑞士,Switzerland,25739,0.0,13700,1148,,,,,,,2020-04-14
22109,Europe,瑞士,Switzerland,瑞士,Switzerland,25135,0.0,12100,858,,,,,,,2020-04-13
23216,Europe,瑞士,Switzerland,瑞士,Switzerland,25135,0.0,12100,858,,,,,,,2020-04-12
24597,Europe,瑞士,Switzerland,瑞士,Switzerland,24713,0.0,11100,1013,,,,,,,2020-04-11
26227,Europe,瑞士,Switzerland,瑞士,Switzerland,24184,0.0,10600,959,,,,,,,2020-04-10
27318,Europe,瑞士,Switzerland,瑞士,Switzerland,23574,0.0,9800,756,,,,,,,2020-04-09
29275,Europe,瑞士,Switzerland,瑞士,Switzerland,22488,0.0,8704,846,,,,,,,2020-04-08
30903,Europe,瑞士,Switzerland,瑞士,Switzerland,21190,0.0,7298,734,,,,,,,2020-04-07
32874,Europe,瑞士,Switzerland,瑞士,Switzerland,21190,0.0,7298,734,,,,,,,2020-04-06
34569,Europe,瑞士,Switzerland,瑞士,Switzerland,21100,0.0,6415,666,,,,,,,2020-04-05
36586,Europe,瑞士,Switzerland,瑞士,Switzerland,19985,0.0,5657,637,,,,,,,2020-04-04
38026,Europe,瑞士,Switzerland,瑞士,Switzerland,19303,0.0,1823,484,,,,,,,2020-04-03
40276,Europe,瑞士,Switzerland,瑞士,Switzerland,18267,0.0,1823,432,,,,,,,2020-04-02
42023,Europe,瑞士,Switzerland,瑞士,Switzerland,17139,0.0,1823,378,,,,,,,2020-04-01
44062,Europe,瑞士,Switzerland,瑞士,Switzerland,16176,0.0,1823,373,,,,,,,2020-03-31
46028,Europe,瑞士,Switzerland,瑞士,Switzerland,14799,0.0,1823,300,,,,,,,2020-03-30
49165,Europe,瑞士,Switzerland,瑞士,Switzerland,14336,0.0,1530,257,,,,,,,2020-03-29
50830,Europe,瑞士,Switzerland,瑞士,Switzerland,13213,0.0,1530,235,,,,,,,2020-03-28
53148,Europe,瑞士,Switzerland,瑞士,Switzerland,11811,0.0,3,161,,,,,,,2020-03-27
55659,Europe,瑞士,Switzerland,瑞士,Switzerland,9765,0.0,3,103,,,,,,,2020-03-26
59965,Europe,瑞士,Switzerland,瑞士,Switzerland,8836,0.0,3,86,,,,,,,2020-03-25
61411,Europe,瑞士,Switzerland,瑞士,Switzerland,8836,0.0,3,86,,,,,,,2020-03-24
64732,Europe,瑞士,Switzerland,瑞士,Switzerland,8060,0.0,3,66,,,,,,,2020-03-23
67329,Europe,瑞士,Switzerland,瑞士,Switzerland,7014,0.0,3,60,,,,,,,2020-03-22
68830,Europe,瑞士,Switzerland,瑞士,Switzerland,6113,0.0,3,56,,,,,,,2020-03-21
69697,Europe,瑞士,Switzerland,瑞士,Switzerland,3888,0.0,3,39,,,,,,,2020-03-20
70944,Europe,瑞士,Switzerland,瑞士,Switzerland,3438,0.0,3,39,,,,,,,2020-03-19
73298,Europe,瑞士,Switzerland,瑞士,Switzerland,2269,0.0,3,19,,,,,,,2020-03-18
74706,Europe,瑞士,Switzerland,瑞士,Switzerland,2269,0.0,3,19,,,,,,,2020-03-17
77043,Europe,瑞士,Switzerland,瑞士,Switzerland,1563,0.0,3,13,,,,,,,2020-03-16
78144,Europe,瑞士,Switzerland,瑞士,Switzerland,1189,0.0,3,11,,,,,,,2020-03-15
79290,Europe,瑞士,Switzerland,瑞士,Switzerland,1189,0.0,3,4,,,,,,,2020-03-14
80204,Europe,瑞士,Switzerland,瑞士,Switzerland,1009,0.0,3,4,,,,,,,2020-03-13
81376,Europe,瑞士,Switzerland,瑞士,Switzerland,476,0.0,3,3,,,,,,,2020-03-12
82464,Europe,瑞士,Switzerland,瑞士,Switzerland,476,0.0,3,3,,,,,,,2020-03-11
83127,Europe,瑞士,Switzerland,瑞士,Switzerland,476,0.0,3,3,,,,,,,2020-03-10
84372,Europe,瑞士,Switzerland,瑞士,Switzerland,312,0.0,3,2,,,,,,,2020-03-09
85205,Europe,瑞士,Switzerland,瑞士,Switzerland,228,0.0,3,1,,,,,,,2020-03-08
86266,Europe,瑞士,Switzerland,瑞士,Switzerland,210,0.0,3,1,,,,,,,2020-03-07
87018,Europe,瑞士,Switzerland,瑞士,Switzerland,128,0.0,3,1,,,,,,,2020-03-06
88773,Europe,瑞士,Switzerland,瑞士,Switzerland,66,0.0,2,0,,,,,,,2020-03-05
89542,Europe,瑞士,Switzerland,瑞士,Switzerland,58,0.0,2,0,,,,,,,2020-03-04
90325,Europe,瑞士,Switzerland,瑞士,Switzerland,46,0.0,2,0,,,,,,,2020-03-03
91927,Europe,瑞士,Switzerland,瑞士,Switzerland,27,0.0,0,0,,,,,,,2020-03-02
93639,Europe,瑞士,Switzerland,瑞士,Switzerland,24,0.0,0,0,,,,,,,2020-03-01
94488,Europe,瑞士,Switzerland,瑞士,Switzerland,15,0.0,0,0,,,,,,,2020-02-29
95570,Europe,瑞士,Switzerland,瑞士,Switzerland,8,0.0,0,0,,,,,,,2020-02-28
96594,Europe,瑞士,Switzerland,瑞士,Switzerland,4,0.0,0,0,,,,,,,2020-02-27
98544,Europe,瑞士,Switzerland,瑞士,Switzerland,1,0.0,0,0,,,,,,,2020-02-26
