,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
101,Africa,留尼旺,Reunion,留尼旺,Reunion,418,0.0,0,0,,,,,,,2020-04-29
1164,Africa,留尼旺,Reunion,留尼旺,Reunion,417,0.0,0,0,,,,,,,2020-04-28
2458,Africa,留尼旺,Reunion,留尼旺,Reunion,412,0.0,0,0,,,,,,,2020-04-27
3567,Africa,留尼旺,Reunion,留尼旺,Reunion,412,0.0,0,0,,,,,,,2020-04-26
4919,Africa,留尼旺,Reunion,留尼旺,Reunion,412,0.0,0,0,,,,,,,2020-04-25
6448,Africa,留尼旺,Reunion,留尼旺,Reunion,410,0.0,0,0,,,,,,,2020-04-24
7976,Africa,留尼旺,Reunion,留尼旺,Reunion,410,0.0,0,0,,,,,,,2020-04-23
9180,Africa,留尼旺,Reunion,留尼旺,Reunion,408,0.0,0,0,,,,,,,2020-04-22
10822,Africa,留尼旺,Reunion,留尼旺,Reunion,408,0.0,0,0,,,,,,,2020-04-21
12581,Africa,留尼旺,Reunion,留尼旺,Reunion,407,0.0,0,0,,,,,,,2020-04-20
13527,Africa,留尼旺,Reunion,留尼旺,Reunion,402,0.0,0,0,,,,,,,2020-04-19
14709,Africa,留尼旺,Reunion,留尼旺,Reunion,394,0.0,0,0,,,,,,,2020-04-18
15811,Africa,留尼旺,Reunion,留尼旺,Reunion,391,0.0,0,0,,,,,,,2020-04-17
17803,Africa,留尼旺,Reunion,留尼旺,Reunion,391,0.0,0,0,,,,,,,2020-04-16
18888,Africa,留尼旺,Reunion,留尼旺,Reunion,391,0.0,0,0,,,,,,,2020-04-15
20915,Africa,留尼旺,Reunion,留尼旺,Reunion,389,0.0,0,0,,,,,,,2020-04-14
22224,Africa,留尼旺,Reunion,留尼旺,Reunion,388,0.0,0,0,,,,,,,2020-04-13
23291,Africa,留尼旺,Reunion,留尼旺,Reunion,382,0.0,0,0,,,,,,,2020-04-12
24791,Africa,留尼旺,Reunion,留尼旺,Reunion,376,0.0,0,0,,,,,,,2020-04-11
26327,Africa,留尼旺,Reunion,留尼旺,Reunion,362,0.0,0,0,,,,,,,2020-04-10
27362,Africa,留尼旺,Reunion,留尼旺,Reunion,358,0.0,0,0,,,,,,,2020-04-09
29454,Africa,留尼旺,Reunion,留尼旺,Reunion,349,0.0,0,0,,,,,,,2020-04-08
30975,Africa,留尼旺,Reunion,留尼旺,Reunion,344,0.0,0,0,,,,,,,2020-04-07
33036,Africa,留尼旺,Reunion,留尼旺,Reunion,334,0.0,0,0,,,,,,,2020-04-06
34820,Africa,留尼旺,Reunion,留尼旺,Reunion,321,0.0,0,0,,,,,,,2020-04-05
36779,Africa,留尼旺,Reunion,留尼旺,Reunion,308,0.0,0,0,,,,,,,2020-04-04
38206,Africa,留尼旺,Reunion,留尼旺,Reunion,281,0.0,0,0,,,,,,,2020-04-03
40347,Africa,留尼旺,Reunion,留尼旺,Reunion,247,0.0,0,0,,,,,,,2020-04-02
42221,Africa,留尼旺,Reunion,留尼旺,Reunion,207,0.0,0,0,,,,,,,2020-04-01
44137,Africa,留尼旺,Reunion,留尼旺,Reunion,207,0.0,0,0,,,,,,,2020-03-31
46079,Africa,留尼旺,Reunion,留尼旺,Reunion,143,0.0,0,0,,,,,,,2020-03-30
49256,Africa,留尼旺,Reunion,留尼旺,Reunion,135,0.0,0,0,,,,,,,2020-03-29
50894,Africa,留尼旺,Reunion,留尼旺,Reunion,135,0.0,0,0,,,,,,,2020-03-28
53323,Africa,留尼旺,Reunion,留尼旺,Reunion,94,0.0,0,0,,,,,,,2020-03-27
55830,Africa,留尼旺,Reunion,留尼旺,Reunion,83,0.0,0,0,,,,,,,2020-03-26
60054,Africa,留尼旺,Reunion,留尼旺,Reunion,71,0.0,0,0,,,,,,,2020-03-25
61499,Africa,留尼旺,Reunion,留尼旺,Reunion,64,0.0,0,0,,,,,,,2020-03-24
64823,Africa,留尼旺,Reunion,留尼旺,Reunion,47,0.0,0,0,,,,,,,2020-03-23
67491,Africa,留尼旺,Reunion,留尼旺,Reunion,28,0.0,0,0,,,,,,,2020-03-22
68934,Africa,留尼旺,Reunion,留尼旺,Reunion,15,0.0,0,0,,,,,,,2020-03-21
69801,Africa,留尼旺,Reunion,留尼旺,Reunion,12,0.0,0,0,,,,,,,2020-03-20
71062,Africa,留尼旺,Reunion,留尼旺,Reunion,9,0.0,0,0,,,,,,,2020-03-19
73397,Africa,留尼旺,Reunion,留尼旺,Reunion,9,0.0,0,0,,,,,,,2020-03-18
74800,Africa,留尼旺,Reunion,留尼旺,Reunion,9,0.0,0,0,,,,,,,2020-03-17
