,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
90,Europe,白俄罗斯,Belarus,白俄罗斯,Belarus,157,0.0,47,2,,,,,,,2020-04-01
2252,Europe,白俄罗斯,Belarus,白俄罗斯,Belarus,152,0.0,47,1,,,,,,,2020-03-31
4320,Europe,白俄罗斯,Belarus,白俄罗斯,Belarus,94,0.0,22,0,,,,,,,2020-03-30
7936,Europe,白俄罗斯,Belarus,白俄罗斯,Belarus,94,0.0,22,0,,,,,,,2020-03-29
9613,Europe,白俄罗斯,Belarus,白俄罗斯,Belarus,86,0.0,22,0,,,,,,,2020-03-28
11428,Europe,白俄罗斯,Belarus,白俄罗斯,Belarus,86,0.0,22,0,,,,,,,2020-03-27
13932,Europe,白俄罗斯,Belarus,白俄罗斯,Belarus,86,0.0,22,0,,,,,,,2020-03-26
18150,Europe,白俄罗斯,Belarus,白俄罗斯,Belarus,86,0.0,22,0,,,,,,,2020-03-25
19590,Europe,白俄罗斯,Belarus,白俄罗斯,Belarus,89,0.0,22,0,,,,,,,2020-03-24
22923,Europe,白俄罗斯,Belarus,白俄罗斯,Belarus,89,0.0,22,0,,,,,,,2020-03-23
25583,Europe,白俄罗斯,Belarus,白俄罗斯,Belarus,69,0.0,15,0,,,,,,,2020-03-22
27014,Europe,白俄罗斯,Belarus,白俄罗斯,Belarus,69,0.0,15,0,,,,,,,2020-03-21
27878,Europe,白俄罗斯,Belarus,白俄罗斯,Belarus,69,0.0,15,0,,,,,,,2020-03-20
29134,Europe,白俄罗斯,Belarus,白俄罗斯,Belarus,51,0.0,3,0,,,,,,,2020-03-19
31475,Europe,白俄罗斯,Belarus,白俄罗斯,Belarus,36,0.0,3,0,,,,,,,2020-03-18
33130,Europe,白俄罗斯,Belarus,白俄罗斯,Belarus,36,0.0,3,0,,,,,,,2020-03-17
35215,Europe,白俄罗斯,Belarus,白俄罗斯,Belarus,27,0.0,3,0,,,,,,,2020-03-16
36313,Europe,白俄罗斯,Belarus,白俄罗斯,Belarus,27,0.0,3,0,,,,,,,2020-03-15
37798,Europe,白俄罗斯,Belarus,白俄罗斯,Belarus,12,0.0,2,0,,,,,,,2020-03-14
38396,Europe,白俄罗斯,Belarus,白俄罗斯,Belarus,12,0.0,2,0,,,,,,,2020-03-13
39543,Europe,白俄罗斯,Belarus,白俄罗斯,Belarus,9,0.0,2,0,,,,,,,2020-03-12
40628,Europe,白俄罗斯,Belarus,白俄罗斯,Belarus,9,0.0,2,0,,,,,,,2020-03-11
41229,Europe,白俄罗斯,Belarus,白俄罗斯,Belarus,9,0.0,2,0,,,,,,,2020-03-10
44119,Europe,白俄罗斯,Belarus,白俄罗斯,Belarus,6,0.0,0,0,,,,,,,2020-03-08
44975,Europe,白俄罗斯,Belarus,白俄罗斯,Belarus,6,0.0,0,0,,,,,,,2020-03-07
46061,Europe,白俄罗斯,Belarus,白俄罗斯,Belarus,6,0.0,0,0,,,,,,,2020-03-06
46306,Europe,白俄罗斯,Belarus,白俄罗斯,Belarus,6,0.0,0,0,,,,,,,2020-03-05
47670,Europe,白俄罗斯,Belarus,白俄罗斯,Belarus,4,0.0,0,0,,,,,,,2020-03-04
49065,Europe,白俄罗斯,Belarus,白俄罗斯,Belarus,3,0.0,0,0,,,,,,,2020-03-03
50934,Europe,白俄罗斯,Belarus,白俄罗斯,Belarus,1,0.0,0,0,,,,,,,2020-03-02
51781,Europe,白俄罗斯,Belarus,白俄罗斯,Belarus,1,0.0,0,0,,,,,,,2020-03-01
52629,Europe,白俄罗斯,Belarus,白俄罗斯,Belarus,1,0.0,0,0,,,,,,,2020-02-29
53680,Europe,白俄罗斯,Belarus,白俄罗斯,Belarus,1,0.0,0,0,,,,,,,2020-02-28
