,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
373,North America,百慕大,,百慕大,,22,0.0,0,0,,,,,,,2020-04-01
2404,North America,百慕大,,百慕大,,22,0.0,0,0,,,,,,,2020-03-31
4354,North America,百慕大,,百慕大,,17,0.0,0,0,,,,,,,2020-03-30
7969,North America,百慕大,,百慕大,,15,0.0,0,0,,,,,,,2020-03-29
9663,North America,百慕大,,百慕大,,7,0.0,0,0,,,,,,,2020-03-28
11477,North America,百慕大,,百慕大,,7,0.0,0,0,,,,,,,2020-03-27
13978,North America,百慕大,,百慕大,,6,0.0,0,0,,,,,,,2020-03-26
18201,North America,百慕大,,百慕大,,6,0.0,0,0,,,,,,,2020-03-25
19670,North America,百慕大,,百慕大,,2,0.0,0,0,,,,,,,2020-03-24
23001,North America,百慕大,,百慕大,,2,0.0,0,0,,,,,,,2020-03-23
25649,North America,百慕大,,百慕大,,2,0.0,0,0,,,,,,,2020-03-22
27092,North America,百慕大,,百慕大,,2,0.0,0,0,,,,,,,2020-03-21
