,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
1244,South America,福克兰群岛,,福克兰群岛,,13,0.0,0,0,,,,,,,2020-04-28
2530,South America,福克兰群岛,,福克兰群岛,,13,0.0,0,0,,,,,,,2020-04-27
3891,South America,福克兰群岛,,福克兰群岛,,12,0.0,0,0,,,,,,,2020-04-26
5010,South America,福克兰群岛,,福克兰群岛,,12,0.0,0,0,,,,,,,2020-04-25
6632,South America,福克兰群岛,,福克兰群岛,,12,0.0,0,0,,,,,,,2020-04-24
8078,South America,福克兰群岛,,福克兰群岛,,11,0.0,0,0,,,,,,,2020-04-23
10714,South America,福克兰群岛,,福克兰群岛,,11,0.0,0,0,,,,,,,2020-04-22
11886,South America,福克兰群岛,,福克兰群岛,,11,0.0,0,0,,,,,,,2020-04-21
12678,South America,福克兰群岛,,福克兰群岛,,11,0.0,0,0,,,,,,,2020-04-20
16041,South America,福克兰群岛,,福克兰群岛,,11,0.0,0,0,,,,,,,2020-04-17
20266,South America,福克兰群岛,,福克兰群岛,,5,0.0,0,0,,,,,,,2020-04-15
22707,South America,福克兰群岛,,福克兰群岛,,5,0.0,0,0,,,,,,,2020-04-13
23401,South America,福克兰群岛,,福克兰群岛,,5,0.0,0,0,,,,,,,2020-04-12
25125,South America,福克兰群岛,,福克兰群岛,,5,0.0,0,0,,,,,,,2020-04-11
26401,South America,福克兰群岛,,福克兰群岛,,5,0.0,0,0,,,,,,,2020-04-10
27639,South America,福克兰群岛,,福克兰群岛,,2,0.0,0,0,,,,,,,2020-04-09
29576,South America,福克兰群岛,,福克兰群岛,,2,0.0,0,0,,,,,,,2020-04-08
31064,South America,福克兰群岛,,福克兰群岛,,2,0.0,0,0,,,,,,,2020-04-07
33556,South America,福克兰群岛,,福克兰群岛,,1,0.0,0,0,,,,,,,2020-04-06
