,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
14,Asia,科威特,Kuwait,科威特,Kuwait,317,0.0,73,0,,,,,,,2020-04-02
179,Asia,科威特,Kuwait,科威特,Kuwait,317,0.0,73,0,,,,,,,2020-04-01
2229,Asia,科威特,Kuwait,科威特,Kuwait,289,0.0,73,0,,,,,,,2020-03-31
4115,Asia,科威特,Kuwait,科威特,Kuwait,266,0.0,72,0,,,,,,,2020-03-30
7199,Asia,科威特,Kuwait,科威特,Kuwait,255,0.0,64,0,,,,,,,2020-03-29
8984,Asia,科威特,Kuwait,科威特,Kuwait,235,0.0,64,0,,,,,,,2020-03-28
11277,Asia,科威特,Kuwait,科威特,Kuwait,225,0.0,57,0,,,,,,,2020-03-27
13812,Asia,科威特,Kuwait,科威特,Kuwait,208,0.0,49,0,,,,,,,2020-03-26
17853,Asia,科威特,Kuwait,科威特,Kuwait,195,0.0,43,0,,,,,,,2020-03-25
19567,Asia,科威特,Kuwait,科威特,Kuwait,191,0.0,39,0,,,,,,,2020-03-24
22894,Asia,科威特,Kuwait,科威特,Kuwait,189,0.0,30,0,,,,,,,2020-03-23
25446,Asia,科威特,Kuwait,科威特,Kuwait,188,0.0,30,0,,,,,,,2020-03-22
26986,Asia,科威特,Kuwait,科威特,Kuwait,176,0.0,27,0,,,,,,,2020-03-21
27850,Asia,科威特,Kuwait,科威特,Kuwait,159,0.0,12,0,,,,,,,2020-03-20
29107,Asia,科威特,Kuwait,科威特,Kuwait,148,0.0,12,0,,,,,,,2020-03-19
30996,Asia,科威特,Kuwait,科威特,Kuwait,142,0.0,12,0,,,,,,,2020-03-18
32881,Asia,科威特,Kuwait,科威特,Kuwait,130,0.0,12,0,,,,,,,2020-03-17
35182,Asia,科威特,Kuwait,科威特,Kuwait,112,0.0,5,0,,,,,,,2020-03-16
36235,Asia,科威特,Kuwait,科威特,Kuwait,100,0.0,5,0,,,,,,,2020-03-15
37417,Asia,科威特,Kuwait,科威特,Kuwait,100,0.0,0,0,,,,,,,2020-03-14
38386,Asia,科威特,Kuwait,科威特,Kuwait,80,0.0,0,0,,,,,,,2020-03-13
39500,Asia,科威特,Kuwait,科威特,Kuwait,69,0.0,0,0,,,,,,,2020-03-12
40589,Asia,科威特,Kuwait,科威特,Kuwait,69,0.0,0,0,,,,,,,2020-03-11
41224,Asia,科威特,Kuwait,科威特,Kuwait,69,0.0,0,0,,,,,,,2020-03-10
42843,Asia,科威特,Kuwait,科威特,Kuwait,58,0.0,0,0,,,,,,,2020-03-09
44084,Asia,科威特,Kuwait,科威特,Kuwait,58,0.0,0,0,,,,,,,2020-03-08
44519,Asia,科威特,Kuwait,科威特,Kuwait,58,0.0,0,0,,,,,,,2020-03-07
45343,Asia,科威特,Kuwait,科威特,Kuwait,58,0.0,0,0,,,,,,,2020-03-06
47005,Asia,科威特,Kuwait,科威特,Kuwait,56,0.0,0,0,,,,,,,2020-03-05
47870,Asia,科威特,Kuwait,科威特,Kuwait,56,0.0,0,0,,,,,,,2020-03-04
48673,Asia,科威特,Kuwait,科威特,Kuwait,56,0.0,0,0,,,,,,,2020-03-03
50475,Asia,科威特,Kuwait,科威特,Kuwait,46,0.0,0,0,,,,,,,2020-03-02
51132,Asia,科威特,Kuwait,科威特,Kuwait,46,0.0,0,0,,,,,,,2020-03-01
52593,Asia,科威特,Kuwait,科威特,Kuwait,43,0.0,0,0,,,,,,,2020-02-29
54190,Asia,科威特,Kuwait,科威特,Kuwait,43,0.0,0,0,,,,,,,2020-02-28
54954,Asia,科威特,Kuwait,科威特,Kuwait,43,0.0,0,0,,,,,,,2020-02-27
56070,Asia,科威特,Kuwait,科威特,Kuwait,25,0.0,0,0,,,,,,,2020-02-26
57536,Asia,科威特,Kuwait,科威特,Kuwait,8,0.0,0,0,,,,,,,2020-02-25
58929,Asia,科威特,Kuwait,科威特,Kuwait,1,0.0,0,0,,,,,,,2020-02-24
