,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
184,South America,秘鲁,Peru,秘鲁,Peru,950,0.0,14,24,,,,,,,2020-03-31
2136,South America,秘鲁,Peru,秘鲁,Peru,852,0.0,14,18,,,,,,,2020-03-30
5108,South America,秘鲁,Peru,秘鲁,Peru,671,0.0,14,16,,,,,,,2020-03-29
6948,South America,秘鲁,Peru,秘鲁,Peru,635,0.0,14,11,,,,,,,2020-03-28
9311,South America,秘鲁,Peru,秘鲁,Peru,580,0.0,14,9,,,,,,,2020-03-27
11752,South America,秘鲁,Peru,秘鲁,Peru,480,0.0,1,5,,,,,,,2020-03-26
15820,South America,秘鲁,Peru,秘鲁,Peru,395,0.0,1,5,,,,,,,2020-03-25
17535,South America,秘鲁,Peru,秘鲁,Peru,395,0.0,1,5,,,,,,,2020-03-24
20868,South America,秘鲁,Peru,秘鲁,Peru,363,0.0,0,5,,,,,,,2020-03-23
23529,South America,秘鲁,Peru,秘鲁,Peru,318,0.0,0,5,,,,,,,2020-03-22
24965,South America,秘鲁,Peru,秘鲁,Peru,263,0.0,0,4,,,,,,,2020-03-21
25833,South America,秘鲁,Peru,秘鲁,Peru,234,0.0,0,1,,,,,,,2020-03-20
27097,South America,秘鲁,Peru,秘鲁,Peru,145,0.0,0,0,,,,,,,2020-03-19
29436,South America,秘鲁,Peru,秘鲁,Peru,117,0.0,0,0,,,,,,,2020-03-18
31100,South America,秘鲁,Peru,秘鲁,Peru,71,0.0,0,0,,,,,,,2020-03-17
33183,South America,秘鲁,Peru,秘鲁,Peru,71,0.0,0,0,,,,,,,2020-03-16
34302,South America,秘鲁,Peru,秘鲁,Peru,28,0.0,0,0,,,,,,,2020-03-15
35489,South America,秘鲁,Peru,秘鲁,Peru,28,0.0,0,0,,,,,,,2020-03-14
36579,South America,秘鲁,Peru,秘鲁,Peru,22,0.0,0,0,,,,,,,2020-03-13
37539,South America,秘鲁,Peru,秘鲁,Peru,6,0.0,0,0,,,,,,,2020-03-12
38622,South America,秘鲁,Peru,秘鲁,Peru,6,0.0,0,0,,,,,,,2020-03-11
39299,South America,秘鲁,Peru,秘鲁,Peru,6,0.0,0,0,,,,,,,2020-03-10
40818,South America,秘鲁,Peru,秘鲁,Peru,6,0.0,0,0,,,,,,,2020-03-09
41341,South America,秘鲁,Peru,秘鲁,Peru,6,0.0,0,0,,,,,,,2020-03-08
42413,South America,秘鲁,Peru,秘鲁,Peru,1,0.0,0,0,,,,,,,2020-03-07
43117,South America,秘鲁,Peru,秘鲁,Peru,1,0.0,0,0,,,,,,,2020-03-06
