,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
87,Africa,突尼斯,Tunisia,突尼斯,Tunisia,975,0.0,279,40,,,,,,,2020-04-29
1152,Africa,突尼斯,Tunisia,突尼斯,Tunisia,967,0.0,279,39,,,,,,,2020-04-28
2446,Africa,突尼斯,Tunisia,突尼斯,Tunisia,949,0.0,216,38,,,,,,,2020-04-27
3416,Africa,突尼斯,Tunisia,突尼斯,Tunisia,939,0.0,207,38,,,,,,,2020-04-26
4715,Africa,突尼斯,Tunisia,突尼斯,Tunisia,922,0.0,194,38,,,,,,,2020-04-25
6549,Africa,突尼斯,Tunisia,突尼斯,Tunisia,918,0.0,190,38,,,,,,,2020-04-24
7816,Africa,突尼斯,Tunisia,突尼斯,Tunisia,909,0.0,190,38,,,,,,,2020-04-23
9166,Africa,突尼斯,Tunisia,突尼斯,Tunisia,901,0.0,170,38,,,,,,,2020-04-22
10805,Africa,突尼斯,Tunisia,突尼斯,Tunisia,884,0.0,0,38,,,,,,,2020-04-21
12234,Africa,突尼斯,Tunisia,突尼斯,Tunisia,879,0.0,0,38,,,,,,,2020-04-20
13506,Africa,突尼斯,Tunisia,突尼斯,Tunisia,866,0.0,0,37,,,,,,,2020-04-19
14690,Africa,突尼斯,Tunisia,突尼斯,Tunisia,864,0.0,0,37,,,,,,,2020-04-18
15871,Africa,突尼斯,Tunisia,突尼斯,Tunisia,822,0.0,0,37,,,,,,,2020-04-17
17599,Africa,突尼斯,Tunisia,突尼斯,Tunisia,780,0.0,0,35,,,,,,,2020-04-16
19144,Africa,突尼斯,Tunisia,突尼斯,Tunisia,747,0.0,0,34,,,,,,,2020-04-15
20493,Africa,突尼斯,Tunisia,突尼斯,Tunisia,726,0.0,0,34,,,,,,,2020-04-14
22208,Africa,突尼斯,Tunisia,突尼斯,Tunisia,707,0.0,0,31,,,,,,,2020-04-13
23134,Africa,突尼斯,Tunisia,突尼斯,Tunisia,685,0.0,0,28,,,,,,,2020-04-12
24775,Africa,突尼斯,Tunisia,突尼斯,Tunisia,671,0.0,0,25,,,,,,,2020-04-11
26144,Africa,突尼斯,Tunisia,突尼斯,Tunisia,643,0.0,0,25,,,,,,,2020-04-10
27320,Africa,突尼斯,Tunisia,突尼斯,Tunisia,628,0.0,0,24,,,,,,,2020-04-09
29177,Africa,突尼斯,Tunisia,突尼斯,Tunisia,623,0.0,0,23,,,,,,,2020-04-08
30962,Africa,突尼斯,Tunisia,突尼斯,Tunisia,596,0.0,0,22,,,,,,,2020-04-07
