,continentEnglishName,countryName,countryEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,updateTime
1261,Africa,索马里,Somali,3,0.0,0,0,2020-03-28
3094,Africa,索马里,Somali,3,0.0,0,0,2020-03-27
5780,Africa,索马里,Somali,2,0.0,0,0,2020-03-26
10018,Africa,索马里,Somali,1,0.0,0,0,2020-03-25
11462,Africa,索马里,Somali,1,0.0,0,0,2020-03-24
14793,Africa,索马里,Somali,1,0.0,0,0,2020-03-23
17813,Africa,索马里,Somali,1,0.0,0,0,2020-03-22
18884,Africa,索马里,Somali,1,0.0,0,0,2020-03-21
19744,Africa,索马里,Somali,1,0.0,0,0,2020-03-20
21002,Africa,索马里,Somali,1,0.0,0,0,2020-03-19
23342,Africa,索马里,Somali,1,0.0,0,0,2020-03-18
