,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
309,Asia,约旦,Jordan,约旦,Jordan,274,0.0,30,5,,,,,,,2020-04-01
2227,Asia,约旦,Jordan,约旦,Jordan,268,0.0,26,5,,,,,,,2020-03-31
4111,Asia,约旦,Jordan,约旦,Jordan,259,0.0,18,2,,,,,,,2020-03-30
7217,Asia,约旦,Jordan,约旦,Jordan,246,0.0,18,1,,,,,,,2020-03-29
8979,Asia,约旦,Jordan,约旦,Jordan,235,0.0,17,1,,,,,,,2020-03-28
11250,Asia,约旦,Jordan,约旦,Jordan,212,0.0,1,0,,,,,,,2020-03-27
13902,Asia,约旦,Jordan,约旦,Jordan,172,0.0,1,0,,,,,,,2020-03-26
17854,Asia,约旦,Jordan,约旦,Jordan,153,0.0,1,0,,,,,,,2020-03-25
19574,Asia,约旦,Jordan,约旦,Jordan,127,0.0,1,0,,,,,,,2020-03-24
22908,Asia,约旦,Jordan,约旦,Jordan,112,0.0,1,0,,,,,,,2020-03-23
25565,Asia,约旦,Jordan,约旦,Jordan,99,0.0,1,0,,,,,,,2020-03-22
27000,Asia,约旦,Jordan,约旦,Jordan,86,0.0,1,0,,,,,,,2020-03-21
27871,Asia,约旦,Jordan,约旦,Jordan,70,0.0,1,0,,,,,,,2020-03-20
29131,Asia,约旦,Jordan,约旦,Jordan,57,0.0,1,0,,,,,,,2020-03-19
31013,Asia,约旦,Jordan,约旦,Jordan,49,0.0,1,0,,,,,,,2020-03-18
32893,Asia,约旦,Jordan,约旦,Jordan,34,0.0,1,0,,,,,,,2020-03-17
35232,Asia,约旦,Jordan,约旦,Jordan,13,0.0,1,0,,,,,,,2020-03-16
36245,Asia,约旦,Jordan,约旦,Jordan,7,0.0,1,0,,,,,,,2020-03-15
37534,Asia,约旦,Jordan,约旦,Jordan,1,0.0,1,0,,,,,,,2020-03-14
39880,Asia,约旦,Jordan,约旦,Jordan,1,0.0,0,0,,,,,,,2020-03-12
41166,Asia,约旦,Jordan,约旦,Jordan,1,0.0,0,0,,,,,,,2020-03-11
41337,Asia,约旦,Jordan,约旦,Jordan,1,0.0,0,0,,,,,,,2020-03-10
46077,Asia,约旦,Jordan,约旦,Jordan,1,0.0,0,0,,,,,,,2020-03-06
46987,Asia,约旦,Jordan,约旦,Jordan,1,0.0,0,0,,,,,,,2020-03-05
47677,Asia,约旦,Jordan,约旦,Jordan,1,0.0,0,0,,,,,,,2020-03-04
48490,Asia,约旦,Jordan,约旦,Jordan,1,0.0,0,0,,,,,,,2020-03-03
