,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
387,Africa,纳米比亚,Namibia,纳米比亚,Namibia,11,0.0,0,0,,,,,,,2020-04-01
2418,Africa,纳米比亚,Namibia,纳米比亚,Namibia,11,0.0,0,0,,,,,,,2020-03-31
4361,Africa,纳米比亚,Namibia,纳米比亚,Namibia,11,0.0,0,0,,,,,,,2020-03-30
7978,Africa,纳米比亚,Namibia,纳米比亚,Namibia,11,0.0,0,0,,,,,,,2020-03-29
9656,Africa,纳米比亚,Namibia,纳米比亚,Namibia,8,0.0,0,0,,,,,,,2020-03-28
11470,Africa,纳米比亚,Namibia,纳米比亚,Namibia,8,0.0,0,0,,,,,,,2020-03-27
13974,Africa,纳米比亚,Namibia,纳米比亚,Namibia,7,0.0,0,0,,,,,,,2020-03-26
18197,Africa,纳米比亚,Namibia,纳米比亚,Namibia,7,0.0,0,0,,,,,,,2020-03-25
19651,Africa,纳米比亚,Namibia,纳米比亚,Namibia,3,0.0,0,0,,,,,,,2020-03-24
22982,Africa,纳米比亚,Namibia,纳米比亚,Namibia,3,0.0,0,0,,,,,,,2020-03-23
25637,Africa,纳米比亚,Namibia,纳米比亚,Namibia,3,0.0,0,0,,,,,,,2020-03-22
27071,Africa,纳米比亚,Namibia,纳米比亚,Namibia,3,0.0,0,0,,,,,,,2020-03-21
27944,Africa,纳米比亚,Namibia,纳米比亚,Namibia,2,0.0,0,0,,,,,,,2020-03-20
29195,Africa,纳米比亚,Namibia,纳米比亚,Namibia,2,0.0,0,0,,,,,,,2020-03-19
31532,Africa,纳米比亚,Namibia,纳米比亚,Namibia,2,0.0,0,0,,,,,,,2020-03-18
33185,Africa,纳米比亚,Namibia,纳米比亚,Namibia,2,0.0,0,0,,,,,,,2020-03-17
35262,Africa,纳米比亚,Namibia,纳米比亚,Namibia,2,0.0,0,0,,,,,,,2020-03-16
36357,Africa,纳米比亚,Namibia,纳米比亚,Namibia,2,0.0,0,0,,,,,,,2020-03-15
37398,Africa,纳米比亚,Namibia,纳米比亚,Namibia,2,0.0,0,0,,,,,,,2020-03-14
