,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
655,Asia,缅甸,Burma,缅甸,Burma,146,0.0,10,5,,,,,,,2020-04-29
1200,Asia,缅甸,Burma,缅甸,Burma,146,0.0,10,5,,,,,,,2020-04-28
2495,Asia,缅甸,Burma,缅甸,Burma,146,0.0,10,5,,,,,,,2020-04-27
3431,Asia,缅甸,Burma,缅甸,Burma,146,0.0,10,5,,,,,,,2020-04-26
4729,Asia,缅甸,Burma,缅甸,Burma,144,0.0,9,5,,,,,,,2020-04-25
6600,Asia,缅甸,Burma,缅甸,Burma,139,0.0,9,5,,,,,,,2020-04-24
8015,Asia,缅甸,Burma,缅甸,Burma,127,0.0,9,5,,,,,,,2020-04-23
9217,Asia,缅甸,Burma,缅甸,Burma,121,0.0,9,5,,,,,,,2020-04-22
10851,Asia,缅甸,Burma,缅甸,Burma,119,0.0,7,5,,,,,,,2020-04-21
12248,Asia,缅甸,Burma,缅甸,Burma,111,0.0,7,5,,,,,,,2020-04-20
13566,Asia,缅甸,Burma,缅甸,Burma,107,0.0,2,5,,,,,,,2020-04-19
14568,Asia,缅甸,Burma,缅甸,Burma,96,0.0,2,5,,,,,,,2020-04-18
15843,Asia,缅甸,Burma,缅甸,Burma,88,0.0,2,4,,,,,,,2020-04-17
17848,Asia,缅甸,Burma,缅甸,Burma,85,0.0,2,4,,,,,,,2020-04-16
19194,Asia,缅甸,Burma,缅甸,Burma,74,0.0,2,4,,,,,,,2020-04-15
20680,Asia,缅甸,Burma,缅甸,Burma,62,0.0,2,4,,,,,,,2020-04-14
22274,Asia,缅甸,Burma,缅甸,Burma,41,0.0,2,4,,,,,,,2020-04-13
23152,Asia,缅甸,Burma,缅甸,Burma,39,0.0,2,4,,,,,,,2020-04-12
24539,Asia,缅甸,Burma,缅甸,Burma,31,0.0,2,3,,,,,,,2020-04-11
26388,Asia,缅甸,Burma,缅甸,Burma,27,0.0,1,3,,,,,,,2020-04-10
27387,Asia,缅甸,Burma,缅甸,Burma,23,0.0,1,3,,,,,,,2020-04-09
29359,Asia,缅甸,Burma,缅甸,Burma,22,0.0,1,3,,,,,,,2020-04-08
31043,Asia,缅甸,Burma,缅甸,Burma,22,0.0,1,1,,,,,,,2020-04-07
32871,Asia,缅甸,Burma,缅甸,Burma,22,0.0,1,1,,,,,,,2020-04-06
35021,Asia,缅甸,Burma,缅甸,Burma,21,0.0,1,1,,,,,,,2020-04-05
36632,Asia,缅甸,Burma,缅甸,Burma,21,0.0,1,1,,,,,,,2020-04-04
38273,Asia,缅甸,Burma,缅甸,Burma,20,0.0,0,1,,,,,,,2020-04-03
40372,Asia,缅甸,Burma,缅甸,Burma,20,0.0,0,1,,,,,,,2020-04-02
42000,Asia,缅甸,Burma,缅甸,Burma,16,0.0,0,1,,,,,,,2020-04-01
44166,Asia,缅甸,Burma,缅甸,Burma,15,0.0,0,1,,,,,,,2020-03-31
46116,Asia,缅甸,Burma,缅甸,Burma,14,0.0,0,0,,,,,,,2020-03-30
49893,Asia,缅甸,Burma,缅甸,Burma,8,0.0,0,0,,,,,,,2020-03-29
51374,Asia,缅甸,Burma,缅甸,Burma,8,0.0,0,0,,,,,,,2020-03-28
53396,Asia,缅甸,Burma,缅甸,Burma,5,0.0,0,0,,,,,,,2020-03-27
55899,Asia,缅甸,Burma,缅甸,Burma,3,0.0,0,0,,,,,,,2020-03-26
60137,Asia,缅甸,Burma,缅甸,Burma,2,0.0,0,0,,,,,,,2020-03-25
61578,Asia,缅甸,Burma,缅甸,Burma,2,0.0,0,0,,,,,,,2020-03-24
