,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
31,Europe,罗马尼亚,Romania,罗马尼亚,Romania,2245,0.0,220,69,,,,,,,2020-04-01
172,Europe,罗马尼亚,Romania,罗马尼亚,Romania,1952,0.0,206,50,,,,,,,2020-03-31
2232,Europe,罗马尼亚,Romania,罗马尼亚,Romania,1815,0.0,206,43,,,,,,,2020-03-30
5198,Europe,罗马尼亚,Romania,罗马尼亚,Romania,1292,0.0,115,24,,,,,,,2020-03-29
6937,Europe,罗马尼亚,Romania,罗马尼亚,Romania,1292,0.0,115,24,,,,,,,2020-03-28
9191,Europe,罗马尼亚,Romania,罗马尼亚,Romania,907,0.0,31,17,,,,,,,2020-03-27
11810,Europe,罗马尼亚,Romania,罗马尼亚,Romania,907,0.0,31,17,,,,,,,2020-03-26
15814,Europe,罗马尼亚,Romania,罗马尼亚,Romania,576,0.0,31,7,,,,,,,2020-03-25
17526,Europe,罗马尼亚,Romania,罗马尼亚,Romania,576,0.0,31,7,,,,,,,2020-03-24
20870,Europe,罗马尼亚,Romania,罗马尼亚,Romania,367,0.0,31,1,,,,,,,2020-03-23
23534,Europe,罗马尼亚,Romania,罗马尼亚,Romania,308,0.0,31,0,,,,,,,2020-03-22
24964,Europe,罗马尼亚,Romania,罗马尼亚,Romania,308,0.0,31,0,,,,,,,2020-03-21
25830,Europe,罗马尼亚,Romania,罗马尼亚,Romania,277,0.0,25,0,,,,,,,2020-03-20
27088,Europe,罗马尼亚,Romania,罗马尼亚,Romania,217,0.0,3,0,,,,,,,2020-03-19
28976,Europe,罗马尼亚,Romania,罗马尼亚,Romania,217,0.0,3,0,,,,,,,2020-03-18
31083,Europe,罗马尼亚,Romania,罗马尼亚,Romania,158,0.0,3,0,,,,,,,2020-03-17
33170,Europe,罗马尼亚,Romania,罗马尼亚,Romania,123,0.0,3,0,,,,,,,2020-03-16
34276,Europe,罗马尼亚,Romania,罗马尼亚,Romania,101,0.0,3,0,,,,,,,2020-03-15
35384,Europe,罗马尼亚,Romania,罗马尼亚,Romania,97,0.0,3,0,,,,,,,2020-03-14
36314,Europe,罗马尼亚,Romania,罗马尼亚,Romania,70,0.0,3,0,,,,,,,2020-03-13
37251,Europe,罗马尼亚,Romania,罗马尼亚,Romania,49,0.0,3,0,,,,,,,2020-03-12
38293,Europe,罗马尼亚,Romania,罗马尼亚,Romania,28,0.0,3,0,,,,,,,2020-03-11
39286,Europe,罗马尼亚,Romania,罗马尼亚,Romania,17,0.0,3,0,,,,,,,2020-03-10
40568,Europe,罗马尼亚,Romania,罗马尼亚,Romania,15,0.0,3,0,,,,,,,2020-03-09
41334,Europe,罗马尼亚,Romania,罗马尼亚,Romania,13,0.0,3,0,,,,,,,2020-03-08
42401,Europe,罗马尼亚,Romania,罗马尼亚,Romania,9,0.0,3,0,,,,,,,2020-03-07
43707,Europe,罗马尼亚,Romania,罗马尼亚,Romania,6,0.0,1,0,,,,,,,2020-03-06
44298,Europe,罗马尼亚,Romania,罗马尼亚,Romania,6,0.0,1,0,,,,,,,2020-03-05
45662,Europe,罗马尼亚,Romania,罗马尼亚,Romania,4,0.0,1,0,,,,,,,2020-03-04
47406,Europe,罗马尼亚,Romania,罗马尼亚,Romania,3,0.0,0,0,,,,,,,2020-03-03
48910,Europe,罗马尼亚,Romania,罗马尼亚,Romania,3,0.0,0,0,,,,,,,2020-03-02
49758,Europe,罗马尼亚,Romania,罗马尼亚,Romania,3,0.0,0,0,,,,,,,2020-03-01
50604,Europe,罗马尼亚,Romania,罗马尼亚,Romania,3,0.0,0,0,,,,,,,2020-02-29
52203,Europe,罗马尼亚,Romania,罗马尼亚,Romania,1,0.0,0,0,,,,,,,2020-02-28
52962,Europe,罗马尼亚,Romania,罗马尼亚,Romania,1,0.0,0,0,,,,,,,2020-02-27
