,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
2,North America,美国,United States of America,美国,United States of America,1012582,0.0,115936,58355,,,,,,,2020-04-29
872,North America,美国,United States of America,美国,United States of America,989357,0.0,111587,56386,,,,,,,2020-04-28
2307,North America,美国,United States of America,美国,United States of America,967585,0.0,107070,54931,,,,,,,2020-04-27
3392,North America,美国,United States of America,美国,United States of America,940797,0.0,105823,54001,,,,,,,2020-04-26
4676,North America,美国,United States of America,美国,United States of America,907096,0.0,99121,52063,,,,,,,2020-04-25
6402,North America,美国,United States of America,美国,United States of America,870468,0.0,80937,50031,,,,,,,2020-04-24
7767,North America,美国,United States of America,美国,United States of America,843937,0.0,76616,46838,,,,,,,2020-04-23
9082,North America,美国,United States of America,美国,United States of America,826184,0.0,75682,45150,,,,,,,2020-04-22
10748,North America,美国,United States of America,美国,United States of America,788920,0.0,73533,42458,,,,,,,2020-04-21
12219,North America,美国,United States of America,美国,United States of America,760570,0.0,71011,40702,,,,,,,2020-04-20
13334,North America,美国,United States of America,美国,United States of America,735366,0.0,66854,39095,,,,,,,2020-04-19
14539,North America,美国,United States of America,美国,United States of America,706832,0.0,59672,37084,,,,,,,2020-04-18
15703,North America,美国,United States of America,美国,United States of America,672246,0.0,56236,33318,,,,,,,2020-04-17
17582,North America,美国,United States of America,美国,United States of America,640014,0.0,52772,31002,,,,,,,2020-04-16
18919,North America,美国,United States of America,美国,United States of America,609696,0.0,49966,26059,,,,,,,2020-04-15
20471,North America,美国,United States of America,美国,United States of America,583220,0.0,44319,23654,,,,,,,2020-04-14
22047,North America,美国,United States of America,美国,United States of America,558526,0.0,42018,22146,,,,,,,2020-04-13
23078,North America,美国,United States of America,美国,United States of America,530830,0.0,32314,20646,,,,,,,2020-04-12
24541,North America,美国,United States of America,美国,United States of America,501615,0.0,29192,18781,,,,,,,2020-04-11
26101,North America,美国,United States of America,美国,United States of America,467184,0.0,26522,16736,,,,,,,2020-04-10
27315,North America,美国,United States of America,美国,United States of America,432579,0.0,24213,14830,,,,,,,2020-04-09
29152,North America,美国,United States of America,美国,United States of America,399979,0.0,22539,12912,,,,,,,2020-04-08
30892,North America,美国,United States of America,美国,United States of America,368449,0.0,19919,10993,,,,,,,2020-04-07
32843,North America,美国,United States of America,美国,United States of America,337971,0.0,17582,9654,,,,,,,2020-04-06
34751,North America,美国,United States of America,美国,United States of America,312245,0.0,15021,8503,,,,,,,2020-04-05
36597,North America,美国,United States of America,美国,United States of America,278537,0.0,9920,7163,,,,,,,2020-04-04
38021,North America,美国,United States of America,美国,United States of America,245658,0.0,9311,6068,,,,,,,2020-04-03
40275,North America,美国,United States of America,美国,United States of America,216722,0.0,8672,5137,,,,,,,2020-04-02
41959,North America,美国,United States of America,美国,United States of America,189633,0.0,7136,4081,,,,,,,2020-04-01
44055,North America,美国,United States of America,美国,United States of America,164603,0.0,5896,3170,,,,,,,2020-03-31
46026,North America,美国,United States of America,美国,United States of America,143101,0.0,4865,2517,,,,,,,2020-03-30
49137,North America,美国,United States of America,美国,United States of America,124686,0.0,2612,2191,,,,,,,2020-03-29
50827,North America,美国,United States of America,美国,United States of America,105470,0.0,2072,1710,,,,,,,2020-03-28
53229,North America,美国,United States of America,美国,United States of America,85840,0.0,713,1296,,,,,,,2020-03-27
55737,North America,美国,United States of America,美国,United States of America,69194,0.0,619,1050,,,,,,,2020-03-26
59707,North America,美国,United States of America,美国,United States of America,55243,0.0,354,802,,,,,,,2020-03-25
61406,North America,美国,United States of America,美国,United States of America,46450,0.0,178,593,,,,,,,2020-03-24
64727,North America,美国,United States of America,美国,United States of America,35360,0.0,178,473,,,,,,,2020-03-23
67326,North America,美国,United States of America,美国,United States of America,26997,0.0,176,340,,,,,,,2020-03-22
68825,North America,美国,United States of America,美国,United States of America,19624,0.0,147,260,,,,,,,2020-03-21
69693,North America,美国,United States of America,美国,United States of America,14250,0.0,121,208,,,,,,,2020-03-20
70946,North America,美国,United States of America,美国,United States of America,10259,0.0,106,153,,,,,,,2020-03-19
73297,North America,美国,United States of America,美国,United States of America,6420,0.0,74,108,,,,,,,2020-03-18
74705,North America,美国,United States of America,美国,United States of America,4661,0.0,48,90,,,,,,,2020-03-17
76897,North America,美国,United States of America,美国,United States of America,3700,0.0,10,66,,,,,,,2020-03-16
78083,North America,美国,United States of America,美国,United States of America,2885,0.0,10,60,,,,,,,2020-03-15
79300,North America,美国,United States of America,美国,United States of America,2084,0.0,10,41,,,,,,,2020-03-14
80201,North America,美国,United States of America,美国,United States of America,1635,0.0,10,39,,,,,,,2020-03-13
81370,North America,美国,United States of America,美国,United States of America,1004,0.0,10,31,,,,,,,2020-03-12
82463,North America,美国,United States of America,美国,United States of America,1004,0.0,10,31,,,,,,,2020-03-11
83145,North America,美国,United States of America,美国,United States of America,704,0.0,10,26,,,,,,,2020-03-10
84449,North America,美国,United States of America,美国,United States of America,572,0.0,10,21,,,,,,,2020-03-09
85203,North America,美国,United States of America,美国,United States of America,445,0.0,10,19,,,,,,,2020-03-08
86265,North America,美国,United States of America,美国,United States of America,324,0.0,10,14,,,,,,,2020-03-07
87597,North America,美国,United States of America,美国,United States of America,232,0.0,3,14,,,,,,,2020-03-06
88178,North America,美国,United States of America,美国,United States of America,153,0.0,3,11,,,,,,,2020-03-05
89541,North America,美国,United States of America,美国,United States of America,122,0.0,3,9,,,,,,,2020-03-04
90950,North America,美国,United States of America,美国,United States of America,100,0.0,3,6,,,,,,,2020-03-03
91923,North America,美国,United States of America,美国,United States of America,77,0.0,3,1,,,,,,,2020-03-02
93634,North America,美国,United States of America,美国,United States of America,63,0.0,3,1,,,,,,,2020-03-01
94481,North America,美国,United States of America,美国,United States of America,63,0.0,3,0,,,,,,,2020-02-29
96080,North America,美国,United States of America,美国,United States of America,60,0.0,3,0,,,,,,,2020-02-28
96844,North America,美国,United States of America,美国,United States of America,60,0.0,3,0,,,,,,,2020-02-27
97966,North America,美国,United States of America,美国,United States of America,57,0.0,3,0,,,,,,,2020-02-26
100064,North America,美国,United States of America,美国,United States of America,53,0.0,3,0,,,,,,,2020-02-25
101304,North America,美国,United States of America,美国,United States of America,35,0.0,3,0,,,,,,,2020-02-24
102984,North America,美国,United States of America,美国,United States of America,35,0.0,3,0,,,,,,,2020-02-23
103449,North America,美国,United States of America,美国,United States of America,35,0.0,3,0,,,,,,,2020-02-22
108052,North America,美国,United States of America,美国,United States of America,15,0.0,3,0,,,,,,,2020-02-20
113850,North America,美国,United States of America,美国,United States of America,15,0.0,3,0,,,,,,,2020-02-17
113935,North America,美国,United States of America,美国,United States of America,15,0.0,3,0,,,,,,,2020-02-16
116763,North America,美国,United States of America,美国,United States of America,15,0.0,3,0,,,,,,,2020-02-15
117847,North America,美国,United States of America,美国,United States of America,15,0.0,3,0,,,,,,,2020-02-14
120121,North America,美国,United States of America,美国,United States of America,14,0.0,3,0,,,,,,,2020-02-13
122251,North America,美国,United States of America,美国,United States of America,13,0.0,3,0,,,,,,,2020-02-12
124553,North America,美国,United States of America,美国,United States of America,13,0.0,0,0,,,,,,,2020-02-11
126419,North America,美国,United States of America,美国,United States of America,12,0.0,0,0,,,,,,,2020-02-10
137843,North America,美国,United States of America,美国,United States of America,12,0.0,0,0,,,,,,,2020-02-06
142383,North America,美国,United States of America,美国,United States of America,11,0.0,0,0,,,,,,,2020-02-04
143966,North America,美国,United States of America,美国,United States of America,9,0.0,0,0,,,,,,,2020-02-03
145702,North America,美国,United States of America,美国,United States of America,8,0.0,0,0,,,,,,,2020-02-02
147754,North America,美国,United States of America,美国,United States of America,6,0.0,0,0,,,,,,,2020-02-01
149287,,美国,United States of America,美国,United States of America,6,0.0,0,0,,,,,,,2020-01-31
152606,,美国,United States of America,美国,United States of America,5,0.0,0,0,,,,,,,2020-01-27
