,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
394,North America,美属维尔京群岛,,美属维尔京群岛,,22,0.0,0,0,,,,,,,2020-03-31
2344,North America,美属维尔京群岛,,美属维尔京群岛,,17,0.0,0,0,,,,,,,2020-03-30
7633,North America,美属维尔京群岛,,美属维尔京群岛,,17,0.0,0,0,,,,,,,2020-03-28
9449,North America,美属维尔京群岛,,美属维尔京群岛,,17,0.0,0,0,,,,,,,2020-03-27
11954,North America,美属维尔京群岛,,美属维尔京群岛,,17,0.0,0,0,,,,,,,2020-03-26
16173,North America,美属维尔京群岛,,美属维尔京群岛,,17,0.0,0,0,,,,,,,2020-03-25
17631,North America,美属维尔京群岛,,美属维尔京群岛,,6,0.0,0,0,,,,,,,2020-03-24
20962,North America,美属维尔京群岛,,美属维尔京群岛,,6,0.0,0,0,,,,,,,2020-03-23
23631,North America,美属维尔京群岛,,美属维尔京群岛,,3,0.0,0,0,,,,,,,2020-03-22
25068,North America,美属维尔京群岛,,美属维尔京群岛,,3,0.0,0,0,,,,,,,2020-03-21
25941,North America,美属维尔京群岛,,美属维尔京群岛,,2,0.0,0,0,,,,,,,2020-03-20
27190,North America,美属维尔京群岛,,美属维尔京群岛,,2,0.0,0,0,,,,,,,2020-03-19
29527,North America,美属维尔京群岛,,美属维尔京群岛,,2,0.0,0,0,,,,,,,2020-03-18
