,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
375,Africa,肯尼亚,Kenya,肯尼亚,Kenya,59,0.0,1,1,,,,,,,2020-03-31
2323,Africa,肯尼亚,Kenya,肯尼亚,Kenya,50,0.0,1,1,,,,,,,2020-03-30
5097,Africa,肯尼亚,Kenya,肯尼亚,Kenya,42,0.0,1,1,,,,,,,2020-03-29
7301,Africa,肯尼亚,Kenya,肯尼亚,Kenya,38,0.0,1,1,,,,,,,2020-03-28
9436,Africa,肯尼亚,Kenya,肯尼亚,Kenya,31,0.0,1,1,,,,,,,2020-03-27
11797,Africa,肯尼亚,Kenya,肯尼亚,Kenya,31,0.0,1,0,,,,,,,2020-03-26
15859,Africa,肯尼亚,Kenya,肯尼亚,Kenya,28,0.0,1,0,,,,,,,2020-03-25
17604,Africa,肯尼亚,Kenya,肯尼亚,Kenya,25,0.0,0,0,,,,,,,2020-03-24
20947,Africa,肯尼亚,Kenya,肯尼亚,Kenya,15,0.0,0,0,,,,,,,2020-03-23
23445,Africa,肯尼亚,Kenya,肯尼亚,Kenya,15,0.0,0,0,,,,,,,2020-03-22
25051,Africa,肯尼亚,Kenya,肯尼亚,Kenya,7,0.0,0,0,,,,,,,2020-03-21
25913,Africa,肯尼亚,Kenya,肯尼亚,Kenya,7,0.0,0,0,,,,,,,2020-03-20
27165,Africa,肯尼亚,Kenya,肯尼亚,Kenya,7,0.0,0,0,,,,,,,2020-03-19
29016,Africa,肯尼亚,Kenya,肯尼亚,Kenya,7,0.0,0,0,,,,,,,2020-03-18
30839,Africa,肯尼亚,Kenya,肯尼亚,Kenya,4,0.0,0,0,,,,,,,2020-03-17
32860,Africa,肯尼亚,Kenya,肯尼亚,Kenya,3,0.0,0,0,,,,,,,2020-03-16
34360,Africa,肯尼亚,Kenya,肯尼亚,Kenya,1,0.0,0,0,,,,,,,2020-03-15
35826,Africa,肯尼亚,Kenya,肯尼亚,Kenya,1,0.0,0,0,,,,,,,2020-03-14
36391,Africa,肯尼亚,Kenya,肯尼亚,Kenya,1,0.0,0,0,,,,,,,2020-03-13
