,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
69,Europe,芬兰,Finland,芬兰,Finland,1384,0.0,10,17,,,,,,,2020-04-01
178,Europe,芬兰,Finland,芬兰,Finland,1313,0.0,10,13,,,,,,,2020-03-31
2133,Europe,芬兰,Finland,芬兰,Finland,1218,0.0,10,11,,,,,,,2020-03-30
5292,Europe,芬兰,Finland,芬兰,Finland,1163,0.0,10,9,,,,,,,2020-03-29
6938,Europe,芬兰,Finland,芬兰,Finland,1163,0.0,10,9,,,,,,,2020-03-28
9273,Europe,芬兰,Finland,芬兰,Finland,880,0.0,10,5,,,,,,,2020-03-27
11854,Europe,芬兰,Finland,芬兰,Finland,880,0.0,10,3,,,,,,,2020-03-26
15809,Europe,芬兰,Finland,芬兰,Finland,792,0.0,10,1,,,,,,,2020-03-25
17522,Europe,芬兰,Finland,芬兰,Finland,700,0.0,10,1,,,,,,,2020-03-24
20855,Europe,芬兰,Finland,芬兰,Finland,626,0.0,10,1,,,,,,,2020-03-23
23520,Europe,芬兰,Finland,芬兰,Finland,521,0.0,10,1,,,,,,,2020-03-22
24952,Europe,芬兰,Finland,芬兰,Finland,450,0.0,1,0,,,,,,,2020-03-21
25818,Europe,芬兰,Finland,芬兰,Finland,400,0.0,1,0,,,,,,,2020-03-20
27075,Europe,芬兰,Finland,芬兰,Finland,359,0.0,1,0,,,,,,,2020-03-19
29415,Europe,芬兰,Finland,芬兰,Finland,319,0.0,1,0,,,,,,,2020-03-18
31072,Europe,芬兰,Finland,芬兰,Finland,272,0.0,1,0,,,,,,,2020-03-17
33160,Europe,芬兰,Finland,芬兰,Finland,243,0.0,1,0,,,,,,,2020-03-16
34259,Europe,芬兰,Finland,芬兰,Finland,224,0.0,1,0,,,,,,,2020-03-15
35736,Europe,芬兰,Finland,芬兰,Finland,155,0.0,1,0,,,,,,,2020-03-14
36364,Europe,芬兰,Finland,芬兰,Finland,155,0.0,1,0,,,,,,,2020-03-13
37495,Europe,芬兰,Finland,芬兰,Finland,65,0.0,1,0,,,,,,,2020-03-12
38589,Europe,芬兰,Finland,芬兰,Finland,40,0.0,1,0,,,,,,,2020-03-11
39224,Europe,芬兰,Finland,芬兰,Finland,40,0.0,1,0,,,,,,,2020-03-10
40469,Europe,芬兰,Finland,芬兰,Finland,30,0.0,1,0,,,,,,,2020-03-09
41330,Europe,芬兰,Finland,芬兰,Finland,19,0.0,1,0,,,,,,,2020-03-08
42391,Europe,芬兰,Finland,芬兰,Finland,15,0.0,1,0,,,,,,,2020-03-07
43120,Europe,芬兰,Finland,芬兰,Finland,15,0.0,1,0,,,,,,,2020-03-06
44296,Europe,芬兰,Finland,芬兰,Finland,7,0.0,1,0,,,,,,,2020-03-05
46242,Europe,芬兰,Finland,芬兰,Finland,6,0.0,1,0,,,,,,,2020-03-04
47401,Europe,芬兰,Finland,芬兰,Finland,6,0.0,1,0,,,,,,,2020-03-03
48036,Europe,芬兰,Finland,芬兰,Finland,6,0.0,1,0,,,,,,,2020-03-02
49762,Europe,芬兰,Finland,芬兰,Finland,3,0.0,1,0,,,,,,,2020-03-01
50605,Europe,芬兰,Finland,芬兰,Finland,3,0.0,1,0,,,,,,,2020-02-29
52201,Europe,芬兰,Finland,芬兰,Finland,2,0.0,1,0,,,,,,,2020-02-28
52959,Europe,芬兰,Finland,芬兰,Finland,2,0.0,1,0,,,,,,,2020-02-27
54875,Europe,芬兰,Finland,芬兰,Finland,1,0.0,1,0,,,,,,,2020-02-26
70051,Europe,芬兰,Finland,芬兰,Finland,1,0.0,1,0,,,,,,,2020-02-16
73110,Europe,芬兰,Finland,芬兰,Finland,1,0.0,1,0,,,,,,,2020-02-15
75388,Europe,芬兰,Finland,芬兰,Finland,1,0.0,1,0,,,,,,,2020-02-14
76234,Europe,芬兰,Finland,芬兰,Finland,1,0.0,1,0,,,,,,,2020-02-13
78364,Europe,芬兰,Finland,芬兰,Finland,1,0.0,1,0,,,,,,,2020-02-12
80666,Europe,芬兰,Finland,芬兰,Finland,1,0.0,0,0,,,,,,,2020-02-11
82566,Europe,芬兰,Finland,芬兰,Finland,1,0.0,0,0,,,,,,,2020-02-10
103900,Europe,芬兰,Finland,芬兰,Finland,1,0.0,0,0,,,,,,,2020-02-01
106556,,芬兰,Finland,芬兰,Finland,1,0.0,0,0,,,,,,,2020-01-30
