,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
409,Africa,苏丹,Sudan,苏丹,Sudan,7,0.0,0,2,,,,,,,2020-04-01
2435,Africa,苏丹,Sudan,苏丹,Sudan,7,0.0,0,2,,,,,,,2020-03-31
4389,Africa,苏丹,Sudan,苏丹,Sudan,6,0.0,0,2,,,,,,,2020-03-30
8005,Africa,苏丹,Sudan,苏丹,Sudan,5,0.0,0,1,,,,,,,2020-03-29
9313,Africa,苏丹,Sudan,苏丹,Sudan,5,0.0,0,1,,,,,,,2020-03-28
11504,Africa,苏丹,Sudan,苏丹,Sudan,3,0.0,0,1,,,,,,,2020-03-27
13994,Africa,苏丹,Sudan,苏丹,Sudan,3,0.0,0,1,,,,,,,2020-03-26
18225,Africa,苏丹,Sudan,苏丹,Sudan,3,0.0,0,1,,,,,,,2020-03-25
19658,Africa,苏丹,Sudan,苏丹,Sudan,3,0.0,0,1,,,,,,,2020-03-24
23005,Africa,苏丹,Sudan,苏丹,Sudan,2,0.0,0,1,,,,,,,2020-03-23
26026,Africa,苏丹,Sudan,苏丹,Sudan,2,0.0,0,1,,,,,,,2020-03-22
27095,Africa,苏丹,Sudan,苏丹,Sudan,2,0.0,0,1,,,,,,,2020-03-21
27953,Africa,苏丹,Sudan,苏丹,Sudan,2,0.0,0,1,,,,,,,2020-03-20
29203,Africa,苏丹,Sudan,苏丹,Sudan,2,0.0,0,1,,,,,,,2020-03-19
31539,Africa,苏丹,Sudan,苏丹,Sudan,2,0.0,0,1,,,,,,,2020-03-18
33211,Africa,苏丹,Sudan,苏丹,Sudan,1,0.0,0,1,,,,,,,2020-03-17
35290,Africa,苏丹,Sudan,苏丹,Sudan,1,0.0,0,1,,,,,,,2020-03-16
36387,Africa,苏丹,Sudan,苏丹,Sudan,1,0.0,0,1,,,,,,,2020-03-15
37535,Africa,苏丹,Sudan,苏丹,Sudan,1,0.0,0,1,,,,,,,2020-03-14
