,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
1696,South America,苏里南,Suriname,苏里南,Suriname,10,0.0,6,1,,,,,,,2020-04-28
4354,South America,苏里南,Suriname,苏里南,Suriname,10,0.0,6,1,,,,,,,2020-04-26
5022,South America,苏里南,Suriname,苏里南,Suriname,10,0.0,6,1,,,,,,,2020-04-25
7035,South America,苏里南,Suriname,苏里南,Suriname,10,0.0,6,1,,,,,,,2020-04-24
8092,South America,苏里南,Suriname,苏里南,Suriname,10,0.0,6,1,,,,,,,2020-04-23
9267,South America,苏里南,Suriname,苏里南,Suriname,10,0.0,6,1,,,,,,,2020-04-22
11893,South America,苏里南,Suriname,苏里南,Suriname,10,0.0,4,1,,,,,,,2020-04-21
12685,South America,苏里南,Suriname,苏里南,Suriname,10,0.0,4,1,,,,,,,2020-04-20
20264,South America,苏里南,Suriname,苏里南,Suriname,10,0.0,4,1,,,,,,,2020-04-15
22705,South America,苏里南,Suriname,苏里南,Suriname,10,0.0,4,1,,,,,,,2020-04-13
23397,South America,苏里南,Suriname,苏里南,Suriname,10,0.0,4,1,,,,,,,2020-04-12
24865,South America,苏里南,Suriname,苏里南,Suriname,10,0.0,4,1,,,,,,,2020-04-11
26664,South America,苏里南,Suriname,苏里南,Suriname,10,0.0,0,1,,,,,,,2020-04-10
27907,South America,苏里南,Suriname,苏里南,Suriname,10,0.0,0,1,,,,,,,2020-04-09
29549,South America,苏里南,Suriname,苏里南,Suriname,10,0.0,0,1,,,,,,,2020-04-08
31318,South America,苏里南,Suriname,苏里南,Suriname,10,0.0,0,1,,,,,,,2020-04-07
33540,South America,苏里南,Suriname,苏里南,Suriname,10,0.0,0,1,,,,,,,2020-04-06
35040,South America,苏里南,Suriname,苏里南,Suriname,10,0.0,0,1,,,,,,,2020-04-05
37127,South America,苏里南,Suriname,苏里南,Suriname,9,0.0,0,1,,,,,,,2020-04-04
38292,South America,苏里南,Suriname,苏里南,Suriname,9,0.0,0,0,,,,,,,2020-04-03
40968,South America,苏里南,Suriname,苏里南,Suriname,9,0.0,0,0,,,,,,,2020-04-02
42298,South America,苏里南,Suriname,苏里南,Suriname,9,0.0,0,0,,,,,,,2020-04-01
44330,South America,苏里南,Suriname,苏里南,Suriname,8,0.0,0,0,,,,,,,2020-03-31
46275,South America,苏里南,Suriname,苏里南,Suriname,8,0.0,0,0,,,,,,,2020-03-30
49890,South America,苏里南,Suriname,苏里南,Suriname,8,0.0,0,0,,,,,,,2020-03-29
51567,South America,苏里南,Suriname,苏里南,Suriname,7,0.0,0,0,,,,,,,2020-03-28
53381,South America,苏里南,Suriname,苏里南,Suriname,7,0.0,0,0,,,,,,,2020-03-27
55883,South America,苏里南,Suriname,苏里南,Suriname,6,0.0,0,0,,,,,,,2020-03-26
60106,South America,苏里南,Suriname,苏里南,Suriname,6,0.0,0,0,,,,,,,2020-03-25
61545,South America,苏里南,Suriname,苏里南,Suriname,6,0.0,0,0,,,,,,,2020-03-24
64863,South America,苏里南,Suriname,苏里南,Suriname,5,0.0,0,0,,,,,,,2020-03-23
67519,South America,苏里南,Suriname,苏里南,Suriname,5,0.0,0,0,,,,,,,2020-03-22
68972,South America,苏里南,Suriname,苏里南,Suriname,2,0.0,0,0,,,,,,,2020-03-21
69834,South America,苏里南,Suriname,苏里南,Suriname,2,0.0,0,0,,,,,,,2020-03-20
71099,South America,苏里南,Suriname,苏里南,Suriname,1,0.0,0,0,,,,,,,2020-03-19
73436,South America,苏里南,Suriname,苏里南,Suriname,1,0.0,0,0,,,,,,,2020-03-18
74818,South America,苏里南,Suriname,苏里南,Suriname,1,0.0,0,0,,,,,,,2020-03-17
77169,South America,苏里南,Suriname,苏里南,Suriname,1,0.0,0,0,,,,,,,2020-03-16
78267,South America,苏里南,Suriname,苏里南,Suriname,1,0.0,0,0,,,,,,,2020-03-15
79344,South America,苏里南,Suriname,苏里南,Suriname,1,0.0,0,0,,,,,,,2020-03-14
