,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
139,Europe,英国,United Kingdom,英国,United Kingdom,25150,0.0,135,1789,,,,,,,2020-03-31
2099,Europe,英国,United Kingdom,英国,United Kingdom,22141,0.0,135,1408,,,,,,,2020-03-30
5187,Europe,英国,United Kingdom,英国,United Kingdom,19522,0.0,135,1228,,,,,,,2020-03-29
7147,Europe,英国,United Kingdom,英国,United Kingdom,17089,0.0,135,1019,,,,,,,2020-03-28
9232,Europe,英国,United Kingdom,英国,United Kingdom,14579,0.0,135,759,,,,,,,2020-03-27
11829,Europe,英国,United Kingdom,英国,United Kingdom,9529,0.0,135,465,,,,,,,2020-03-26
15862,Europe,英国,United Kingdom,英国,United Kingdom,8077,0.0,135,422,,,,,,,2020-03-25
17497,Europe,英国,United Kingdom,英国,United Kingdom,6650,0.0,135,335,,,,,,,2020-03-24
20834,Europe,英国,United Kingdom,英国,United Kingdom,5683,0.0,135,281,,,,,,,2020-03-23
23482,Europe,英国,United Kingdom,英国,United Kingdom,5018,0.0,93,233,,,,,,,2020-03-22
24931,Europe,英国,United Kingdom,英国,United Kingdom,3983,0.0,79,177,,,,,,,2020-03-21
25798,Europe,英国,United Kingdom,英国,United Kingdom,3269,0.0,79,144,,,,,,,2020-03-20
27057,Europe,英国,United Kingdom,英国,United Kingdom,2626,0.0,65,104,,,,,,,2020-03-19
28957,Europe,英国,United Kingdom,英国,United Kingdom,2626,0.0,52,60,,,,,,,2020-03-18
30798,Europe,英国,United Kingdom,英国,United Kingdom,1950,0.0,18,56,,,,,,,2020-03-17
32855,Europe,英国,United Kingdom,英国,United Kingdom,1543,0.0,18,35,,,,,,,2020-03-16
34245,Europe,英国,United Kingdom,英国,United Kingdom,1140,0.0,18,21,,,,,,,2020-03-15
35401,Europe,英国,United Kingdom,英国,United Kingdom,798,0.0,8,6,,,,,,,2020-03-14
36534,Europe,英国,United Kingdom,英国,United Kingdom,590,0.0,8,6,,,,,,,2020-03-13
37477,Europe,英国,United Kingdom,英国,United Kingdom,460,0.0,8,6,,,,,,,2020-03-12
38271,Europe,英国,United Kingdom,英国,United Kingdom,373,0.0,8,6,,,,,,,2020-03-11
39247,Europe,英国,United Kingdom,英国,United Kingdom,319,0.0,8,2,,,,,,,2020-03-10
40776,Europe,英国,United Kingdom,英国,United Kingdom,206,0.0,8,2,,,,,,,2020-03-09
41306,Europe,英国,United Kingdom,英国,United Kingdom,206,0.0,8,2,,,,,,,2020-03-08
42367,Europe,英国,United Kingdom,英国,United Kingdom,163,0.0,8,1,,,,,,,2020-03-07
43698,Europe,英国,United Kingdom,英国,United Kingdom,116,0.0,8,1,,,,,,,2020-03-06
44872,Europe,英国,United Kingdom,英国,United Kingdom,85,0.0,8,0,,,,,,,2020-03-05
45644,Europe,英国,United Kingdom,英国,United Kingdom,51,0.0,8,0,,,,,,,2020-03-04
46426,Europe,英国,United Kingdom,英国,United Kingdom,51,0.0,8,0,,,,,,,2020-03-03
48026,Europe,英国,United Kingdom,英国,United Kingdom,36,0.0,8,0,,,,,,,2020-03-02
49121,Europe,英国,United Kingdom,英国,United Kingdom,35,0.0,8,0,,,,,,,2020-03-01
50591,Europe,英国,United Kingdom,英国,United Kingdom,20,0.0,8,0,,,,,,,2020-02-29
52189,Europe,英国,United Kingdom,英国,United Kingdom,15,0.0,8,0,,,,,,,2020-02-28
52691,Europe,英国,United Kingdom,英国,United Kingdom,15,0.0,8,0,,,,,,,2020-02-27
54855,Europe,英国,United Kingdom,英国,United Kingdom,13,0.0,8,0,,,,,,,2020-02-26
56169,Europe,英国,United Kingdom,英国,United Kingdom,13,0.0,8,0,,,,,,,2020-02-25
56918,Europe,英国,United Kingdom,英国,United Kingdom,13,0.0,8,0,,,,,,,2020-02-24
64159,Europe,英国,United Kingdom,英国,United Kingdom,9,0.0,8,0,,,,,,,2020-02-20
65985,Europe,英国,United Kingdom,英国,United Kingdom,9,0.0,8,0,,,,,,,2020-02-19
67937,Europe,英国,United Kingdom,英国,United Kingdom,9,0.0,8,0,,,,,,,2020-02-18
68868,Europe,英国,United Kingdom,英国,United Kingdom,9,0.0,8,0,,,,,,,2020-02-17
70045,Europe,英国,United Kingdom,英国,United Kingdom,9,0.0,8,0,,,,,,,2020-02-16
73097,Europe,英国,United Kingdom,英国,United Kingdom,9,0.0,0,0,,,,,,,2020-02-15
73949,Europe,英国,United Kingdom,英国,United Kingdom,9,0.0,0,0,,,,,,,2020-02-14
76223,Europe,英国,United Kingdom,英国,United Kingdom,9,0.0,0,0,,,,,,,2020-02-13
78354,Europe,英国,United Kingdom,英国,United Kingdom,8,0.0,0,0,,,,,,,2020-02-12
80656,Europe,英国,United Kingdom,英国,United Kingdom,8,0.0,0,0,,,,,,,2020-02-11
82559,Europe,英国,United Kingdom,英国,United Kingdom,3,0.0,0,0,,,,,,,2020-02-10
88583,Europe,英国,United Kingdom,英国,United Kingdom,3,0.0,0,0,,,,,,,2020-02-08
103895,Europe,英国,United Kingdom,英国,United Kingdom,2,0.0,0,0,,,,,,,2020-02-01
104047,Europe,英国,United Kingdom,英国,United Kingdom,2,0.0,0,0,,,,,,,2020-01-31
