,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
1249,North America,英属维尔京群岛,,英属维尔京群岛,,6,0.0,0,1,,,,,,,2020-04-28
2532,North America,英属维尔京群岛,,英属维尔京群岛,,6,0.0,0,1,,,,,,,2020-04-27
3648,North America,英属维尔京群岛,,英属维尔京群岛,,5,0.0,0,1,,,,,,,2020-04-26
5021,North America,英属维尔京群岛,,英属维尔京群岛,,5,0.0,0,1,,,,,,,2020-04-25
8093,North America,英属维尔京群岛,,英属维尔京群岛,,4,0.0,0,1,,,,,,,2020-04-23
9268,North America,英属维尔京群岛,,英属维尔京群岛,,4,0.0,0,1,,,,,,,2020-04-22
11302,North America,英属维尔京群岛,,英属维尔京群岛,,4,0.0,0,1,,,,,,,2020-04-21
12693,North America,英属维尔京群岛,,英属维尔京群岛,,3,0.0,0,0,,,,,,,2020-04-20
20272,North America,英属维尔京群岛,,英属维尔京群岛,,3,0.0,0,0,,,,,,,2020-04-15
23407,North America,英属维尔京群岛,,英属维尔京群岛,,3,0.0,0,0,,,,,,,2020-04-12
26686,North America,英属维尔京群岛,,英属维尔京群岛,,3,0.0,0,0,,,,,,,2020-04-10
27928,North America,英属维尔京群岛,,英属维尔京群岛,,3,0.0,0,0,,,,,,,2020-04-09
29572,North America,英属维尔京群岛,,英属维尔京群岛,,3,0.0,0,0,,,,,,,2020-04-08
32586,North America,英属维尔京群岛,,英属维尔京群岛,,3,0.0,0,0,,,,,,,2020-04-07
35070,North America,英属维尔京群岛,,英属维尔京群岛,,3,0.0,0,0,,,,,,,2020-04-05
38314,North America,英属维尔京群岛,,英属维尔京群岛,,3,0.0,0,0,,,,,,,2020-04-03
40999,North America,英属维尔京群岛,,英属维尔京群岛,,3,0.0,0,0,,,,,,,2020-04-02
42335,North America,英属维尔京群岛,,英属维尔京群岛,,2,0.0,0,0,,,,,,,2020-04-01
44357,North America,英属维尔京群岛,,英属维尔京群岛,,2,0.0,0,0,,,,,,,2020-03-31
46312,North America,英属维尔京群岛,,英属维尔京群岛,,2,0.0,0,0,,,,,,,2020-03-30
49920,North America,英属维尔京群岛,,英属维尔京群岛,,2,0.0,0,0,,,,,,,2020-03-29
51389,North America,英属维尔京群岛,,英属维尔京群岛,,2,0.0,0,0,,,,,,,2020-03-28
